"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"3";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"1103367";"—"
"2";"3";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"983492";"—"
"3";"14";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2236528";"—"
"4";"3";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1489711";"—"
"5";"15";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2314256";"—"
"6";"10";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2426326";"—"
"7";"4";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2133522";"—"
"8";"19";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2119826";"—"
"9";"28";"—";"25000";"x";"25000";"На рассмотрении";"2451320";"—"
"10";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2118700";"—"
"11";"8";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2120073";"—"
"12";"7";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2119929";"—"
"13";"18";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2044638";"—"
"14";"23";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2363771";"—"
"15";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2369460";"—"
"16";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1936299";"—"
"17";"15";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2056013";"—"
"18";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2118099";"—"
"19";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2230522";"—"
"20";"9";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2256496";"—"
"21";"17";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2249701";"—"
"22";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2364629";"—"
"23";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1094501";"—"
"25";"14";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2302890";"—"
