"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"4";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"983492";"—"
"2";"20";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2236528";"—"
"3";"4";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1489711";"—"
"4";"28";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2119826";"—"
"5";"26";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2044638";"—"
"6";"24";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2363771";"—"
"7";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1936299";"—"
"8";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2056013";"—"
"9";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2099854";"—"
"10";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2305301";"—"
"11";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2209513";"—"
"12";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2256496";"—"
"13";"6";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2364629";"—"
"14";"3";"—";"20000";"-";"20000";"Ожидание результатов ВИ";"2321800";"—"
"16";"1";"Электронное";"15000";"-";"15000";"Ожидание результатов ВИ";"2241606";"—"
"17";"18";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2302890";"—"
"18";"24";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2424001";"—"
"19";"30";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2437204";"—"
"20";"11";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2432987";"—"
"21";"6";"—";"—";"-";"—";"Ожидание результатов ВИ";"1717068";"—"
"22";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2132167";"—"
"23";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"2405286";"—"
"24";"21";"—";"—";"-";"—";"Ожидание результатов ВИ";"2301013";"—"
"25";"14";"—";"—";"-";"—";"Ожидание результатов ВИ";"2133147";"—"
"26";"7";"—";"—";"-";"—";"Ожидание результатов ВИ";"2421065";"—"
"27";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"978539";"—"
"28";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1177995";"—"
"29";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1169136";"—"
"30";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1287816";"—"
"31";"20";"—";"—";"-";"—";"Ожидание результатов ВИ";"1336113";"—"
"32";"12";"—";"—";"-";"—";"Ожидание результатов ВИ";"1375772";"—"
"33";"8";"—";"—";"-";"—";"Ожидание результатов ВИ";"1155872";"—"
"34";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1485089";"—"
"35";"25";"—";"—";"-";"—";"Ожидание результатов ВИ";"1485088";"—"
"36";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"994406";"—"
"37";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1488309";"—"
"38";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"1638990";"—"
"39";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1821985";"—"
"40";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"1894006";"—"
"41";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"1848498";"—"
"42";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"1669931";"—"
"43";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1833286";"—"
"44";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"1796838";"—"
"45";"8";"—";"—";"-";"—";"Ожидание результатов ВИ";"1566286";"—"
"46";"9";"—";"—";"-";"—";"Ожидание результатов ВИ";"2112878";"—"
"47";"20";"—";"—";"-";"—";"Ожидание результатов ВИ";"2140829";"—"
"48";"7";"—";"—";"-";"—";"Ожидание результатов ВИ";"2169330";"—"
"49";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"1624206";"—"
"50";"10";"—";"—";"-";"—";"Ожидание результатов ВИ";"2177679";"—"
"51";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2178536";"—"
"52";"13";"—";"—";"-";"—";"Ожидание результатов ВИ";"2206732";"—"
"53";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"2208577";"—"
"54";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2210999";"—"
"55";"8";"—";"—";"-";"—";"Ожидание результатов ВИ";"2248111";"—"
"56";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"2250676";"—"
"57";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"1639098";"—"
"58";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2202405";"—"
"59";"7";"—";"—";"-";"—";"Ожидание результатов ВИ";"2262462";"—"
"60";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2268675";"—"
"61";"29";"—";"—";"-";"—";"Ожидание результатов ВИ";"2271193";"—"
"62";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2295076";"—"
"63";"32";"—";"—";"-";"—";"Ожидание результатов ВИ";"2296188";"—"
"64";"33";"—";"—";"-";"—";"Ожидание результатов ВИ";"2295983";"—"
"65";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"2312829";"—"
"66";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2306179";"—"
"67";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"2313060";"—"
"68";"20";"—";"—";"-";"—";"Ожидание результатов ВИ";"2022044";"—"
"69";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2314213";"—"
"70";"8";"—";"—";"-";"—";"Ожидание результатов ВИ";"2334009";"—"
"71";"7";"—";"—";"-";"—";"Ожидание результатов ВИ";"2330520";"—"
"72";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2334805";"—"
"73";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2279321";"—"
"74";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2342809";"—"
"75";"24";"—";"—";"-";"—";"Ожидание результатов ВИ";"2235479";"—"
"76";"10";"—";"—";"-";"—";"Ожидание результатов ВИ";"2336660";"—"
"77";"8";"—";"—";"-";"—";"Ожидание результатов ВИ";"2339917";"—"
"78";"30";"—";"—";"-";"—";"Ожидание результатов ВИ";"2338458";"—"
"79";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2029150";"—"
"80";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"2369957";"—"
"81";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"2353970";"—"
"82";"8";"—";"—";"-";"—";"Ожидание результатов ВИ";"2317498";"—"
"83";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"2374858";"—"
"84";"10";"—";"—";"-";"—";"Ожидание результатов ВИ";"2376196";"—"
"85";"22";"—";"—";"-";"—";"Ожидание результатов ВИ";"2379671";"—"
"86";"23";"—";"—";"-";"—";"Ожидание результатов ВИ";"2383170";"—"
"87";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"2393033";"—"
"88";"7";"—";"—";"-";"—";"Ожидание результатов ВИ";"2392902";"—"
"89";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2405008";"—"
"90";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2386608";"—"
"91";"33";"—";"—";"-";"—";"Ожидание результатов ВИ";"2414490";"—"
"92";"29";"—";"—";"-";"—";"Ожидание результатов ВИ";"2413072";"—"
