"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"2";"1";"—";"261000";"88 95 78";"—";"Участвует в конкурсе";"1785004";"—"
"3";"3";"—";"248000";"77 78 83";"10000";"Участвует в конкурсе";"1913562";"—"
"4";"5";"—";"239000";"76 84 69";"10000";"Участвует в конкурсе";"1265499";"—"
"5";"5";"—";"230000";"74 78 75";"3000";"Участвует в конкурсе";"1106859";"—"
"6";"5";"Электронное";"227000";"80 78 69";"—";"Участвует в конкурсе";"2338638";"—"
"7";"1";"Электронное";"225000";"80 72 73";"—";"Участвует в конкурсе";"2210119";"—"
"8";"7";"—";"225000";"65 78 72";"10000";"Участвует в конкурсе";"1234285";"—"
"9";"5";"—";"219000";"73 76 70";"—";"Участвует в конкурсе";"1583545";"—"
"11";"5";"—";"217000";"79 78 60";"—";"Участвует в конкурсе";"1521412";"—"
"12";"1";"—";"213000";"70 82 61";"—";"Участвует в конкурсе";"1102685";"—"
"13";"1";"—";"185000";"44 70 61";"10000";"Участвует в конкурсе";"1574151";"—"
"14";"5";"—";"178000";"59 64 55";"—";"Участвует в конкурсе";"1061817";"—"
"15";"4";"Электронное";"177000";"65 46 66";"—";"Участвует в конкурсе";"1174084";"—"
"16";"1";"—";"171000";"64 52 48";"7000";"Участвует в конкурсе";"1561678";"—"
"17";"2";"—";"160000";"54 58 48";"—";"Участвует в конкурсе";"1107757";"—"
"18";"1";"—";"138000";"43 46 49";"—";"Участвует в конкурсе";"956983";"—"
