"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"4";"—";"264000";"96 86 72";"10000";"Участвует в конкурсе";"1943832";"—"
"2";"4";"—";"261000";"88 95 78";"—";"Участвует в конкурсе";"1785004";"—"
"3";"4";"Электронное";"251000";"92 82 72";"5000";"Участвует в конкурсе";"1609241";"—"
"4";"4";"—";"230000";"74 78 75";"3000";"Участвует в конкурсе";"1106859";"—"
"5";"4";"—";"225000";"65 78 72";"10000";"Участвует в конкурсе";"1234285";"—"
"6";"8";"—";"224000";"79 78 67";"—";"Участвует в конкурсе";"2248393";"—"
"7";"3";"—";"219000";"73 76 70";"—";"Участвует в конкурсе";"1583545";"—"
"8";"4";"—";"217000";"65 80 72";"—";"Участвует в конкурсе";"1256428";"—"
"9";"8";"—";"217000";"64 70 73";"10000";"Участвует в конкурсе";"1914591";"—"
"10";"5";"—";"215000";"67 82 61";"5000";"Участвует в конкурсе";"1535358";"—"
"11";"1";"—";"213000";"70 70 73";"—";"Участвует в конкурсе";"2181944";"—"
"12";"6";"—";"209000";"67 76 66";"—";"Участвует в конкурсе";"1041393";"—"
"13";"1";"—";"200000";"59 74 64";"3000";"Участвует в конкурсе";"1340210";"—"
"14";"1";"—";"189000";"62 72 55";"—";"Участвует в конкурсе";"1196637";"—"
"15";"2";"—";"178000";"67 54 57";"—";"Участвует в конкурсе";"1043273";"—"
"16";"2";"—";"156000";"56 46 54";"—";"Участвует в конкурсе";"1093177";"—"
"17";"6";"Электронное";"155000";"49 46 60";"—";"Участвует в конкурсе";"1198302";"—"
"18";"2";"—";"149000";"46 58 45";"—";"Участвует в конкурсе";"1618069";"—"
"19";"3";"—";"138000";"43 46 49";"—";"Участвует в конкурсе";"956983";"—"
