"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"5";"—";"303000";"96 97 100";"10000";"Участвует в конкурсе";"1595908";"—"
"2";"6";"—";"302000";"100 98 94";"10000";"Участвует в конкурсе";"1404718";"—"
"3";"2";"—";"302000";"100 98 94";"10000";"Участвует в конкурсе";"2246035";"—"
"4";"4";"—";"302000";"100 95 97";"10000";"Участвует в конкурсе";"1366907";"—"
"6";"4";"—";"301000";"98 99 94";"10000";"Участвует в конкурсе";"1353197";"—"
"7";"5";"—";"300000";"100 99 91";"10000";"Участвует в конкурсе";"1617830";"—"
"8";"2";"—";"300000";"100 90 100";"10000";"Участвует в конкурсе";"1283741";"—"
"9";"4";"—";"300000";"98 98 94";"10000";"Участвует в конкурсе";"1785651";"—"
"10";"5";"—";"299000";"98 100 91";"10000";"Участвует в конкурсе";"1563596";"—"
"11";"3";"—";"298000";"100 94 94";"10000";"Участвует в конкурсе";"1748025";"—"
"12";"6";"—";"298000";"96 98 94";"10000";"Участвует в конкурсе";"1728267";"—"
"13";"3";"—";"298000";"94 94 100";"10000";"Участвует в конкурсе";"1829920";"—"
"14";"6";"—";"297000";"98 99 97";"3000";"Участвует в конкурсе";"1521257";"—"
"15";"5";"—";"297000";"98 100 89";"10000";"Участвует в конкурсе";"1291422";"—"
"16";"3";"—";"297000";"96 100 91";"10000";"Участвует в конкурсе";"1640535";"—"
"17";"1";"—";"296000";"100 92 94";"10000";"Участвует в конкурсе";"1583964";"—"
"18";"1";"—";"296000";"98 97 91";"10000";"Участвует в конкурсе";"1844174";"—"
"19";"3";"—";"296000";"94 95 97";"10000";"Участвует в конкурсе";"1596286";"—"
"20";"7";"—";"295000";"100 96 89";"10000";"Участвует в конкурсе";"1399276";"—"
"21";"1";"—";"295000";"98 98 89";"10000";"Участвует в конкурсе";"2329576";"—"
"22";"1";"—";"295000";"98 98 89";"10000";"Участвует в конкурсе";"1883321";"—"
"23";"4";"—";"295000";"96 98 91";"10000";"Участвует в конкурсе";"1205765";"—"
"24";"4";"—";"293000";"96 95 97";"5000";"Участвует в конкурсе";"1916014";"—"
"25";"1";"—";"293000";"100 100 83";"10000";"Участвует в конкурсе";"1189062";"—"
"26";"1";"—";"293000";"100 97 86";"10000";"Участвует в конкурсе";"1073739";"—"
"27";"2";"—";"293000";"100 97 86";"10000";"Участвует в конкурсе";"2206886";"—"
"28";"2";"—";"293000";"98 99 86";"10000";"Участвует в конкурсе";"1420687";"—"
"29";"4";"—";"293000";"98 96 89";"10000";"Участвует в конкурсе";"1579752";"—"
"30";"4";"—";"293000";"96 98 89";"10000";"Участвует в конкурсе";"1367043";"—"
"31";"1";"—";"292000";"98 95 94";"5000";"Участвует в конкурсе";"1678328";"—"
"33";"2";"—";"292000";"98 98 86";"10000";"Участвует в конкурсе";"2220409";"—"
"34";"1";"—";"292000";"94 99 89";"10000";"Участвует в конкурсе";"1624726";"—"
"35";"3";"—";"292000";"92 96 94";"10000";"Участвует в конкурсе";"1668842";"—"
"36";"4";"—";"291000";"100 100 81";"10000";"Участвует в конкурсе";"1980776";"—"
"37";"4";"—";"291000";"100 100 81";"10000";"Участвует в конкурсе";"1543331";"—"
"38";"1";"—";"291000";"100 84 97";"10000";"Участвует в конкурсе";"1598684";"—"
"39";"4";"—";"291000";"96 94 91";"10000";"Участвует в конкурсе";"2056844";"—"
"40";"5";"—";"291000";"94 96 91";"10000";"Участвует в конкурсе";"2251708";"—"
"41";"4";"—";"291000";"94 90 97";"10000";"Участвует в конкурсе";"2128321";"—"
"42";"2";"—";"290000";"92 95 100";"3000";"Участвует в конкурсе";"1853192";"—"
"43";"2";"—";"290000";"98 96 86";"10000";"Участвует в конкурсе";"1480407";"—"
"44";"5";"—";"290000";"98 82 100";"10000";"Участвует в конкурсе";"2228829";"—"
"45";"4";"—";"289000";"100 97 89";"3000";"Участвует в конкурсе";"2133575";"—"
"46";"2";"—";"289000";"92 90 97";"10000";"Участвует в конкурсе";"1215076";"—"
"47";"5";"—";"289000";"86 99 94";"10000";"Участвует в конкурсе";"1712487";"—"
"48";"4";"—";"288000";"100 90 89";"9000";"Участвует в конкурсе";"1052044";"—"
"49";"5";"—";"288000";"100 100 78";"10000";"Участвует в конкурсе";"2002180";"—"
"50";"1";"—";"288000";"100 100 78";"10000";"Участвует в конкурсе";"1841353";"—"
"51";"3";"—";"288000";"100 92 86";"10000";"Участвует в конкурсе";"1560630";"—"
