"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"3";"—";"50000";"- -";"50000";"Ожидание результатов ВИ";"1103332";"—"
"2";"26";"—";"25000";"- -";"25000";"Ожидание результатов ВИ";"2363771";"—"
"4";"3";"—";"25000";"- -";"25000";"Ожидание результатов ВИ";"1964729";"—"
"5";"5";"—";"25000";"- -";"25000";"Ожидание результатов ВИ";"2464078";"—"
"6";"18";"—";"25000";"- -";"25000";"Ожидание результатов ВИ";"2249701";"—"
"7";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2393372";"—"
"8";"2";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"1856107";"—"
"9";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2130833";"—"
"10";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2130792";"—"
"11";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1497828";"—"
"12";"5";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2421065";"—"
"13";"5";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1177995";"—"
"14";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2002801";"—"
"16";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1011778";"—"
"17";"5";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2153533";"—"
"18";"41";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2296188";"—"
"19";"40";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2295983";"—"
"20";"26";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2235479";"—"
"21";"3";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2367985";"—"
"22";"7";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2317498";"—"
"23";"6";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2376196";"—"
"24";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2409244";"—"
"25";"30";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2414490";"—"
"26";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2350171";"—"
