"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"—";"45000";"-";"45000";"Ожидание результатов ВИ";"1038076";"—"
"2";"7";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1891393";"—"
"3";"13";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"1455364";"—"
"4";"1";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"1885582";"—"
"5";"34";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2311893";"—"
"6";"9";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1960030";"—"
"7";"10";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2101502";"—"
"8";"5";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2101723";"—"
"9";"20";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2176738";"—"
"10";"10";"Электронное";"35000";"-";"35000";"Ожидание результатов ВИ";"2073832";"—"
"11";"2";"—";"33000";"-";"33000";"Ожидание результатов ВИ";"2246701";"—"
"12";"2";"—";"30000";"-";"30000";"Ожидание результатов ВИ";"1002891";"—"
"13";"1";"Электронное";"27000";"-";"27000";"Ожидание результатов ВИ";"1623271";"—"
"14";"2";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"1970612";"—"
"15";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2111065";"—"
"16";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2084934";"—"
"17";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1901414";"—"
"18";"25";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2044638";"—"
"19";"26";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2363771";"—"
"20";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2332954";"—"
"21";"1";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2215209";"—"
"22";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2178786";"—"
"23";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1964729";"—"
"24";"1";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"960443";"—"
"25";"23";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2000173";"—"
"26";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1985268";"—"
"27";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1982245";"—"
"28";"12";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2056013";"—"
"29";"7";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2024261";"—"
"30";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2085018";"—"
"31";"3";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"1960125";"—"
"32";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2143113";"—"
"33";"27";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2128867";"—"
"34";"1";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2305301";"—"
"35";"18";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2269151";"—"
"37";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2190353";"—"
"38";"31";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2273751";"—"
"39";"7";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1960031";"—"
"40";"25";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2077176";"—"
"41";"22";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2178161";"—"
"42";"11";"Электронное";"15000";"-";"15000";"Ожидание результатов ВИ";"2170852";"—"
"43";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2252482";"—"
"44";"3";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2240337";"—"
"45";"17";"Электронное";"15000";"-";"15000";"Ожидание результатов ВИ";"2245932";"—"
"46";"20";"Электронное";"15000";"-";"15000";"Ожидание результатов ВИ";"2302890";"—"
"47";"33";"Электронное";"15000";"-";"15000";"Ожидание результатов ВИ";"2272668";"—"
"48";"2";"Электронное";"15000";"-";"15000";"Ожидание результатов ВИ";"2367929";"—"
"49";"2";"Электронное";"15000";"-";"15000";"Ожидание результатов ВИ";"2367869";"—"
"50";"32";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2298220";"—"
"51";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2129188";"—"
"52";"9";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2425767";"—"
"53";"27";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2424001";"—"
