"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"—";"296000";"98 97 91";"10000";"Участвует в конкурсе";"1844174";"—"
"2";"5";"—";"290000";"98 96 86";"10000";"Участвует в конкурсе";"1480407";"—"
"3";"2";"—";"287000";"94 94 89";"10000";"Участвует в конкурсе";"1757498";"—"
"4";"3";"—";"286000";"96 98 89";"3000";"Участвует в конкурсе";"1425217";"—"
"5";"2";"—";"285000";"96 88 91";"10000";"Участвует в конкурсе";"1212909";"—"
"6";"1";"—";"285000";"94 84 97";"10000";"Участвует в конкурсе";"1617390";"—"
"7";"1";"—";"284000";"98 85 91";"10000";"Участвует в конкурсе";"1564434";"—"
"8";"2";"—";"279000";"94 94 81";"10000";"Участвует в конкурсе";"1409586";"—"
"9";"2";"—";"279000";"84 94 91";"10000";"Участвует в конкурсе";"1206193";"—"
"10";"5";"—";"278000";"94 98 86";"—";"Участвует в конкурсе";"1213937";"—"
"11";"4";"—";"277000";"98 88 81";"10000";"Участвует в конкурсе";"977071";"—"
"12";"2";"—";"276000";"96 76 94";"10000";"Участвует в конкурсе";"1406847";"—"
"13";"1";"—";"273000";"92 90 89";"2000";"Участвует в конкурсе";"1175363";"—"
"14";"12";"—";"272000";"90 86 86";"10000";"Участвует в конкурсе";"1460249";"—"
"15";"1";"—";"270000";"94 90 86";"—";"Участвует в конкурсе";"1710662";"—"
"16";"6";"—";"268000";"92 90 86";"—";"Участвует в конкурсе";"1584077";"—"
"17";"3";"—";"267000";"94 90 83";"—";"Участвует в конкурсе";"1309002";"—"
"18";"2";"—";"267000";"88 86 83";"10000";"Участвует в конкурсе";"1169247";"—"
"19";"4";"—";"266000";"92 86 78";"10000";"Участвует в конкурсе";"2054220";"—"
"20";"4";"—";"266000";"88 90 78";"10000";"Участвует в конкурсе";"1785739";"—"
"21";"5";"—";"266000";"84 86 86";"10000";"Участвует в конкурсе";"1212594";"—"
"22";"4";"—";"265000";"90 92 83";"—";"Участвует в конкурсе";"1432844";"—"
"23";"3";"—";"265000";"90 82 83";"10000";"Участвует в конкурсе";"996421";"—"
"25";"4";"—";"265000";"86 78 91";"10000";"Участвует в конкурсе";"1822804";"—"
"26";"6";"—";"264000";"76 84 94";"10000";"Участвует в конкурсе";"1609274";"—"
"27";"3";"—";"261000";"98 90 70";"3000";"Участвует в конкурсе";"1840428";"—"
"28";"3";"—";"261000";"84 86 81";"10000";"Участвует в конкурсе";"1504690";"—"
"29";"4";"—";"261000";"82 80 89";"10000";"Участвует в конкурсе";"1488703";"—"
"30";"2";"—";"260000";"90 84 86";"—";"Участвует в конкурсе";"1279761";"—"
"31";"4";"—";"260000";"88 84 78";"10000";"Участвует в конкурсе";"2310217";"—"
"32";"1";"—";"259000";"84 94 81";"—";"Участвует в конкурсе";"1283266";"—"
"33";"5";"—";"258000";"96 84 78";"—";"Участвует в конкурсе";"1914955";"—"
"34";"5";"—";"257000";"98 86 73";"—";"Участвует в конкурсе";"1179331";"—"
"35";"2";"—";"257000";"84 90 83";"—";"Участвует в конкурсе";"1309006";"—"
"36";"1";"—";"257000";"79 82 86";"10000";"Участвует в конкурсе";"1544066";"—"
"37";"6";"—";"256000";"90 88 78";"—";"Участвует в конкурсе";"1598467";"—"
"38";"4";"—";"256000";"84 94 78";"—";"Участвует в конкурсе";"1542613";"—"
"39";"3";"—";"256000";"79 78 89";"10000";"Участвует в конкурсе";"1727480";"—"
"40";"6";"—";"255000";"100 92 63";"—";"Участвует в конкурсе";"1874271";"—"
"41";"2";"—";"254000";"92 80 72";"10000";"Участвует в конкурсе";"1282677";"—"
"42";"3";"—";"254000";"77 84 83";"10000";"Участвует в конкурсе";"1500398";"—"
"43";"5";"—";"250000";"74 90 86";"—";"Участвует в конкурсе";"1156451";"—"
"44";"1";"—";"249000";"79 84 81";"5000";"Участвует в конкурсе";"1997356";"—"
"45";"2";"—";"249000";"86 78 75";"10000";"Участвует в конкурсе";"1465073";"—"
"46";"5";"—";"248000";"88 82 78";"—";"Участвует в конкурсе";"2267143";"—"
"47";"1";"Электронное";"248000";"86 82 75";"5000";"Участвует в конкурсе";"1167689";"—"
"49";"4";"—";"247000";"86 88 73";"—";"Участвует в конкурсе";"1960571";"—"
"50";"1";"—";"247000";"82 82 73";"10000";"Участвует в конкурсе";"1783818";"—"
"51";"1";"—";"245000";"80 84 81";"—";"Участвует в конкурсе";"1910300";"—"
