"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"6";"—";"306000";"96 100 100";"10000";"Участвует в конкурсе";"1640945";"—"
"2";"3";"—";"302000";"100 98 94";"10000";"Участвует в конкурсе";"2246035";"—"
"3";"1";"—";"298000";"94 94 100";"10000";"Участвует в конкурсе";"1829920";"—"
"4";"4";"—";"297000";"96 100 91";"10000";"Участвует в конкурсе";"1640535";"—"
"5";"6";"—";"296000";"100 100 86";"10000";"Участвует в конкурсе";"1903641";"—"
"6";"2";"—";"296000";"98 97 91";"10000";"Участвует в конкурсе";"1844174";"—"
"7";"4";"—";"296000";"92 100 94";"10000";"Участвует в конкурсе";"1548838";"—"
"8";"3";"—";"295000";"96 98 91";"10000";"Участвует в конкурсе";"1205765";"—"
"9";"2";"—";"294000";"92 92 100";"10000";"Участвует в конкурсе";"1158591";"—"
"10";"3";"—";"294000";"90 97 97";"10000";"Участвует в конкурсе";"1351997";"—"
"11";"5";"—";"293000";"100 94 91";"8000";"Участвует в конкурсе";"1513962";"—"
"12";"3";"—";"293000";"100 97 86";"10000";"Участвует в конкурсе";"2206886";"—"
"13";"4";"—";"293000";"96 98 89";"10000";"Участвует в конкурсе";"1077633";"—"
"14";"3";"—";"292000";"98 95 94";"5000";"Участвует в конкурсе";"1678328";"—"
"16";"5";"—";"292000";"96 95 91";"10000";"Участвует в конкурсе";"1604171";"—"
"17";"3";"—";"292000";"94 99 89";"10000";"Участвует в конкурсе";"1624726";"—"
"18";"1";"—";"291000";"100 100 81";"10000";"Участвует в конкурсе";"1980776";"—"
"20";"5";"—";"290000";"98 96 86";"10000";"Участвует в конкурсе";"1480407";"—"
"21";"12";"—";"290000";"94 95 91";"10000";"Участвует в конкурсе";"1511822";"—"
"22";"2";"—";"288000";"100 100 78";"10000";"Участвует в конкурсе";"2002180";"—"
"23";"3";"—";"288000";"100 100 78";"10000";"Участвует в конкурсе";"1841353";"—"
"24";"5";"—";"288000";"100 100 78";"10000";"Участвует в конкурсе";"1393665";"—"
"25";"6";"—";"288000";"100 84 94";"10000";"Участвует в конкурсе";"1574823";"—"
"26";"2";"—";"288000";"98 86 94";"10000";"Участвует в конкурсе";"1312802";"—"
"27";"2";"—";"287000";"100 96 81";"10000";"Участвует в конкурсе";"1242749";"—"
"29";"2";"—";"287000";"94 94 89";"10000";"Участвует в конкурсе";"1757498";"—"
"30";"3";"—";"286000";"96 98 89";"3000";"Участвует в конкурсе";"1425217";"—"
"32";"3";"—";"286000";"90 86 100";"10000";"Участвует в конкурсе";"1956110";"—"
"33";"2";"—";"285000";"100 100 75";"10000";"Участвует в конкурсе";"1959906";"—"
"34";"1";"—";"285000";"96 88 91";"10000";"Участвует в конкурсе";"1212909";"—"
"35";"1";"—";"285000";"94 84 97";"10000";"Участвует в конкурсе";"1617390";"—"
"36";"2";"—";"285000";"90 99 86";"10000";"Участвует в конкурсе";"2079516";"—"
"37";"1";"—";"285000";"86 95 94";"10000";"Участвует в конкурсе";"1157831";"—"
"38";"5";"—";"285000";"84 100 91";"10000";"Участвует в конкурсе";"1609555";"—"
"39";"1";"Электронное";"284000";"98 85 91";"10000";"Участвует в конкурсе";"1564434";"—"
"40";"3";"—";"284000";"92 88 94";"10000";"Участвует в конкурсе";"1439321";"—"
"41";"4";"—";"283000";"100 84 89";"10000";"Участвует в конкурсе";"1925040";"—"
"42";"2";"—";"283000";"92 95 86";"10000";"Участвует в конкурсе";"2311947";"—"
"43";"2";"—";"282000";"94 94 94";"—";"Участвует в конкурсе";"1492842";"—"
"44";"1";"—";"282000";"94 95 83";"10000";"Участвует в конкурсе";"2097659";"—"
"45";"4";"—";"282000";"88 84 100";"10000";"Участвует в конкурсе";"2111646";"—"
"46";"3";"—";"281000";"94 98 86";"3000";"Участвует в конкурсе";"2183925";"—"
"47";"2";"—";"281000";"94 88 89";"10000";"Участвует в конкурсе";"1195216";"—"
"48";"2";"—";"280000";"96 85 89";"10000";"Участвует в конкурсе";"1640177";"—"
"49";"1";"—";"279000";"98 96 75";"10000";"Участвует в конкурсе";"1158768";"—"
"50";"2";"—";"279000";"94 94 81";"10000";"Участвует в конкурсе";"1409586";"—"
"51";"2";"—";"279000";"94 84 91";"10000";"Участвует в конкурсе";"1775436";"—"
"52";"2";"—";"279000";"84 94 91";"10000";"Участвует в конкурсе";"1206193";"—"
"53";"4";"—";"279000";"84 88 97";"10000";"Участвует в конкурсе";"2032116";"—"
"54";"5";"—";"278000";"94 98 86";"—";"Участвует в конкурсе";"1213937";"—"
"55";"2";"—";"278000";"94 92 89";"3000";"Участвует в конкурсе";"1042711";"—"
"56";"2";"—";"278000";"94 92 89";"3000";"Участвует в конкурсе";"1646022";"—"
"57";"5";"—";"278000";"94 90 91";"3000";"Участвует в конкурсе";"1990087";"—"
"58";"5";"—";"278000";"100 82 86";"10000";"Участвует в конкурсе";"1188128";"—"
"59";"3";"—";"278000";"92 95 81";"10000";"Участвует в конкурсе";"1977074";"—"
"60";"4";"Электронное";"278000";"90 84 94";"10000";"Участвует в конкурсе";"1419413";"—"
"61";"5";"—";"278000";"82 92 94";"10000";"Участвует в конкурсе";"1716068";"—"
"62";"4";"—";"277000";"99 96 82";"—";"Участвует в конкурсе";"2002922";"—"
"63";"4";"Электронное";"277000";"92 96 89";"—";"Участвует в конкурсе";"1521186";"—"
"64";"5";"Электронное";"277000";"100 86 81";"10000";"Участвует в конкурсе";"1501759";"—"
"65";"4";"—";"277000";"98 88 81";"10000";"Участвует в конкурсе";"977071";"—"
"66";"2";"—";"277000";"96 90 81";"10000";"Участвует в конкурсе";"1640930";"—"
"67";"7";"Электронное";"277000";"96 82 89";"10000";"Участвует в конкурсе";"1598428";"—"
"68";"5";"Электронное";"277000";"94 90 83";"10000";"Участвует в конкурсе";"1432509";"—"
"70";"5";"—";"277000";"86 90 91";"10000";"Участвует в конкурсе";"2135300";"—"
"71";"5";"—";"276000";"94 90 89";"3000";"Участвует в конкурсе";"1776837";"—"
"72";"6";"—";"276000";"90 100 83";"3000";"Участвует в конкурсе";"1465781";"—"
"73";"1";"—";"276000";"96 84 86";"10000";"Участвует в конкурсе";"1792492";"—"
"74";"2";"—";"276000";"96 76 94";"10000";"Участвует в конкурсе";"1406847";"—"
"75";"9";"—";"276000";"88 92 86";"10000";"Участвует в конкурсе";"2096125";"—"
"77";"2";"—";"275000";"88 88 89";"10000";"Участвует в конкурсе";"2241773";"—"
"78";"1";"—";"275000";"86 90 89";"10000";"Участвует в конкурсе";"1534533";"—"
"79";"3";"—";"275000";"86 88 91";"10000";"Участвует в конкурсе";"1853024";"—"
"80";"1";"—";"274000";"88 95 86";"5000";"Участвует в конкурсе";"2266569";"—"
"81";"2";"—";"274000";"90 88 86";"10000";"Участвует в конкурсе";"1439298";"—"
"82";"6";"—";"274000";"90 85 89";"10000";"Участвует в конкурсе";"1655191";"—"
"83";"1";"—";"274000";"86 84 94";"10000";"Участвует в конкурсе";"1799043";"—"
"84";"4";"—";"274000";"84 80 100";"10000";"Участвует в конкурсе";"1575605";"—"
"85";"1";"—";"273000";"96 88 89";"—";"Участвует в конкурсе";"1142425";"—"
"86";"2";"—";"273000";"96 88 89";"—";"Участвует в конкурсе";"1103201";"—"
"87";"2";"—";"273000";"96 86 91";"—";"Участвует в конкурсе";"1179935";"—"
"88";"2";"—";"273000";"94 88 91";"—";"Участвует в конкурсе";"1255235";"—"
"89";"3";"—";"273000";"92 98 83";"—";"Участвует в конкурсе";"1040467";"—"
"90";"4";"—";"273000";"90 94 89";"—";"Участвует в конкурсе";"1411158";"—"
"91";"1";"—";"273000";"92 90 89";"2000";"Участвует в конкурсе";"1175363";"—"
"92";"2";"—";"273000";"96 94 78";"5000";"Участвует в конкурсе";"1792580";"—"
"93";"2";"—";"273000";"92 82 91";"8000";"Участвует в конкурсе";"969453";"—"
"94";"2";"—";"273000";"80 94 89";"10000";"Участвует в конкурсе";"1409583";"—"
"96";"6";"—";"272000";"92 98 72";"10000";"Участвует в конкурсе";"1043751";"—"
"97";"3";"—";"272000";"90 97 75";"10000";"Участвует в конкурсе";"1994900";"—"
"98";"12";"—";"272000";"90 86 86";"10000";"Участвует в конкурсе";"1460249";"—"
"99";"6";"—";"272000";"88 99 75";"10000";"Участвует в конкурсе";"1695314";"—"
"100";"5";"—";"272000";"88 88 86";"10000";"Участвует в конкурсе";"2132913";"—"
"101";"2";"—";"271000";"94 99 78";"—";"Участвует в конкурсе";"1319233";"—"
"102";"2";"—";"271000";"88 94 89";"—";"Участвует в конкурсе";"1040503";"—"
"103";"5";"—";"271000";"96 92 73";"10000";"Участвует в конкурсе";"2050539";"—"
"104";"1";"—";"270000";"94 90 86";"—";"Участвует в конкурсе";"1710662";"—"
"105";"2";"—";"270000";"98 76 86";"10000";"Участвует в конкурсе";"1857596";"—"
"106";"5";"—";"270000";"90 84 86";"10000";"Участвует в конкурсе";"1572640";"—"
"107";"1";"—";"270000";"88 78 94";"10000";"Участвует в конкурсе";"1201076";"—"
"108";"3";"—";"270000";"82 84 94";"10000";"Участвует в конкурсе";"1189481";"—"
"110";"4";"—";"269000";"96 92 81";"—";"Участвует в конкурсе";"1638458";"—"
"111";"4";"Электронное";"269000";"96 90 73";"10000";"Участвует в конкурсе";"1210804";"—"
"112";"4";"—";"269000";"96 88 75";"10000";"Участвует в конкурсе";"1979026";"—"
"113";"2";"Электронное";"269000";"94 82 83";"10000";"Участвует в конкурсе";"1337408";"—"
"114";"4";"—";"269000";"92 84 83";"10000";"Участвует в конкурсе";"1264747";"—"
"116";"1";"—";"269000";"86 90 83";"10000";"Участвует в конкурсе";"1410034";"—"
