"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"8";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"2139677";"—"
"2";"4";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"2264184";"—"
"3";"2";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1228378";"—"
"4";"1";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"2246962";"—"
"5";"2";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"961382";"—"
"6";"3";"Электронное";"1000";"x x x";"2000";"Участвует в конкурсе";"1344362";"—"
"7";"4";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2182092";"—"
"8";"1";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1786277";"—"
"9";"2";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1646516";"—"
"10";"1";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1637727";"—"
"12";"1";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1257959";"—"
"25";"2";"—";"292000";"95 96 91";"10000";"Участвует в конкурсе";"1787705";"—"
"26";"2";"—";"280000";"90 96 91";"3000";"Участвует в конкурсе";"984285";"—"
"27";"9";"—";"279000";"92 98 86";"3000";"Участвует в конкурсе";"2338542";"—"
"28";"3";"—";"279000";"86 94 89";"10000";"Участвует в конкурсе";"1701584";"—"
"29";"1";"—";"272000";"94 79 89";"10000";"Участвует в конкурсе";"1247140";"—"
"30";"3";"—";"266000";"90 85 81";"10000";"Участвует в конкурсе";"1442377";"—"
"31";"1";"—";"265000";"94 86 75";"10000";"Участвует в конкурсе";"1551735";"—"
"32";"1";"—";"265000";"88 86 81";"10000";"Участвует в конкурсе";"1655338";"—"
"34";"6";"—";"257000";"94 80 78";"5000";"Участвует в конкурсе";"2390376";"—"
"35";"3";"—";"255000";"96 86 70";"3000";"Участвует в конкурсе";"1855219";"—"
"36";"4";"—";"255000";"90 90 72";"3000";"Участвует в конкурсе";"1211836";"—"
"37";"2";"—";"255000";"86 94 70";"5000";"Участвует в конкурсе";"1985631";"—"
"38";"1";"—";"254000";"80 86 78";"10000";"Участвует в конкурсе";"1190762";"—"
"39";"3";"—";"252000";"82 92 78";"—";"Участвует в конкурсе";"1425586";"—"
"40";"4";"—";"250000";"86 84 70";"10000";"Участвует в конкурсе";"1341025";"—"
"41";"6";"Электронное";"250000";"80 85 75";"10000";"Участвует в конкурсе";"1484943";"—"
"43";"3";"—";"248000";"84 86 75";"3000";"Участвует в конкурсе";"1191432";"—"
"44";"6";"—";"247000";"80 79 83";"5000";"Участвует в конкурсе";"1617324";"—"
"45";"4";"—";"246000";"80 77 89";"—";"Участвует в конкурсе";"1707980";"—"
"46";"8";"—";"246000";"72 83 81";"10000";"Участвует в конкурсе";"1892599";"—"
"48";"15";"—";"245000";"86 88 66";"5000";"Участвует в конкурсе";"1619582";"—"
"49";"1";"—";"245000";"80 92 67";"6000";"Участвует в конкурсе";"1415681";"—"
"50";"6";"—";"243000";"84 84 75";"—";"Участвует в конкурсе";"1287547";"—"
"51";"5";"—";"242000";"88 79 75";"—";"Участвует в конкурсе";"1647144";"—"
"52";"5";"—";"242000";"86 80 73";"3000";"Участвует в конкурсе";"1487394";"—"
"53";"4";"—";"241000";"82 80 69";"10000";"Участвует в конкурсе";"1682853";"—"
"56";"2";"—";"237000";"78 79 70";"10000";"Участвует в конкурсе";"2340178";"—"
"57";"14";"—";"235000";"76 82 75";"2000";"Участвует в конкурсе";"1620176";"—"
"58";"1";"—";"235000";"90 65 70";"10000";"Участвует в конкурсе";"2037353";"—"
"60";"20";"—";"231000";"80 75 66";"10000";"Участвует в конкурсе";"1430056";"—"
"61";"3";"—";"229000";"78 72 73";"6000";"Участвует в конкурсе";"1610493";"—"
"62";"5";"—";"224000";"84 67 73";"—";"Участвует в конкурсе";"2334195";"—"
"64";"1";"—";"222000";"72 74 73";"3000";"Участвует в конкурсе";"2005382";"—"
"65";"5";"—";"218000";"84 76 58";"—";"Участвует в конкурсе";"1179436";"—"
"66";"4";"—";"214000";"82 54 78";"—";"Участвует в конкурсе";"2337863";"—"
"67";"5";"—";"214000";"74 80 60";"—";"Участвует в конкурсе";"1215145";"—"
