"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"6";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1286034";"—"
"2";"3";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1228378";"—"
"3";"6";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1963316";"—"
"5";"2";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1701574";"—"
"6";"3";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2005718";"—"
"7";"9";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2030125";"—"
"9";"4";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1331580";"—"
"10";"3";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2182092";"—"
"11";"1";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1792091";"—"
"12";"7";"—";"1000";"x x x";"—";"Участвует в конкурсе";"963911";"—"
"13";"3";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1786277";"—"
"14";"2";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2393393";"—"
"15";"3";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1646516";"—"
"16";"2";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1205117";"—"
"18";"3";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1264427";"—"
"19";"4";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1189915";"—"
"20";"4";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1532227";"—"
"41";"2";"Электронное";"289000";"90 98 91";"10000";"Участвует в конкурсе";"1424910";"—"
"42";"2";"—";"279000";"86 94 89";"10000";"Участвует в конкурсе";"1701584";"—"
"43";"6";"—";"277000";"90 95 89";"3000";"Участвует в конкурсе";"1792648";"—"
"44";"6";"—";"277000";"90 94 83";"10000";"Участвует в конкурсе";"1645368";"—"
"45";"1";"Электронное";"273000";"86 88 89";"10000";"Участвует в конкурсе";"1389174";"—"
"46";"5";"—";"272000";"90 92 90";"—";"Участвует в конкурсе";"1880541";"—"
"47";"1";"—";"271000";"100 86 75";"10000";"Участвует в конкурсе";"1166092";"—"
"48";"2";"—";"267000";"92 84 81";"10000";"Участвует в конкурсе";"1855906";"—"
"49";"1";"—";"266000";"90 85 81";"10000";"Участвует в конкурсе";"1442377";"—"
"50";"3";"—";"265000";"88 86 81";"10000";"Участвует в конкурсе";"1655338";"—"
"51";"8";"—";"263000";"78 78 97";"10000";"Участвует в конкурсе";"1544161";"—"
"52";"3";"—";"262000";"94 83 75";"10000";"Участвует в конкурсе";"1562433";"—"
"53";"10";"—";"261000";"92 78 89";"2000";"Участвует в конкурсе";"1856516";"—"
"54";"7";"—";"261000";"88 80 83";"10000";"Участвует в конкурсе";"1998015";"—"
"55";"5";"—";"261000";"80 90 81";"10000";"Участвует в конкурсе";"1499557";"—"
"56";"5";"—";"259000";"88 93 75";"3000";"Участвует в конкурсе";"1505988";"—"
"57";"17";"—";"258000";"92 70 86";"10000";"Участвует в конкурсе";"2272665";"—"
"58";"2";"—";"258000";"86 76 86";"10000";"Участвует в конкурсе";"1039780";"—"
"59";"4";"—";"258000";"82 94 72";"10000";"Участвует в конкурсе";"2321704";"—"
"60";"2";"—";"257000";"84 77 86";"10000";"Участвует в конкурсе";"1847784";"—"
"61";"1";"—";"257000";"78 86 83";"10000";"Участвует в конкурсе";"1428988";"—"
"62";"4";"—";"255000";"96 86 70";"3000";"Участвует в конкурсе";"1855219";"—"
"63";"2";"—";"255000";"90 90 72";"3000";"Участвует в конкурсе";"1211836";"—"
"64";"3";"—";"255000";"86 94 70";"5000";"Участвует в конкурсе";"1985631";"—"
"65";"2";"—";"254000";"80 86 78";"10000";"Участвует в конкурсе";"1190762";"—"
"66";"2";"—";"252000";"82 92 78";"—";"Участвует в конкурсе";"1425586";"—"
"67";"7";"Электронное";"251000";"80 75 86";"10000";"Участвует в конкурсе";"1408916";"—"
"68";"4";"—";"250000";"86 83 81";"—";"Участвует в конкурсе";"1988346";"—"
"69";"5";"Электронное";"250000";"80 85 75";"10000";"Участвует в конкурсе";"1484943";"—"
"70";"2";"—";"250000";"80 82 78";"10000";"Участвует в конкурсе";"1610193";"—"
"71";"4";"Электронное";"249000";"82 92 72";"3000";"Участвует в конкурсе";"1174003";"—"
"72";"7";"—";"248000";"84 86 75";"3000";"Участвует в конкурсе";"1191432";"—"
"73";"5";"—";"248000";"78 77 83";"10000";"Участвует в конкурсе";"1913562";"—"
"75";"7";"—";"245000";"80 77 78";"10000";"Участвует в конкурсе";"1992796";"—"
"76";"4";"—";"244000";"80 86 78";"—";"Участвует в конкурсе";"2096503";"—"
"77";"1";"—";"242000";"88 79 75";"—";"Участвует в конкурсе";"1647144";"—"
"78";"2";"—";"241000";"82 86 70";"3000";"Участвует в конкурсе";"1272343";"—"
"80";"3";"—";"238000";"80 92 66";"—";"Участвует в конкурсе";"1283512";"—"
"82";"4";"—";"229000";"78 72 73";"6000";"Участвует в конкурсе";"1610493";"—"
"83";"1";"—";"225000";"84 77 64";"—";"Участвует в конкурсе";"1986390";"—"
"84";"6";"—";"223000";"80 71 72";"—";"Участвует в конкурсе";"1719752";"—"
"85";"3";"—";"222000";"78 73 61";"10000";"Участвует в конкурсе";"2246873";"—"
"86";"4";"—";"220000";"80 80 60";"—";"Участвует в конкурсе";"1860033";"—"
"88";"3";"—";"218000";"84 76 58";"—";"Участвует в конкурсе";"1179436";"—"
"89";"6";"—";"217000";"72 67 75";"3000";"Участвует в конкурсе";"1094576";"—"
"91";"8";"—";"215000";"70 46 89";"10000";"Участвует в конкурсе";"2187370";"—"
"92";"5";"—";"214000";"82 54 78";"—";"Участвует в конкурсе";"2337863";"—"
"93";"1";"Электронное";"214000";"76 67 63";"8000";"Участвует в конкурсе";"1605082";"—"
"94";"5";"Электронное";"213000";"76 70 64";"3000";"Участвует в конкурсе";"1581011";"—"
"95";"4";"—";"212000";"74 74 64";"—";"Участвует в конкурсе";"1645848";"—"
"96";"3";"—";"211000";"76 68 67";"—";"Участвует в конкурсе";"1553132";"—"
"97";"9";"—";"211000";"74 72 63";"2000";"Участвует в конкурсе";"1194112";"—"
"98";"2";"—";"209000";"78 67 64";"—";"Участвует в конкурсе";"1306200";"—"
"99";"11";"—";"209000";"74 72 63";"—";"Участвует в конкурсе";"1558029";"—"
"100";"8";"Электронное";"209000";"74 65 67";"3000";"Участвует в конкурсе";"1992677";"—"
"102";"1";"—";"205000";"78 73 54";"—";"Участвует в конкурсе";"1347804";"—"
"103";"2";"Электронное";"205000";"74 71 60";"—";"Участвует в конкурсе";"1620504";"—"
"104";"3";"—";"205000";"74 59 70";"2000";"Участвует в конкурсе";"2219910";"—"
