"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"2315404";"—"
"2";"1";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"2001625";"—"
"3";"1";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"2172211";"—"
"4";"2";"—";"308000";"100 98 100";"10000";"Участвует в конкурсе";"2106305";"—"
"5";"1";"—";"308000";"100 98 100";"10000";"Участвует в конкурсе";"1684150";"—"
"6";"4";"—";"306000";"100 96 100";"10000";"Участвует в конкурсе";"1640945";"—"
"7";"1";"—";"306000";"99 100 97";"10000";"Участвует в конкурсе";"1444762";"—"
"8";"6";"—";"306000";"96 100 100";"10000";"Участвует в конкурсе";"1446051";"—"
"9";"2";"—";"304000";"100 100 94";"10000";"Участвует в конкурсе";"1692148";"—"
"10";"1";"—";"304000";"100 100 94";"10000";"Участвует в конкурсе";"1187391";"—"
"11";"3";"—";"304000";"100 100 94";"10000";"Участвует в конкурсе";"1548838";"—"
"12";"1";"—";"304000";"96 98 100";"10000";"Участвует в конкурсе";"1511283";"—"
"13";"1";"—";"304000";"94 100 100";"10000";"Участвует в конкурсе";"1937545";"—"
"14";"2";"—";"303000";"96 100 97";"10000";"Участвует в конкурсе";"1516598";"—"
"15";"1";"Электронное";"303000";"96 100 97";"10000";"Участвует в конкурсе";"1761518";"—"
"16";"2";"—";"303000";"95 98 100";"10000";"Участвует в конкурсе";"1746145";"—"
"17";"1";"—";"302000";"100 98 94";"10000";"Участвует в конкурсе";"1713135";"—"
"18";"2";"—";"302000";"98 100 94";"10000";"Участвует в конкурсе";"1404718";"—"
"19";"1";"—";"302000";"96 96 100";"10000";"Участвует в конкурсе";"1624612";"—"
"20";"1";"—";"302000";"95 100 97";"10000";"Участвует в конкурсе";"1366907";"—"
"21";"5";"—";"302000";"92 100 100";"10000";"Участвует в конкурсе";"1731521";"—"
"22";"6";"—";"301000";"100 100 91";"10000";"Участвует в конкурсе";"1723490";"—"
"23";"5";"—";"301000";"99 98 94";"10000";"Участвует в конкурсе";"1353197";"—"
"24";"2";"—";"301000";"97 100 94";"10000";"Участвует в конкурсе";"2181239";"—"
"25";"1";"—";"301000";"94 100 97";"10000";"Участвует в конкурсе";"2246704";"—"
"26";"1";"—";"300000";"99 100 91";"10000";"Участвует в конкурсе";"1617830";"—"
"27";"11";"—";"300000";"99 100 91";"10000";"Участвует в конкурсе";"1999926";"—"
"28";"3";"—";"300000";"98 98 94";"10000";"Участвует в конкурсе";"1413880";"—"
"29";"5";"—";"300000";"98 95 97";"10000";"Участвует в конкурсе";"2232633";"—"
"30";"1";"—";"299000";"100 98 91";"10000";"Участвует в конкурсе";"1064266";"—"
"31";"2";"—";"299000";"100 98 91";"10000";"Участвует в конкурсе";"1563596";"—"
"32";"6";"—";"299000";"100 92 97";"10000";"Участвует в конкурсе";"1537543";"—"
"33";"1";"—";"299000";"95 100 94";"10000";"Участвует в конкурсе";"1582347";"—"
"34";"7";"—";"299000";"94 98 97";"10000";"Участвует в конкурсе";"1823670";"—"
"35";"3";"—";"299000";"92 100 97";"10000";"Участвует в конкурсе";"2001118";"—"
"36";"5";"—";"298000";"99 100 89";"10000";"Участвует в конкурсе";"2230184";"—"
"37";"1";"—";"298000";"99 98 91";"10000";"Участвует в конкурсе";"1128272";"—"
"38";"1";"Электронное";"298000";"96 98 94";"10000";"Участвует в конкурсе";"1533320";"—"
