"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"2139677";"—"
"2";"4";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1963316";"—"
"3";"3";"—";"1000";"x x x";"2000";"Участвует в конкурсе";"1061590";"—"
"4";"6";"Электронное";"1000";"x x x";"2000";"Участвует в конкурсе";"1344362";"—"
"5";"1";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1362452";"—"
"6";"14";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1417367";"—"
"7";"1";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1151124";"—"
"8";"3";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1517915";"—"
"9";"21";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1356884";"—"
"19";"4";"—";"292000";"82 100 100";"10000";"Участвует в конкурсе";"2266228";"—"
"20";"8";"—";"289000";"95 98 86";"10000";"Участвует в конкурсе";"1291171";"—"
"21";"6";"Электронное";"289000";"90 98 91";"10000";"Участвует в конкурсе";"1424910";"—"
"22";"11";"—";"287000";"92 96 89";"10000";"Участвует в конкурсе";"2101488";"—"
"23";"20";"—";"279000";"92 98 86";"3000";"Участвует в конкурсе";"2338542";"—"
"24";"1";"—";"277000";"90 94 83";"10000";"Участвует в конкурсе";"1645368";"—"
"25";"17";"—";"277000";"88 98 81";"10000";"Участвует в конкурсе";"977071";"—"
"26";"6";"—";"271000";"100 86 75";"10000";"Участвует в конкурсе";"1166092";"—"
"27";"3";"—";"265000";"94 86 75";"10000";"Участвует в конкурсе";"1551735";"—"
"28";"5";"—";"262000";"82 84 86";"10000";"Участвует в конкурсе";"1720043";"—"
"29";"5";"—";"257000";"94 80 78";"5000";"Участвует в конкурсе";"2390376";"—"
"30";"4";"—";"257000";"78 86 83";"10000";"Участвует в конкурсе";"1428988";"—"
"31";"2";"—";"255000";"96 86 70";"3000";"Участвует в конкурсе";"1855219";"—"
"32";"5";"—";"253000";"86 86 81";"—";"Участвует в конкурсе";"1261976";"—"
"33";"2";"—";"252000";"78 78 86";"10000";"Участвует в конкурсе";"1559423";"—"
"34";"4";"Электронное";"250000";"90 88 72";"—";"Участвует в конкурсе";"1651780";"—"
"35";"1";"—";"250000";"84 88 75";"3000";"Участвует в конкурсе";"1786203";"—"
"36";"4";"—";"249000";"78 86 75";"10000";"Участвует в конкурсе";"1286527";"—"
"37";"2";"—";"248000";"84 86 75";"3000";"Участвует в конкурсе";"1191432";"—"
"38";"23";"Электронное";"247000";"78 72 94";"3000";"Участвует в конкурсе";"1636327";"—"
"39";"18";"Электронное";"247000";"84 75 83";"5000";"Участвует в конкурсе";"2114839";"—"
"40";"2";"—";"247000";"80 79 83";"5000";"Участвует в конкурсе";"1617324";"—"
"41";"2";"—";"247000";"80 74 83";"10000";"Участвует в конкурсе";"1238557";"—"
"43";"2";"—";"244000";"80 86 78";"—";"Участвует в конкурсе";"2096503";"—"
"44";"2";"—";"243000";"84 84 75";"—";"Участвует в конкурсе";"1287547";"—"
"45";"2";"Электронное";"242000";"80 77 75";"10000";"Участвует в конкурсе";"1120139";"—"
"46";"2";"—";"241000";"82 80 69";"10000";"Участвует в конкурсе";"1682853";"—"
"47";"2";"Электронное";"240000";"74 72 84";"10000";"Участвует в конкурсе";"1360972";"—"
"48";"4";"—";"237000";"78 79 70";"10000";"Участвует в конкурсе";"2340178";"—"
"49";"2";"—";"235000";"90 65 70";"10000";"Участвует в конкурсе";"2037353";"—"
"50";"4";"—";"234000";"86 79 67";"2000";"Участвует в конкурсе";"1717276";"—"
"51";"1";"—";"234000";"74 68 89";"3000";"Участвует в конкурсе";"1191024";"—"
"52";"4";"—";"232000";"78 71 83";"—";"Участвует в конкурсе";"1857284";"—"
"54";"27";"—";"230000";"74 78 75";"3000";"Участвует в конкурсе";"1556614";"—"
"55";"3";"—";"226000";"82 84 57";"3000";"Участвует в конкурсе";"2136016";"—"
"56";"3";"—";"224000";"70 82 72";"—";"Участвует в конкурсе";"1293446";"—"
"57";"4";"—";"223000";"80 71 72";"—";"Участвует в конкурсе";"1719752";"—"
"58";"2";"—";"222000";"74 73 72";"3000";"Участвует в конкурсе";"1225852";"—"
"59";"2";"—";"222000";"72 74 73";"3000";"Участвует в конкурсе";"2005382";"—"
"61";"4";"Электронное";"219000";"74 64 81";"—";"Участвует в конкурсе";"2143282";"—"
"62";"5";"—";"214000";"78 70 66";"—";"Участвует в конкурсе";"1068240";"—"
"63";"4";"—";"214000";"74 59 78";"3000";"Участвует в конкурсе";"2096838";"—"
"64";"4";"Электронное";"214000";"76 67 63";"8000";"Участвует в конкурсе";"1605082";"—"
"65";"8";"—";"213000";"74 70 69";"—";"Участвует в конкурсе";"1820625";"—"
"66";"3";"—";"213000";"70 73 70";"—";"Участвует в конкурсе";"1628375";"—"
"67";"3";"Электронное";"213000";"74 56 75";"8000";"Участвует в конкурсе";"1987404";"—"
"68";"1";"—";"213000";"74 68 61";"10000";"Участвует в конкурсе";"1580191";"—"
"69";"2";"—";"212000";"76 67 69";"—";"Участвует в конкурсе";"1994994";"—"
"70";"2";"—";"210000";"70 79 61";"—";"Участвует в конкурсе";"1433745";"—"
"71";"2";"—";"210000";"70 67 73";"—";"Участвует в конкурсе";"1646526";"—"
"72";"3";"Электронное";"209000";"72 68 69";"—";"Участвует в конкурсе";"2143367";"—"
"73";"1";"Электронное";"209000";"74 65 67";"3000";"Участвует в конкурсе";"1992677";"—"
"74";"2";"—";"208000";"70 74 64";"—";"Участвует в конкурсе";"2260093";"—"
"75";"4";"—";"205000";"82 59 64";"—";"Участвует в конкурсе";"2302682";"—"
"76";"6";"Электронное";"204000";"66 55 83";"—";"Участвует в конкурсе";"2259288";"—"
"77";"12";"—";"204000";"70 68 57";"9000";"Участвует в конкурсе";"2164859";"—"
"78";"1";"—";"203000";"74 56 63";"10000";"Участвует в конкурсе";"1060971";"—"
"79";"5";"—";"201000";"68 50 83";"—";"Участвует в конкурсе";"1515050";"—"
"80";"3";"—";"199000";"70 65 64";"—";"Участвует в конкурсе";"2248965";"—"
"82";"2";"—";"193000";"70 62 55";"6000";"Участвует в конкурсе";"2203673";"—"
"83";"1";"—";"192000";"74 65 51";"2000";"Участвует в конкурсе";"1366413";"—"
"84";"12";"—";"192000";"64 64 61";"3000";"Участвует в конкурсе";"1931160";"—"
"85";"1";"—";"192000";"70 58 57";"7000";"Участвует в конкурсе";"1888024";"—"
"86";"4";"—";"182000";"64 54 64";"—";"Участвует в конкурсе";"1614366";"—"
"87";"4";"—";"174000";"58 72 42";"2000";"Участвует в конкурсе";"1513025";"—"
"88";"1";"—";"167000";"64 54 49";"—";"Участвует в конкурсе";"2340776";"—"
"89";"3";"—";"167000";"64 51 52";"—";"Участвует в конкурсе";"1192576";"—"
"90";"4";"—";"165000";"64 61 40";"—";"Участвует в конкурсе";"1145405";"—"
"92";"1";"—";"160000";"58 54 48";"—";"Участвует в конкурсе";"1107757";"—"
