"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"23";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2236528";"—"
"2";"5";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2053380";"—"
"3";"24";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2119826";"—"
"4";"31";"—";"25000";"x";"25000";"На рассмотрении";"2451320";"—"
"5";"28";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2044638";"—"
"6";"29";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2363771";"—"
"7";"6";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1417452";"—"
"8";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1964729";"—"
"9";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2056013";"—"
"10";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2024261";"—"
"11";"2";"—";"25000";"x";"25000";"На рассмотрении";"2390468";"—"
"12";"10";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2095188";"—"
"13";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2249701";"—"
"14";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2364629";"—"
"16";"5";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2150908";"—"
"17";"28";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2424001";"—"
"18";"18";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2431995";"—"
"19";"7";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2355612";"—"
"21";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2413825";"—"
"22";"3";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1909445";"—"
"23";"27";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2437204";"—"
"24";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2456862";"—"
"25";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2421065";"—"
"26";"31";"—";"—";"-";"—";"Ожидание результатов ВИ";"1336113";"—"
