"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"21";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2236528";"—"
"2";"3";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1885582";"—"
"3";"19";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2314256";"—"
"4";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2050374";"—"
"5";"13";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2101723";"—"
"6";"3";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2114233";"—"
"7";"2";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2089348";"—"
"8";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2133522";"—"
"9";"5";"—";"35000";"-";"35000";"Ожидание результатов ВИ";"2046504";"—"
"10";"13";"—";"30000";"-";"30000";"Ожидание результатов ВИ";"1479813";"—"
"11";"7";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2119826";"—"
"12";"33";"—";"25000";"x";"25000";"На рассмотрении";"2451320";"—"
"13";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2118700";"—"
"14";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2120073";"—"
"15";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2119929";"—"
"16";"29";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2044638";"—"
"17";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1997112";"—"
"18";"31";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2363771";"—"
"19";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1417452";"—"
"20";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1024649";"—"
"21";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2204515";"—"
