"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1710349";"—"
"2";"2";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"952490";"—"
"3";"2";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1887703";"—"
"4";"4";"Электронное";"1000";"x x x";"2000";"Участвует в конкурсе";"1072368";"—"
"5";"5";"Электронное";"1000";"x x x";"2000";"Участвует в конкурсе";"2342627";"—"
"6";"5";"—";"1000";"x x x";"2000";"Участвует в конкурсе";"1351565";"—"
"7";"2";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1476992";"—"
"8";"4";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1716763";"—"
"9";"2";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1172964";"—"
"10";"1";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2393393";"—"
"11";"3";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2412277";"—"
"12";"1";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1338379";"—"
"13";"1";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1782301";"—"
"15";"6";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1997738";"—"
"31";"1";"—";"289000";"90 100 89";"10000";"Участвует в конкурсе";"1349604";"—"
"32";"4";"—";"288000";"82 99 97";"10000";"Участвует в конкурсе";"1440526";"—"
"33";"3";"—";"278000";"78 90 100";"10000";"Участвует в конкурсе";"1697693";"—"
"34";"1";"Электронное";"273000";"95 93 75";"10000";"Участвует в конкурсе";"1914229";"—"
"35";"3";"—";"272000";"78 93 91";"10000";"Участвует в конкурсе";"1357532";"—"
"36";"8";"Электронное";"270000";"95 95 70";"10000";"Участвует в конкурсе";"1885894";"—"
"37";"5";"—";"270000";"78 93 89";"10000";"Участвует в конкурсе";"1285589";"—"
"38";"5";"—";"269000";"92 86 81";"10000";"Участвует в конкурсе";"1441444";"—"
"39";"12";"Электронное";"268000";"80 97 81";"10000";"Участвует в конкурсе";"2133587";"—"
"40";"4";"Электронное";"268000";"80 95 83";"10000";"Участвует в конкурсе";"1130561";"—"
"41";"6";"Электронное";"266000";"86 91 83";"6000";"Участвует в конкурсе";"1211432";"—"
"42";"6";"Электронное";"266000";"82 88 86";"10000";"Участвует в конкурсе";"1983467";"—"
"43";"5";"—";"265000";"76 93 86";"10000";"Участвует в конкурсе";"1650750";"—"
"44";"4";"—";"261000";"88 91 72";"10000";"Участвует в конкурсе";"2311228";"—"
"45";"9";"—";"259000";"88 86 75";"10000";"Участвует в конкурсе";"1813178";"—"
"46";"3";"—";"259000";"86 88 75";"10000";"Участвует в конкурсе";"1598112";"—"
"47";"2";"Электронное";"259000";"76 95 78";"10000";"Участвует в конкурсе";"2264007";"—"
"48";"3";"—";"259000";"74 100 75";"10000";"Участвует в конкурсе";"1726418";"—"
"49";"6";"—";"251000";"84 84 73";"10000";"Участвует в конкурсе";"1196162";"—"
"50";"2";"—";"250000";"78 91 81";"—";"Участвует в конкурсе";"1283273";"—"
"51";"10";"—";"250000";"78 84 78";"10000";"Участвует в конкурсе";"1793355";"—"
"52";"4";"—";"249000";"80 93 73";"3000";"Участвует в конкурсе";"1585243";"—"
"53";"4";"Электронное";"247000";"90 75 80";"2000";"Участвует в конкурсе";"1773660";"—"
"54";"1";"—";"247000";"82 86 69";"10000";"Участвует в конкурсе";"1716062";"—"
"56";"3";"—";"246000";"80 78 78";"10000";"Участвует в конкурсе";"1709045";"—"
"57";"4";"—";"244000";"82 90 72";"—";"Участвует в конкурсе";"2302752";"—"
"58";"4";"—";"243000";"74 86 73";"10000";"Участвует в конкурсе";"2054271";"—"
"59";"2";"—";"242000";"78 88 73";"3000";"Участвует в конкурсе";"1256542";"—"
"60";"2";"—";"241000";"77 82 72";"10000";"Участвует в конкурсе";"2244189";"—"
"61";"4";"—";"240000";"70 95 72";"3000";"Участвует в конкурсе";"1794208";"—"
"62";"2";"Электронное";"239000";"82 84 63";"10000";"Участвует в конкурсе";"1289746";"—"
"63";"4";"—";"237000";"88 88 61";"—";"Участвует в конкурсе";"2182668";"—"
"64";"1";"Электронное";"237000";"80 91 63";"3000";"Участвует в конкурсе";"1248654";"—"
"66";"1";"—";"237000";"78 68 81";"10000";"Участвует в конкурсе";"1566313";"—"
"67";"3";"—";"236000";"80 86 70";"—";"Участвует в конкурсе";"1226688";"—"
"68";"6";"—";"234000";"70 86 78";"—";"Участвует в конкурсе";"2207477";"—"
"69";"4";"—";"234000";"70 78 86";"—";"Участвует в конкурсе";"1258736";"—"
"71";"3";"—";"233000";"76 84 63";"10000";"Участвует в конкурсе";"1173645";"—"
"72";"10";"—";"233000";"72 82 69";"10000";"Участвует в конкурсе";"1152888";"—"
"74";"3";"—";"228000";"76 69 75";"8000";"Участвует в конкурсе";"1038965";"—"
"75";"7";"—";"226000";"74 69 73";"10000";"Участвует в конкурсе";"1610732";"—"
"76";"3";"—";"225000";"78 80 67";"—";"Участвует в конкурсе";"1680540";"—"
"77";"5";"—";"221000";"70 84 67";"—";"Участвует в конкурсе";"1626572";"—"
"78";"11";"—";"220000";"80 60 70";"10000";"Участвует в конкурсе";"2122234";"—"
"79";"6";"—";"219000";"70 66 73";"10000";"Участвует в конкурсе";"1438320";"—"
"80";"3";"—";"218000";"64 90 64";"—";"Участвует в конкурсе";"2049105";"—"
"81";"5";"Электронное";"218000";"80 57 78";"3000";"Участвует в конкурсе";"1362251";"—"
"82";"7";"—";"216000";"64 69 73";"10000";"Участвует в конкурсе";"1940411";"—"
"83";"5";"Электронное";"214000";"74 74 66";"—";"Участвует в конкурсе";"2237954";"—"
"84";"4";"—";"213000";"70 74 67";"2000";"Участвует в конкурсе";"1767271";"—"
"85";"3";"—";"207000";"70 68 69";"—";"Участвует в конкурсе";"1832869";"—"
"86";"2";"—";"202000";"64 57 78";"3000";"Участвует в конкурсе";"1953426";"—"
"87";"11";"—";"201000";"58 70 73";"—";"Участвует в конкурсе";"2001041";"—"
"88";"7";"Электронное";"201000";"58 70 63";"10000";"Участвует в конкурсе";"1365244";"—"
"89";"5";"—";"200000";"70 53 67";"10000";"Участвует в конкурсе";"1753874";"—"
"90";"8";"—";"199000";"58 86 55";"—";"Участвует в конкурсе";"1140242";"—"
"91";"3";"—";"195000";"70 64 61";"—";"Участвует в конкурсе";"2205141";"—"
"92";"5";"—";"194000";"64 66 64";"—";"Участвует в конкурсе";"1018531";"—"
"93";"11";"—";"188000";"70 69 49";"—";"Участвует в конкурсе";"2307091";"—"
"94";"4";"—";"186000";"64 62 57";"3000";"Участвует в конкурсе";"1361187";"—"
"95";"11";"—";"184000";"52 65 64";"3000";"Участвует в конкурсе";"1837421";"—"
"96";"1";"—";"179000";"46 69 61";"3000";"Участвует в конкурсе";"1826136";"—"
"97";"2";"—";"178000";"64 62 52";"—";"Участвует в конкурсе";"1149875";"—"
"98";"1";"—";"174000";"52 62 60";"—";"Участвует в конкурсе";"1382509";"—"
"99";"2";"—";"172000";"64 53 55";"—";"Участвует в конкурсе";"1253600";"—"
"100";"6";"Электронное";"171000";"40 61 70";"—";"Участвует в конкурсе";"2229574";"—"
"101";"9";"—";"169000";"58 47 64";"—";"Участвует в конкурсе";"2221676";"—"
"103";"2";"—";"154000";"58 48 45";"3000";"Участвует в конкурсе";"2281920";"—"
"104";"2";"—";"154000";"40 51 60";"3000";"Участвует в конкурсе";"2253286";"—"
"105";"2";"—";"144000";"46 47 51";"—";"Участвует в конкурсе";"2253347";"—"
"106";"4";"—";"139000";"46 44 49";"—";"Участвует в конкурсе";"974253";"—"
"107";"4";"—";"138000";"40 44 54";"—";"Участвует в конкурсе";"1904158";"—"
