"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"4";"—";"299000";"92 100 97";"10000";"Участвует в конкурсе";"1892250";"—"
"2";"10";"—";"295000";"99 97 89";"10000";"Участвует в конкурсе";"1345716";"—"
"3";"4";"—";"291000";"92 95 94";"10000";"Участвует в конкурсе";"1346514";"—"
"4";"9";"—";"289000";"90 100 89";"10000";"Участвует в конкурсе";"1466394";"—"
"5";"7";"—";"288000";"88 90 100";"10000";"Участвует в конкурсе";"1909202";"—"
"6";"4";"—";"287000";"86 100 91";"10000";"Участвует в конкурсе";"1332080";"—"
"7";"3";"—";"284000";"88 95 91";"10000";"Участвует в конкурсе";"1352337";"—"
"9";"8";"—";"280000";"90 91 89";"10000";"Участвует в конкурсе";"1365907";"—"
"10";"4";"—";"280000";"88 91 91";"10000";"Участвует в конкурсе";"1853700";"—"
"11";"12";"—";"280000";"80 99 91";"10000";"Участвует в конкурсе";"1255797";"—"
"12";"5";"—";"279000";"90 100 86";"3000";"Участвует в конкурсе";"1102219";"—"
"13";"7";"—";"277000";"92 84 91";"10000";"Участвует в конкурсе";"1695980";"—"
"14";"5";"—";"276000";"96 97 83";"—";"Участвует в конкурсе";"2082865";"—"
"15";"10";"—";"276000";"84 99 83";"10000";"Участвует в конкурсе";"1338321";"—"
"16";"8";"—";"276000";"82 84 100";"10000";"Участвует в конкурсе";"1649937";"—"
"17";"8";"—";"275000";"80 99 86";"10000";"Участвует в конкурсе";"1677376";"—"
"18";"6";"—";"274000";"92 99 83";"—";"Участвует в конкурсе";"1291618";"—"
"19";"2";"—";"274000";"90 91 91";"2000";"Участвует в конкурсе";"1940153";"—"
"20";"8";"—";"274000";"96 82 86";"10000";"Участвует в конкурсе";"1503436";"—"
"21";"7";"—";"274000";"88 95 81";"10000";"Участвует в конкурсе";"1198288";"—"
"22";"11";"—";"274000";"84 97 83";"10000";"Участвует в конкурсе";"1271063";"—"
"23";"7";"—";"272000";"90 100 72";"10000";"Участвует в конкурсе";"1330875";"—"
