"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"7";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1887703";"—"
"2";"7";"—";"1000";"x x x";"2000";"Участвует в конкурсе";"1351565";"—"
"3";"9";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1476992";"—"
"4";"1";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1716763";"—"
"5";"7";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1478016";"—"
"6";"4";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1782301";"—"
"7";"3";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1997738";"—"
"15";"1";"—";"303000";"97 99 97";"10000";"Участвует в конкурсе";"1171803";"—"
"16";"3";"—";"289000";"90 100 89";"10000";"Участвует в конкурсе";"1349604";"—"
"17";"1";"—";"288000";"96 99 83";"10000";"Участвует в конкурсе";"1171604";"—"
"18";"5";"—";"288000";"82 99 97";"10000";"Участвует в конкурсе";"1440526";"—"
"19";"4";"Электронное";"273000";"95 93 75";"10000";"Участвует в конкурсе";"1914229";"—"
"20";"5";"Электронное";"270000";"95 95 70";"10000";"Участвует в конкурсе";"1885894";"—"
"21";"4";"—";"270000";"78 93 89";"10000";"Участвует в конкурсе";"1285589";"—"
"22";"4";"—";"269000";"92 86 81";"10000";"Участвует в конкурсе";"1441444";"—"
"23";"7";"Электронное";"268000";"80 97 81";"10000";"Участвует в конкурсе";"2133587";"—"
"24";"6";"Электронное";"268000";"80 95 83";"10000";"Участвует в конкурсе";"1130561";"—"
"25";"5";"Электронное";"266000";"86 91 83";"6000";"Участвует в конкурсе";"1211432";"—"
"26";"4";"Электронное";"266000";"82 88 86";"10000";"Участвует в конкурсе";"1983467";"—"
"27";"9";"—";"262000";"86 93 73";"10000";"Участвует в конкурсе";"1503915";"—"
