"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"3";"—";"299000";"92 100 97";"10000";"Участвует в конкурсе";"1892250";"—"
"2";"7";"—";"295000";"99 97 89";"10000";"Участвует в конкурсе";"1345716";"—"
"3";"3";"—";"291000";"92 95 94";"10000";"Участвует в конкурсе";"1346514";"—"
"4";"7";"—";"290000";"92 91 97";"10000";"Участвует в конкурсе";"1719290";"—"
"5";"7";"—";"289000";"90 100 89";"10000";"Участвует в конкурсе";"1466394";"—"
"7";"3";"—";"288000";"88 90 100";"10000";"Участвует в конкурсе";"1909202";"—"
"8";"7";"—";"282000";"95 91 86";"10000";"Участвует в конкурсе";"1384317";"—"
"10";"10";"—";"280000";"90 91 89";"10000";"Участвует в конкурсе";"1365907";"—"
"11";"9";"—";"279000";"90 100 86";"3000";"Участвует в конкурсе";"1102219";"—"
"12";"4";"—";"276000";"96 97 83";"—";"Участвует в конкурсе";"2082865";"—"
"13";"7";"—";"276000";"84 99 83";"10000";"Участвует в конкурсе";"1338321";"—"
"14";"6";"—";"276000";"82 84 100";"10000";"Участвует в конкурсе";"1649937";"—"
"15";"7";"—";"275000";"80 99 86";"10000";"Участвует в конкурсе";"1677376";"—"
"16";"8";"—";"274000";"92 99 83";"—";"Участвует в конкурсе";"1291618";"—"
"17";"6";"—";"274000";"96 82 86";"10000";"Участвует в конкурсе";"1503436";"—"
"18";"7";"—";"274000";"84 99 81";"10000";"Участвует в конкурсе";"1913923";"—"
"19";"5";"—";"274000";"84 97 83";"10000";"Участвует в конкурсе";"1271063";"—"
"20";"2";"—";"273000";"72 97 94";"10000";"Участвует в конкурсе";"1543213";"—"
"21";"9";"—";"272000";"90 100 72";"10000";"Участвует в конкурсе";"1330875";"—"
"22";"2";"—";"272000";"88 93 81";"10000";"Участвует в конкурсе";"1357462";"—"
"23";"3";"—";"271000";"92 93 81";"5000";"Участвует в конкурсе";"1255525";"—"
"24";"9";"—";"271000";"92 86 83";"10000";"Участвует в конкурсе";"1797045";"—"
"26";"9";"—";"270000";"88 99 78";"5000";"Участвует в конкурсе";"991423";"—"
"27";"9";"—";"270000";"78 93 89";"10000";"Участвует в конкурсе";"1632201";"—"
"28";"9";"—";"269000";"92 86 81";"10000";"Участвует в конкурсе";"1441444";"—"
"29";"3";"—";"268000";"84 93 91";"—";"Участвует в конкурсе";"2221707";"—"
"30";"3";"—";"268000";"88 95 75";"10000";"Участвует в конкурсе";"973368";"—"
"31";"3";"—";"268000";"80 97 81";"10000";"Участвует в конкурсе";"1267476";"—"
"32";"11";"—";"266000";"80 90 86";"10000";"Участвует в конкурсе";"1261722";"—"
"33";"9";"—";"265000";"82 97 86";"—";"Участвует в конкурсе";"2084428";"—"
"34";"8";"—";"265000";"88 86 81";"10000";"Участвует в конкурсе";"1230777";"—"
"35";"10";"—";"265000";"88 86 81";"10000";"Участвует в конкурсе";"2093390";"—"
"36";"6";"—";"265000";"84 90 81";"10000";"Участвует в конкурсе";"1358178";"—"
"37";"2";"—";"265000";"82 100 73";"10000";"Участвует в конкурсе";"1730508";"—"
"38";"8";"—";"265000";"78 86 91";"10000";"Участвует в конкурсе";"1736272";"—"
"39";"1";"—";"264000";"88 77 89";"10000";"Участвует в конкурсе";"1906096";"—"
"40";"10";"—";"264000";"86 93 75";"10000";"Участвует в конкурсе";"1999848";"—"
"41";"9";"—";"264000";"86 82 86";"10000";"Участвует в конкурсе";"1515478";"—"
