"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1253616";"—"
"2";"9";"—";"310000";"100 100 100";"10000";"Участвует в конкурсе";"1607125";"—"
"3";"5";"—";"308000";"98 100 100";"10000";"Участвует в конкурсе";"1570635";"—"
"4";"7";"—";"304000";"94 100 100";"10000";"Участвует в конкурсе";"1944693";"—"
"5";"2";"—";"303000";"100 99 94";"10000";"Участвует в конкурсе";"1144791";"—"
"6";"3";"—";"303000";"97 99 97";"10000";"Участвует в конкурсе";"1171803";"—"
"7";"7";"—";"302000";"98 100 94";"10000";"Участвует в конкурсе";"1076937";"—"
"8";"9";"—";"301000";"100 100 91";"10000";"Участвует в конкурсе";"1469570";"—"
"9";"9";"—";"301000";"100 97 94";"10000";"Участвует в конкурсе";"1171946";"—"
"10";"8";"—";"301000";"92 99 100";"10000";"Участвует в конкурсе";"1174595";"—"
"11";"7";"—";"299000";"98 100 91";"10000";"Участвует в конкурсе";"1182946";"—"
"12";"6";"—";"299000";"95 100 94";"10000";"Участвует в конкурсе";"1719922";"—"
"13";"3";"—";"299000";"92 100 97";"10000";"Участвует в конкурсе";"1892250";"—"
"14";"7";"—";"299000";"92 100 97";"10000";"Участвует в конкурсе";"1252147";"—"
"15";"11";"Электронное";"298000";"98 99 91";"10000";"Участвует в конкурсе";"1490337";"—"
"16";"11";"Электронное";"298000";"98 99 91";"10000";"Участвует в конкурсе";"1785990";"—"
"17";"6";"—";"298000";"94 100 94";"10000";"Участвует в конкурсе";"1916073";"—"
"18";"6";"—";"297000";"98 100 89";"10000";"Участвует в конкурсе";"1410521";"—"
"19";"9";"—";"296000";"98 91 97";"10000";"Участвует в конкурсе";"1579069";"—"
"20";"7";"—";"296000";"95 100 91";"10000";"Участвует в конкурсе";"1125482";"—"
"21";"4";"—";"296000";"92 100 94";"10000";"Участвует в конкурсе";"1513224";"—"
"22";"6";"—";"295000";"99 97 89";"10000";"Участвует в конкурсе";"1345716";"—"
"23";"12";"—";"295000";"98 93 94";"10000";"Участвует в конкурсе";"1709631";"—"
"24";"6";"—";"295000";"96 100 89";"10000";"Участвует в конкурсе";"1631003";"—"
"25";"10";"—";"294000";"90 100 94";"10000";"Участвует в конкурсе";"1632941";"—"
"26";"6";"Электронное";"294000";"90 100 94";"10000";"Участвует в конкурсе";"1166134";"—"
"27";"3";"—";"293000";"98 99 86";"10000";"Участвует в конкурсе";"1410371";"—"
"28";"5";"—";"293000";"98 99 86";"10000";"Участвует в конкурсе";"1181829";"—"
"29";"9";"—";"293000";"86 100 97";"10000";"Участвует в конкурсе";"1770306";"—"
"30";"2";"—";"292000";"94 97 91";"10000";"Участвует в конкурсе";"1984429";"—"
"31";"7";"—";"292000";"90 95 97";"10000";"Участвует в конкурсе";"1728863";"—"
"32";"8";"—";"291000";"94 93 94";"10000";"Участвует в конкурсе";"1610635";"—"
"33";"3";"—";"291000";"92 95 94";"10000";"Участвует в конкурсе";"1346514";"—"
"34";"3";"—";"290000";"88 99 100";"3000";"Участвует в конкурсе";"1241558";"—"
"35";"8";"—";"290000";"95 88 97";"10000";"Участвует в конкурсе";"1872001";"—"
"36";"6";"—";"290000";"94 95 91";"10000";"Участвует в конкурсе";"1209417";"—"
"37";"7";"—";"290000";"92 99 89";"10000";"Участвует в конкурсе";"1386476";"—"
"38";"9";"—";"290000";"92 97 91";"10000";"Участвует в конкурсе";"1412349";"—"
"39";"7";"—";"290000";"92 91 97";"10000";"Участвует в конкурсе";"1719290";"—"
"40";"1";"—";"290000";"90 99 91";"10000";"Участвует в конкурсе";"941629";"—"
"41";"8";"—";"289000";"100 97 89";"3000";"Участвует в конкурсе";"1517278";"—"
"42";"4";"—";"289000";"94 99 86";"10000";"Участвует в конкурсе";"1199626";"—"
"43";"7";"—";"289000";"90 100 89";"10000";"Участвует в конкурсе";"1349604";"—"
"44";"8";"—";"289000";"90 100 89";"10000";"Участвует в конкурсе";"1466394";"—"
"46";"1";"—";"289000";"88 100 91";"10000";"Участвует в конкурсе";"1317427";"—"
"47";"9";"—";"289000";"88 100 91";"10000";"Участвует в конкурсе";"2180387";"—"
"48";"9";"—";"289000";"88 97 94";"10000";"Участвует в конкурсе";"998448";"—"
"49";"3";"—";"289000";"88 97 94";"10000";"Участвует в конкурсе";"2053132";"—"
"50";"3";"—";"289000";"82 100 97";"10000";"Участвует в конкурсе";"1321176";"—"
"51";"2";"—";"289000";"80 99 100";"10000";"Участвует в конкурсе";"1899279";"—"
"52";"10";"—";"288000";"95 100 83";"10000";"Участвует в конкурсе";"1279075";"—"
"53";"8";"—";"288000";"94 90 94";"10000";"Участвует в конкурсе";"1523676";"—"
"54";"11";"—";"288000";"92 100 86";"10000";"Участвует в конкурсе";"1156845";"—"
"56";"5";"—";"288000";"90 99 89";"10000";"Участвует в конкурсе";"1431339";"—"
"57";"6";"—";"288000";"90 99 89";"10000";"Участвует в конкурсе";"1420693";"—"
"58";"2";"—";"288000";"88 99 91";"10000";"Участвует в конкурсе";"1347685";"—"
"59";"9";"—";"288000";"88 99 91";"10000";"Участвует в конкурсе";"1252095";"—"
"60";"11";"—";"288000";"88 99 91";"10000";"Участвует в конкурсе";"1476115";"—"
"61";"7";"—";"288000";"88 93 97";"10000";"Участвует в конкурсе";"1847549";"—"
"62";"4";"—";"288000";"88 90 100";"10000";"Участвует в конкурсе";"1909202";"—"
"63";"3";"—";"288000";"82 99 97";"10000";"Участвует в конкурсе";"1440526";"—"
"64";"8";"—";"287000";"99 100 78";"10000";"Участвует в конкурсе";"1259402";"—"
"65";"2";"—";"287000";"96 95 86";"10000";"Участвует в конкурсе";"1124563";"—"
"66";"9";"—";"287000";"86 91 100";"10000";"Участвует в конкурсе";"1205189";"—"
"67";"2";"—";"287000";"84 99 94";"10000";"Участвует в конкурсе";"1436969";"—"
"68";"2";"—";"287000";"84 99 94";"10000";"Участвует в конкурсе";"1618034";"—"
"70";"8";"—";"287000";"80 97 100";"10000";"Участвует в конкурсе";"1573309";"—"
"71";"4";"Электронное";"286000";"94 99 83";"10000";"Участвует в конкурсе";"2251476";"—"
"72";"8";"—";"286000";"90 97 89";"10000";"Участвует в конкурсе";"1254616";"—"
"73";"9";"Электронное";"286000";"88 99 89";"10000";"Участвует в конкурсе";"1402002";"—"
"74";"5";"—";"286000";"88 97 91";"10000";"Участвует в конкурсе";"1583644";"—"
"75";"6";"—";"286000";"84 95 97";"10000";"Участвует в конкурсе";"1282923";"—"
"76";"6";"—";"286000";"82 100 94";"10000";"Участвует в конкурсе";"1462698";"—"
"77";"7";"—";"285000";"90 99 91";"5000";"Участвует в конкурсе";"1440751";"—"
"78";"8";"—";"285000";"94 95 86";"10000";"Участвует в конкурсе";"1256924";"—"
"80";"13";"—";"284000";"98 93 83";"10000";"Участвует в конкурсе";"2166891";"—"
"81";"9";"—";"284000";"96 97 81";"10000";"Участвует в конкурсе";"1491160";"—"
"82";"8";"—";"284000";"96 95 83";"10000";"Участвует в конкурсе";"1778828";"—"
"83";"3";"—";"284000";"90 95 89";"10000";"Участвует в конкурсе";"1758464";"—"
"84";"6";"—";"284000";"86 99 89";"10000";"Участвует в конкурсе";"1362991";"—"
"85";"2";"—";"284000";"84 99 91";"10000";"Участвует в конкурсе";"1686341";"—"
"86";"7";"—";"283000";"96 99 78";"10000";"Участвует в конкурсе";"1389568";"—"
"87";"9";"—";"283000";"88 99 86";"10000";"Участвует в конкурсе";"2141389";"—"
"88";"6";"—";"283000";"88 99 86";"10000";"Участвует в конкурсе";"1749592";"—"
"89";"12";"—";"283000";"86 93 94";"10000";"Участвует в конкурсе";"2001578";"—"
"90";"9";"—";"283000";"84 100 89";"10000";"Участвует в конкурсе";"1609441";"—"
"91";"7";"—";"283000";"84 95 94";"10000";"Участвует в конкурсе";"1233667";"—"
"92";"5";"—";"283000";"84 95 94";"10000";"Участвует в конкурсе";"1647262";"—"
"93";"7";"—";"282000";"95 91 86";"10000";"Участвует в конкурсе";"1384317";"—"
"94";"4";"—";"282000";"92 91 89";"10000";"Участвует в конкурсе";"1394658";"—"
"95";"3";"—";"282000";"90 99 83";"10000";"Участвует в конкурсе";"1520555";"—"
"96";"6";"Электронное";"282000";"86 100 86";"10000";"Участвует в конкурсе";"1985455";"—"
"97";"3";"—";"282000";"84 99 89";"10000";"Участвует в конкурсе";"1578122";"—"
"98";"4";"—";"282000";"84 97 91";"10000";"Участвует в конкурсе";"1483938";"—"
"99";"4";"—";"281000";"90 90 91";"10000";"Участвует в конкурсе";"1290497";"—"
"100";"3";"—";"281000";"88 100 83";"10000";"Участвует в конкурсе";"1789872";"—"
"101";"4";"—";"281000";"88 97 86";"10000";"Участвует в конкурсе";"1639601";"—"
"103";"1";"—";"281000";"86 99 86";"10000";"Участвует в конкурсе";"1347973";"—"
"104";"5";"—";"281000";"84 90 97";"10000";"Участвует в конкурсе";"1426889";"—"
"105";"1";"—";"281000";"82 100 89";"10000";"Участвует в конкурсе";"1912510";"—"
"106";"11";"—";"281000";"82 100 89";"10000";"Участвует в конкурсе";"2079075";"—"
"107";"9";"—";"281000";"82 95 94";"10000";"Участвует в конкурсе";"2135711";"—"
"108";"9";"—";"281000";"78 99 94";"10000";"Участвует в конкурсе";"1435003";"—"
"109";"2";"—";"280000";"96 99 75";"10000";"Участвует в конкурсе";"2265446";"—"
"110";"5";"—";"280000";"96 99 75";"10000";"Участвует в конкурсе";"1358335";"—"
"111";"3";"—";"280000";"92 100 78";"10000";"Участвует в конкурсе";"1599312";"—"
"112";"13";"—";"280000";"90 99 81";"10000";"Участвует в конкурсе";"831215";"—"
"113";"9";"—";"280000";"90 91 89";"10000";"Участвует в конкурсе";"1365907";"—"
"114";"8";"—";"280000";"88 99 83";"10000";"Участвует в конкурсе";"1523059";"—"
"115";"6";"—";"280000";"88 93 89";"10000";"Участвует в конкурсе";"1808049";"—"
"116";"11";"—";"280000";"88 91 91";"10000";"Участвует в конкурсе";"1622991";"—"
"117";"7";"—";"280000";"84 100 86";"10000";"Участвует в конкурсе";"1622925";"—"
"118";"3";"—";"280000";"84 100 86";"10000";"Участвует в конкурсе";"1514019";"—"
"119";"4";"—";"280000";"84 95 91";"10000";"Участвует в конкурсе";"997913";"—"
"120";"6";"—";"280000";"84 95 91";"10000";"Участвует в конкурсе";"2132908";"—"
