"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"6";"—";"308000";"98 100 100";"10000";"Участвует в конкурсе";"1570635";"—"
"2";"3";"—";"304000";"94 100 100";"10000";"Участвует в конкурсе";"1944693";"—"
"3";"1";"—";"303000";"100 99 94";"10000";"Участвует в конкурсе";"1144791";"—"
"4";"4";"—";"302000";"98 100 94";"10000";"Участвует в конкурсе";"1076937";"—"
"5";"2";"—";"302000";"98 97 97";"10000";"Участвует в конкурсе";"1090748";"—"
"6";"11";"—";"301000";"100 100 91";"10000";"Участвует в конкурсе";"1469570";"—"
"7";"3";"—";"301000";"100 97 94";"10000";"Участвует в конкурсе";"1510248";"—"
"8";"6";"—";"301000";"97 100 94";"10000";"Участвует в конкурсе";"1409064";"—"
"9";"7";"—";"301000";"92 99 100";"10000";"Участвует в конкурсе";"1174595";"—"
"10";"3";"—";"300000";"96 100 94";"10000";"Участвует в конкурсе";"1463052";"—"
"11";"8";"—";"299000";"98 100 91";"10000";"Участвует в конкурсе";"1182946";"—"
"12";"9";"—";"299000";"98 97 94";"10000";"Участвует в конкурсе";"1210670";"—"
"13";"8";"—";"299000";"95 100 94";"10000";"Участвует в конкурсе";"1069145";"—"
"14";"11";"—";"299000";"95 100 94";"10000";"Участвует в конкурсе";"1719922";"—"
"15";"7";"—";"299000";"92 100 97";"10000";"Участвует в конкурсе";"1892250";"—"
"16";"6";"—";"298000";"100 99 89";"10000";"Участвует в конкурсе";"1987543";"—"
"17";"13";"Электронное";"298000";"98 99 91";"10000";"Участвует в конкурсе";"1490337";"—"
"18";"5";"Электронное";"298000";"98 99 91";"10000";"Участвует в конкурсе";"1785990";"—"
"19";"7";"—";"298000";"94 100 94";"10000";"Участвует в конкурсе";"1916073";"—"
"20";"3";"—";"297000";"98 100 89";"10000";"Участвует в конкурсе";"1575870";"—"
"21";"2";"—";"297000";"97 99 91";"10000";"Участвует в конкурсе";"1672834";"—"
"22";"5";"—";"296000";"98 91 97";"10000";"Участвует в конкурсе";"1579069";"—"
"23";"5";"—";"296000";"96 99 91";"10000";"Участвует в конкурсе";"1791552";"—"
"24";"9";"—";"296000";"95 100 91";"10000";"Участвует в конкурсе";"1125482";"—"
"25";"2";"—";"296000";"92 100 94";"10000";"Участвует в конкурсе";"1513224";"—"
"26";"11";"—";"295000";"99 97 89";"10000";"Участвует в конкурсе";"1345716";"—"
"27";"13";"—";"295000";"98 93 94";"10000";"Участвует в конкурсе";"1709631";"—"
"28";"1";"—";"295000";"94 100 91";"10000";"Участвует в конкурсе";"1424633";"—"
"29";"11";"—";"294000";"90 100 94";"10000";"Участвует в конкурсе";"1632941";"—"
"30";"9";"—";"293000";"98 99 86";"10000";"Участвует в конкурсе";"1181829";"—"
"31";"2";"—";"293000";"92 100 91";"10000";"Участвует в конкурсе";"1347375";"—"
"32";"12";"—";"293000";"86 100 97";"10000";"Участвует в конкурсе";"1770306";"—"
"33";"7";"—";"292000";"94 97 91";"10000";"Участвует в конкурсе";"1984429";"—"
"34";"12";"—";"292000";"90 95 97";"10000";"Участвует в конкурсе";"1728863";"—"
"35";"5";"—";"291000";"94 93 94";"10000";"Участвует в конкурсе";"1610635";"—"
"36";"5";"—";"290000";"97 99 91";"3000";"Участвует в конкурсе";"1574628";"—"
"37";"11";"—";"290000";"95 88 97";"10000";"Участвует в конкурсе";"1729321";"—"
"38";"10";"—";"290000";"95 88 97";"10000";"Участвует в конкурсе";"1872001";"—"
"39";"5";"—";"290000";"94 95 91";"10000";"Участвует в конкурсе";"1209417";"—"
"40";"8";"—";"290000";"92 99 89";"10000";"Участвует в конкурсе";"1386476";"—"
"41";"11";"—";"290000";"92 97 91";"10000";"Участвует в конкурсе";"1412349";"—"
"42";"6";"—";"290000";"90 99 91";"10000";"Участвует в конкурсе";"941629";"—"
"43";"4";"—";"290000";"86 100 94";"10000";"Участвует в конкурсе";"1360668";"—"
"44";"5";"—";"289000";"100 97 89";"3000";"Участвует в конкурсе";"1517278";"—"
"45";"2";"—";"289000";"94 99 86";"10000";"Участвует в конкурсе";"1199626";"—"
"46";"6";"—";"289000";"90 100 89";"10000";"Участвует в конкурсе";"1349604";"—"
"47";"5";"—";"289000";"90 100 89";"10000";"Участвует в конкурсе";"1466394";"—"
"49";"8";"—";"289000";"88 100 91";"10000";"Участвует в конкурсе";"1317427";"—"
"50";"6";"—";"289000";"88 97 94";"10000";"Участвует в конкурсе";"998448";"—"
"51";"2";"—";"289000";"82 100 97";"10000";"Участвует в конкурсе";"1321176";"—"
"52";"6";"—";"289000";"80 99 100";"10000";"Участвует в конкурсе";"1899279";"—"
"53";"11";"—";"288000";"95 100 83";"10000";"Участвует в конкурсе";"1279075";"—"
"54";"7";"—";"288000";"94 90 94";"10000";"Участвует в конкурсе";"1523676";"—"
"55";"9";"—";"288000";"92 100 86";"10000";"Участвует в конкурсе";"1156845";"—"
"57";"11";"—";"288000";"90 99 89";"10000";"Участвует в конкурсе";"1420693";"—"
"58";"1";"—";"288000";"88 99 91";"10000";"Участвует в конкурсе";"1347685";"—"
"59";"11";"—";"288000";"88 99 91";"10000";"Участвует в конкурсе";"1252095";"—"
"60";"10";"—";"288000";"88 99 91";"10000";"Участвует в конкурсе";"1476115";"—"
"61";"8";"—";"288000";"88 90 100";"10000";"Участвует в конкурсе";"1909202";"—"
"62";"5";"—";"288000";"84 100 94";"10000";"Участвует в конкурсе";"1348434";"—"
"63";"10";"—";"288000";"82 99 97";"10000";"Участвует в конкурсе";"1440526";"—"
"64";"4";"—";"287000";"96 97 94";"—";"Участвует в конкурсе";"1621159";"—"
"65";"11";"—";"287000";"99 100 78";"10000";"Участвует в конкурсе";"1259402";"—"
"66";"1";"—";"287000";"94 100 83";"10000";"Участвует в конкурсе";"1437079";"—"
"67";"7";"—";"287000";"88 100 89";"10000";"Участвует в конкурсе";"1206941";"—"
"68";"2";"—";"287000";"88 95 94";"10000";"Участвует в конкурсе";"1499179";"—"
"69";"11";"—";"287000";"86 91 100";"10000";"Участвует в конкурсе";"1205189";"—"
"70";"4";"—";"287000";"84 99 94";"10000";"Участвует в конкурсе";"1618034";"—"
"72";"6";"—";"287000";"80 97 100";"10000";"Участвует в конкурсе";"1573309";"—"
"73";"6";"—";"286000";"92 93 91";"10000";"Участвует в конкурсе";"1194646";"—"
"74";"2";"—";"286000";"90 97 89";"10000";"Участвует в конкурсе";"1254616";"—"
"75";"13";"Электронное";"286000";"88 99 89";"10000";"Участвует в конкурсе";"1402002";"—"
"76";"3";"—";"286000";"88 97 91";"10000";"Участвует в конкурсе";"1583644";"—"
