"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"—";"299000";"92 100 97";"10000";"Участвует в конкурсе";"1892250";"—"
"2";"3";"—";"295000";"99 97 89";"10000";"Участвует в конкурсе";"1345716";"—"
"3";"1";"—";"291000";"92 95 94";"10000";"Участвует в конкурсе";"1346514";"—"
"4";"4";"—";"290000";"92 91 97";"10000";"Участвует в конкурсе";"1719290";"—"
"5";"5";"—";"289000";"90 100 89";"10000";"Участвует в конкурсе";"1466394";"—"
"7";"1";"—";"288000";"88 99 91";"10000";"Участвует в конкурсе";"2394257";"—"
"8";"4";"—";"288000";"88 90 100";"10000";"Участвует в конкурсе";"1909202";"—"
"9";"2";"—";"287000";"86 100 91";"10000";"Участвует в конкурсе";"1332080";"—"
"10";"2";"—";"285000";"100 100 75";"10000";"Участвует в конкурсе";"1034866";"—"
"11";"1";"—";"285000";"86 95 94";"10000";"Участвует в конкурсе";"1295751";"—"
"12";"1";"—";"284000";"88 95 91";"10000";"Участвует в конкурсе";"1352337";"—"
"13";"5";"—";"283000";"90 97 86";"10000";"Участвует в конкурсе";"1213814";"—"
"14";"6";"—";"282000";"95 91 86";"10000";"Участвует в конкурсе";"1384317";"—"
"16";"9";"—";"280000";"90 91 89";"10000";"Участвует в конкурсе";"1365907";"—"
"17";"1";"—";"280000";"88 91 91";"10000";"Участвует в конкурсе";"1853700";"—"
"18";"5";"—";"280000";"80 99 91";"10000";"Участвует в конкурсе";"1255797";"—"
"19";"13";"—";"279000";"90 100 86";"3000";"Участвует в конкурсе";"1102219";"—"
"20";"3";"—";"277000";"92 84 91";"10000";"Участвует в конкурсе";"1695980";"—"
"21";"1";"—";"276000";"92 93 91";"—";"Участвует в конкурсе";"1687463";"—"
"22";"3";"—";"276000";"84 99 83";"10000";"Участвует в конкурсе";"1338321";"—"
"23";"12";"—";"276000";"82 84 100";"10000";"Участвует в конкурсе";"1649937";"—"
"24";"1";"—";"275000";"80 99 86";"10000";"Участвует в конкурсе";"1677376";"—"
"25";"11";"—";"274000";"92 99 83";"—";"Участвует в конкурсе";"1291618";"—"
"26";"7";"—";"274000";"90 91 91";"2000";"Участвует в конкурсе";"1940153";"—"
"27";"4";"—";"274000";"88 95 81";"10000";"Участвует в конкурсе";"1198288";"—"
"29";"6";"—";"274000";"84 99 81";"10000";"Участвует в конкурсе";"1913923";"—"
"30";"2";"—";"274000";"84 97 83";"10000";"Участвует в конкурсе";"1271063";"—"
"31";"7";"—";"273000";"90 97 86";"—";"Участвует в конкурсе";"1249741";"—"
"32";"1";"—";"273000";"82 95 86";"10000";"Участвует в конкурсе";"1567157";"—"
"33";"10";"—";"272000";"90 100 72";"10000";"Участвует в конкурсе";"1330875";"—"
"34";"10";"—";"271000";"92 86 83";"10000";"Участвует в конкурсе";"1797045";"—"
"35";"3";"—";"271000";"82 90 89";"10000";"Участвует в конкурсе";"1442951";"—"
"36";"2";"—";"271000";"82 90 89";"10000";"Участвует в конкурсе";"1616846";"—"
"37";"2";"—";"271000";"82 79 100";"10000";"Участвует в конкурсе";"1356821";"—"
"38";"3";"—";"271000";"80 95 86";"10000";"Участвует в конкурсе";"1387052";"—"
"39";"5";"—";"271000";"78 100 83";"10000";"Участвует в конкурсе";"1993373";"—"
"40";"3";"—";"270000";"80 99 91";"—";"Участвует в конкурсе";"1904428";"—"
"41";"1";"—";"270000";"88 99 78";"5000";"Участвует в конкурсе";"991423";"—"
"42";"3";"—";"270000";"78 93 89";"10000";"Участвует в конкурсе";"1632201";"—"
"44";"2";"—";"269000";"92 86 81";"10000";"Участвует в конкурсе";"1441444";"—"
"45";"1";"—";"269000";"84 86 89";"10000";"Участвует в конкурсе";"1265890";"—"
"46";"1";"—";"268000";"84 93 91";"—";"Участвует в конкурсе";"2221707";"—"
"47";"1";"—";"267000";"80 86 91";"10000";"Участвует в конкурсе";"1982726";"—"
"48";"1";"—";"266000";"86 84 86";"10000";"Участвует в конкурсе";"1725705";"—"
"49";"3";"—";"266000";"80 93 83";"10000";"Участвует в конкурсе";"1774143";"—"
"50";"3";"—";"266000";"80 90 86";"10000";"Участвует в конкурсе";"1261722";"—"
"51";"1";"—";"265000";"83 95 87";"—";"Участвует в конкурсе";"1128344";"—"
"52";"9";"—";"265000";"88 86 81";"10000";"Участвует в конкурсе";"1230777";"—"
"53";"11";"—";"265000";"88 86 81";"10000";"Участвует в конкурсе";"2093390";"—"
"54";"9";"—";"265000";"84 90 81";"10000";"Участвует в конкурсе";"1358178";"—"
"55";"3";"—";"265000";"80 86 89";"10000";"Участвует в конкурсе";"1516418";"—"
"56";"2";"—";"265000";"80 84 91";"10000";"Участвует в конкурсе";"2221468";"—"
"57";"3";"—";"264000";"88 80 86";"10000";"Участвует в конкурсе";"1634926";"—"
"58";"8";"—";"264000";"86 93 75";"10000";"Участвует в конкурсе";"1999848";"—"
"59";"4";"—";"264000";"86 82 86";"10000";"Участвует в конкурсе";"1515478";"—"
"60";"1";"Электронное";"264000";"80 88 86";"10000";"Участвует в конкурсе";"1695666";"—"
"61";"3";"—";"264000";"72 93 89";"10000";"Участвует в конкурсе";"1342264";"—"
"62";"10";"—";"263000";"86 86 81";"10000";"Участвует в конкурсе";"1439512";"—"
"63";"6";"—";"263000";"82 90 81";"10000";"Участвует в конкурсе";"1525376";"—"
"64";"1";"—";"263000";"82 82 89";"10000";"Участвует в конкурсе";"1503397";"—"
"65";"4";"—";"263000";"80 95 78";"10000";"Участвует в конкурсе";"1498484";"—"
"66";"1";"—";"262000";"86 90 86";"—";"Участвует в конкурсе";"1601267";"—"
"67";"3";"—";"262000";"86 88 78";"10000";"Участвует в конкурсе";"1908719";"—"
"68";"1";"—";"262000";"84 93 75";"10000";"Участвует в конкурсе";"1358279";"—"
"69";"1";"—";"262000";"80 91 81";"10000";"Участвует в конкурсе";"1393263";"—"
"70";"4";"—";"262000";"80 91 81";"10000";"Участвует в конкурсе";"2004941";"—"
"71";"3";"—";"261000";"94 95 72";"—";"Участвует в конкурсе";"1324414";"—"
"72";"4";"—";"261000";"84 93 81";"3000";"Участвует в конкурсе";"1955689";"—"
"74";"10";"—";"261000";"78 82 91";"10000";"Участвует в конкурсе";"2089746";"—"
"75";"4";"—";"261000";"74 88 89";"10000";"Участвует в конкурсе";"1773863";"—"
"76";"10";"—";"260000";"92 93 75";"—";"Участвует в конкурсе";"1913523";"—"
"77";"1";"—";"260000";"82 95 83";"—";"Участвует в конкурсе";"2414700";"—"
"78";"3";"—";"260000";"95 84 78";"3000";"Участвует в конкурсе";"1569136";"—"
"79";"1";"—";"260000";"76 95 86";"3000";"Участвует в конкурсе";"1126385";"—"
"80";"1";"—";"260000";"82 90 83";"5000";"Участвует в конкурсе";"1988325";"—"
"81";"2";"—";"260000";"88 79 83";"10000";"Участвует в конкурсе";"1618195";"—"
"82";"2";"—";"260000";"86 95 69";"10000";"Участвует в конкурсе";"1785512";"—"
"83";"7";"—";"260000";"86 91 73";"10000";"Участвует в конкурсе";"1335646";"—"
"84";"3";"—";"260000";"84 91 75";"10000";"Участвует в конкурсе";"1730390";"—"
"85";"5";"—";"260000";"82 93 75";"10000";"Участвует в конкурсе";"2364818";"—"
"86";"4";"—";"259000";"88 93 75";"3000";"Участвует в конкурсе";"1796796";"—"
"87";"1";"—";"259000";"72 95 89";"3000";"Участвует в конкурсе";"1095692";"—"
"88";"4";"—";"259000";"88 86 75";"10000";"Участвует в конкурсе";"1813178";"—"
"89";"4";"—";"259000";"78 93 78";"10000";"Участвует в конкурсе";"1556452";"—"
"90";"5";"—";"259000";"76 84 89";"10000";"Участвует в конкурсе";"1599490";"—"
"91";"5";"—";"259000";"74 100 75";"10000";"Участвует в конкурсе";"1726418";"—"
"92";"4";"—";"259000";"74 84 91";"10000";"Участвует в конкурсе";"1480279";"—"
"93";"8";"—";"259000";"70 90 89";"10000";"Участвует в конкурсе";"966843";"—"
"95";"2";"—";"257000";"76 97 81";"3000";"Участвует в конкурсе";"1291684";"—"
"96";"2";"—";"257000";"78 91 78";"10000";"Участвует в конкурсе";"1995554";"—"
"97";"2";"—";"257000";"78 88 81";"10000";"Участвует в конкурсе";"1972035";"—"
"98";"1";"—";"257000";"76 90 81";"10000";"Участвует в конкурсе";"1618476";"—"
"99";"10";"—";"256000";"92 91 73";"—";"Участвует в конкурсе";"1547110";"—"
"100";"5";"—";"256000";"90 91 75";"—";"Участвует в конкурсе";"1791428";"—"
"101";"6";"—";"256000";"88 88 70";"10000";"Участвует в конкурсе";"1112528";"—"
"102";"6";"—";"256000";"86 90 70";"10000";"Участвует в конкурсе";"1184980";"—"
"103";"4";"—";"256000";"84 90 72";"10000";"Участвует в конкурсе";"1260682";"—"
"104";"5";"—";"256000";"78 90 78";"10000";"Участвует в конкурсе";"1440406";"—"
"105";"10";"—";"255000";"92 97 66";"—";"Участвует в конкурсе";"1160881";"—"
"106";"2";"—";"255000";"82 95 78";"—";"Участвует в конкурсе";"1281889";"—"
"107";"2";"—";"255000";"76 95 81";"3000";"Участвует в конкурсе";"1237382";"—"
"108";"4";"—";"255000";"70 91 89";"5000";"Участвует в конкурсе";"1043028";"—"
"109";"3";"—";"255000";"78 78 89";"10000";"Участвует в конкурсе";"1565693";"—"
"110";"10";"—";"254000";"78 86 83";"7000";"Участвует в конкурсе";"1155844";"—"
"111";"7";"—";"254000";"82 90 72";"10000";"Участвует в конкурсе";"1914069";"—"
"112";"4";"—";"253000";"90 99 64";"—";"Участвует в конкурсе";"2006059";"—"
"113";"1";"—";"253000";"86 84 83";"—";"Участвует в конкурсе";"1507842";"—"
"114";"1";"—";"253000";"74 90 89";"—";"Участвует в конкурсе";"1149010";"—"
