"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"12";"—";"310000";"100 100 100";"10000";"Участвует в конкурсе";"1607125";"—"
"2";"1";"—";"308000";"98 100 100";"10000";"Участвует в конкурсе";"1570635";"—"
"3";"9";"—";"304000";"94 100 100";"10000";"Участвует в конкурсе";"1944693";"—"
"4";"7";"—";"303000";"97 99 97";"10000";"Участвует в конкурсе";"1171803";"—"
"5";"10";"—";"301000";"100 100 91";"10000";"Участвует в конкурсе";"1469570";"—"
"6";"7";"Электронное";"301000";"100 100 91";"10000";"Участвует в конкурсе";"1566193";"—"
"7";"5";"—";"301000";"100 97 94";"10000";"Участвует в конкурсе";"1171946";"—"
"8";"5";"—";"301000";"97 100 94";"10000";"Участвует в конкурсе";"1409064";"—"
"9";"11";"—";"301000";"92 99 100";"10000";"Участвует в конкурсе";"1174595";"—"
"10";"3";"—";"299000";"98 100 91";"10000";"Участвует в конкурсе";"1182946";"—"
"11";"10";"—";"299000";"98 97 94";"10000";"Участвует в конкурсе";"1210670";"—"
"12";"3";"—";"299000";"95 100 94";"10000";"Участвует в конкурсе";"1719922";"—"
"13";"12";"—";"299000";"92 100 97";"10000";"Участвует в конкурсе";"1892250";"—"
"14";"12";"Электронное";"298000";"98 99 91";"10000";"Участвует в конкурсе";"1490337";"—"
"15";"13";"Электронное";"298000";"98 99 91";"10000";"Участвует в конкурсе";"1785990";"—"
"16";"9";"—";"298000";"94 100 94";"10000";"Участвует в конкурсе";"1916073";"—"
"17";"6";"—";"297000";"97 99 91";"10000";"Участвует в конкурсе";"1672834";"—"
"18";"13";"—";"296000";"98 91 97";"10000";"Участвует в конкурсе";"1579069";"—"
"19";"2";"Электронное";"296000";"97 100 89";"10000";"Участвует в конкурсе";"1937051";"—"
"20";"10";"—";"296000";"95 100 91";"10000";"Участвует в конкурсе";"1125482";"—"
"21";"1";"—";"296000";"92 100 94";"10000";"Участвует в конкурсе";"1513224";"—"
"22";"1";"—";"295000";"99 97 89";"10000";"Участвует в конкурсе";"1345716";"—"
"23";"4";"—";"295000";"98 93 94";"10000";"Участвует в конкурсе";"1709631";"—"
"24";"2";"—";"295000";"96 100 89";"10000";"Участвует в конкурсе";"1631003";"—"
"25";"4";"—";"294000";"90 100 94";"10000";"Участвует в конкурсе";"1632941";"—"
"26";"4";"—";"293000";"98 99 86";"10000";"Участвует в конкурсе";"1181829";"—"
"28";"5";"—";"293000";"86 100 97";"10000";"Участвует в конкурсе";"1166975";"—"
"29";"13";"—";"293000";"86 100 97";"10000";"Участвует в конкурсе";"1770306";"—"
"30";"1";"—";"292000";"98 95 89";"10000";"Участвует в конкурсе";"1361086";"—"
"31";"2";"—";"290000";"96 93 91";"10000";"Участвует в конкурсе";"1214360";"—"
"32";"12";"—";"290000";"95 88 97";"10000";"Участвует в конкурсе";"1729321";"—"
"33";"6";"—";"290000";"95 88 97";"10000";"Участвует в конкурсе";"1872001";"—"
"34";"10";"—";"290000";"94 95 91";"10000";"Участвует в конкурсе";"1209417";"—"
"35";"1";"—";"290000";"92 99 89";"10000";"Участвует в конкурсе";"1386476";"—"
"36";"7";"—";"290000";"92 97 91";"10000";"Участвует в конкурсе";"1412349";"—"
"37";"2";"—";"290000";"86 100 94";"10000";"Участвует в конкурсе";"1360668";"—"
"38";"10";"—";"289000";"100 97 89";"3000";"Участвует в конкурсе";"1517278";"—"
"39";"5";"—";"289000";"90 100 89";"10000";"Участвует в конкурсе";"1349604";"—"
"40";"10";"—";"289000";"90 100 89";"10000";"Участвует в конкурсе";"1466394";"—"
"42";"8";"—";"289000";"88 100 91";"10000";"Участвует в конкурсе";"2180387";"—"
"43";"4";"—";"289000";"88 97 94";"10000";"Участвует в конкурсе";"998448";"—"
"44";"7";"—";"289000";"88 97 94";"10000";"Участвует в конкурсе";"2053132";"—"
"45";"5";"—";"289000";"80 99 100";"10000";"Участвует в конкурсе";"1899279";"—"
"46";"4";"—";"288000";"95 100 83";"10000";"Участвует в конкурсе";"1279075";"—"
"47";"11";"—";"288000";"94 90 94";"10000";"Участвует в конкурсе";"1523676";"—"
"49";"10";"—";"288000";"90 99 89";"10000";"Участвует в конкурсе";"1420693";"—"
"50";"5";"—";"288000";"88 99 91";"10000";"Участвует в конкурсе";"1347685";"—"
"51";"5";"—";"288000";"88 99 91";"10000";"Участвует в конкурсе";"1476115";"—"
"52";"5";"—";"288000";"88 99 91";"10000";"Участвует в конкурсе";"2394257";"—"
"53";"2";"—";"288000";"88 93 97";"10000";"Участвует в конкурсе";"1847549";"—"
"54";"5";"—";"288000";"84 97 97";"10000";"Участвует в конкурсе";"1355337";"—"
"56";"7";"—";"287000";"92 91 94";"10000";"Участвует в конкурсе";"1441177";"—"
"57";"7";"—";"287000";"86 91 100";"10000";"Участвует в конкурсе";"1205189";"—"
"59";"11";"Электронное";"286000";"88 99 89";"10000";"Участвует в конкурсе";"1402002";"—"
"60";"5";"—";"286000";"86 99 91";"10000";"Участвует в конкурсе";"1068888";"—"
"61";"2";"—";"286000";"84 95 97";"10000";"Участвует в конкурсе";"1282923";"—"
"62";"3";"—";"285000";"96 95 91";"3000";"Участвует в конкурсе";"2166161";"—"
"63";"10";"—";"285000";"90 99 91";"5000";"Участвует в конкурсе";"1440751";"—"
"64";"1";"—";"285000";"100 100 75";"10000";"Участвует в конкурсе";"1034866";"—"
"65";"6";"—";"285000";"100 100 75";"10000";"Участвует в конкурсе";"1850945";"—"
"66";"10";"—";"285000";"94 95 86";"10000";"Участвует в конкурсе";"1256924";"—"
"67";"4";"—";"284000";"98 93 83";"10000";"Участвует в конкурсе";"2166891";"—"
"68";"4";"—";"284000";"96 97 81";"10000";"Участвует в конкурсе";"1491160";"—"
"70";"5";"—";"284000";"92 99 83";"10000";"Участвует в конкурсе";"1694282";"—"
"71";"4";"—";"284000";"90 95 89";"10000";"Участвует в конкурсе";"1758464";"—"
"72";"8";"—";"284000";"86 99 89";"10000";"Участвует в конкурсе";"1362991";"—"
"73";"6";"—";"284000";"84 99 91";"10000";"Участвует в конкурсе";"1686341";"—"
"74";"3";"—";"284000";"82 95 97";"10000";"Участвует в конкурсе";"1331476";"—"
"75";"4";"—";"283000";"100 97 86";"—";"Участвует в конкурсе";"1177055";"—"
"76";"1";"—";"283000";"100 95 78";"10000";"Участвует в конкурсе";"1258454";"—"
"77";"10";"—";"283000";"96 99 78";"10000";"Участвует в конкурсе";"1389568";"—"
"78";"5";"—";"283000";"90 100 83";"10000";"Участвует в конкурсе";"1201483";"—"
"79";"5";"—";"283000";"88 99 86";"10000";"Участвует в конкурсе";"1749592";"—"
"80";"5";"—";"283000";"86 93 94";"10000";"Участвует в конкурсе";"2001578";"—"
"81";"5";"—";"283000";"84 100 89";"10000";"Участвует в конкурсе";"1609441";"—"
"82";"1";"—";"282000";"92 91 89";"10000";"Участвует в конкурсе";"1394658";"—"
"83";"13";"Электронное";"282000";"86 100 86";"10000";"Участвует в конкурсе";"1985455";"—"
"84";"4";"—";"281000";"90 95 86";"10000";"Участвует в конкурсе";"2135828";"—"
"85";"7";"—";"281000";"88 100 83";"10000";"Участвует в конкурсе";"1789872";"—"
"86";"3";"—";"281000";"88 97 86";"10000";"Участвует в конкурсе";"1639601";"—"
"87";"5";"—";"281000";"82 100 89";"10000";"Участвует в конкурсе";"2079075";"—"
"88";"11";"—";"281000";"82 95 94";"10000";"Участвует в конкурсе";"2135711";"—"
"89";"12";"—";"281000";"78 99 94";"10000";"Участвует в конкурсе";"1435003";"—"
"90";"1";"—";"280000";"96 99 75";"10000";"Участвует в конкурсе";"2265446";"—"
"91";"4";"—";"280000";"96 99 75";"10000";"Участвует в конкурсе";"1358335";"—"
"92";"1";"—";"280000";"92 100 78";"10000";"Участвует в конкурсе";"1599312";"—"
"93";"9";"—";"280000";"90 99 81";"10000";"Участвует в конкурсе";"831215";"—"
"94";"7";"—";"280000";"90 91 89";"10000";"Участвует в конкурсе";"1365907";"—"
"95";"13";"—";"280000";"88 91 91";"10000";"Участвует в конкурсе";"1622991";"—"
"96";"1";"—";"280000";"84 100 86";"10000";"Участвует в конкурсе";"1622925";"—"
"97";"13";"—";"280000";"84 100 86";"10000";"Участвует в конкурсе";"1514019";"—"
"98";"3";"—";"280000";"84 95 91";"10000";"Участвует в конкурсе";"2132908";"—"
"99";"4";"—";"280000";"82 97 91";"10000";"Участвует в конкурсе";"2157393";"—"
"100";"9";"—";"280000";"80 99 91";"10000";"Участвует в конкурсе";"1255797";"—"
"101";"5";"—";"280000";"80 99 91";"10000";"Участвует в конкурсе";"1435815";"—"
"102";"11";"—";"279000";"90 100 86";"3000";"Участвует в конкурсе";"1102219";"—"
"103";"13";"—";"279000";"88 100 81";"10000";"Участвует в конкурсе";"1907590";"—"
"104";"12";"—";"279000";"86 97 86";"10000";"Участвует в конкурсе";"2054458";"—"
"105";"9";"—";"279000";"79 99 91";"10000";"Участвует в конкурсе";"1343974";"—"
"106";"1";"—";"279000";"74 95 100";"10000";"Участвует в конкурсе";"1571337";"—"
"107";"4";"—";"278000";"100 93 75";"10000";"Участвует в конкурсе";"2001541";"—"
"108";"7";"—";"278000";"90 97 81";"10000";"Участвует в конкурсе";"1681866";"—"
"109";"13";"—";"278000";"86 99 83";"10000";"Участвует в конкурсе";"1401313";"—"
"110";"5";"Электронное";"278000";"86 99 83";"10000";"Участвует в конкурсе";"1580247";"—"
"111";"7";"—";"278000";"86 99 83";"10000";"Участвует в конкурсе";"1672297";"—"
"112";"1";"—";"278000";"86 93 89";"10000";"Участвует в конкурсе";"1397230";"—"
"113";"1";"—";"278000";"84 93 91";"10000";"Участвует в конкурсе";"1625672";"—"
"114";"1";"—";"278000";"82 100 86";"10000";"Участвует в конкурсе";"1714294";"—"
"115";"6";"—";"278000";"76 95 97";"10000";"Участвует в конкурсе";"1725486";"—"
"116";"8";"—";"277000";"96 100 81";"—";"Участвует в конкурсе";"2301747";"—"
"117";"1";"—";"277000";"92 84 91";"10000";"Участвует в конкурсе";"1695980";"—"
"118";"12";"Электронное";"277000";"88 93 86";"10000";"Участвует в конкурсе";"1212927";"—"
"119";"6";"—";"277000";"84 100 83";"10000";"Участвует в конкурсе";"1419921";"—"
"120";"5";"—";"277000";"84 97 86";"10000";"Участвует в конкурсе";"1279388";"—"
"121";"6";"—";"277000";"78 95 94";"10000";"Участвует в конкурсе";"2001394";"—"
"122";"6";"—";"276000";"92 93 91";"—";"Участвует в конкурсе";"1687463";"—"
"123";"2";"—";"276000";"86 99 91";"—";"Участвует в конкурсе";"1729272";"—"
"124";"9";"—";"276000";"95 100 78";"3000";"Участвует в конкурсе";"2026153";"—"
"125";"6";"—";"276000";"90 95 81";"10000";"Участвует в конкурсе";"1946259";"—"
"126";"1";"—";"276000";"88 100 78";"10000";"Участвует в конкурсе";"1483754";"—"
"127";"8";"—";"276000";"88 95 83";"10000";"Участвует в конкурсе";"1256439";"—"
"128";"13";"—";"276000";"84 99 83";"10000";"Участвует в конкурсе";"1338321";"—"
"129";"3";"—";"276000";"84 91 91";"10000";"Участвует в конкурсе";"1355366";"—"
"130";"10";"—";"276000";"82 95 89";"10000";"Участвует в конкурсе";"1198275";"—"
"131";"6";"—";"276000";"82 95 89";"10000";"Участвует в конкурсе";"1877986";"—"
"132";"1";"—";"276000";"82 93 91";"10000";"Участвует в конкурсе";"2271259";"—"
"133";"13";"—";"276000";"82 84 100";"10000";"Участвует в конкурсе";"1649937";"—"
"134";"12";"—";"276000";"80 97 89";"10000";"Участвует в конкурсе";"1904999";"—"
"135";"9";"—";"276000";"78 99 89";"10000";"Участвует в конкурсе";"1764931";"—"
"136";"11";"—";"276000";"70 99 97";"10000";"Участвует в конкурсе";"2052646";"—"
"137";"7";"—";"275000";"92 100 83";"—";"Участвует в конкурсе";"2227972";"—"
"138";"5";"—";"275000";"86 95 94";"—";"Участвует в конкурсе";"1884364";"—"
"140";"2";"—";"275000";"90 100 75";"10000";"Участвует в конкурсе";"1736597";"—"
"141";"1";"—";"275000";"84 90 91";"10000";"Участвует в конкурсе";"999918";"—"
"142";"6";"—";"275000";"82 100 83";"10000";"Участвует в конкурсе";"1210869";"—"
"143";"5";"—";"275000";"80 99 86";"10000";"Участвует в конкурсе";"1677376";"—"
"144";"8";"—";"275000";"80 91 94";"10000";"Участвует в конкурсе";"1196320";"—"
"145";"13";"—";"275000";"76 95 94";"10000";"Участвует в конкурсе";"1683353";"—"
"146";"7";"—";"274000";"92 99 83";"—";"Участвует в конкурсе";"1291618";"—"
"147";"10";"—";"274000";"98 91 75";"10000";"Участвует в конкурсе";"2140835";"—"
"148";"4";"—";"274000";"88 95 81";"10000";"Участвует в конкурсе";"1198288";"—"
"149";"11";"—";"274000";"86 100 78";"10000";"Участвует в конкурсе";"1892686";"—"
"150";"11";"—";"274000";"86 100 78";"10000";"Участвует в конкурсе";"1285884";"—"
"151";"8";"—";"274000";"84 99 81";"10000";"Участвует в конкурсе";"1913923";"—"
"152";"4";"—";"274000";"84 97 83";"10000";"Участвует в конкурсе";"1271063";"—"
"153";"1";"—";"274000";"84 97 83";"10000";"Участвует в конкурсе";"1224813";"—"
"154";"8";"—";"274000";"84 97 83";"10000";"Участвует в конкурсе";"2339720";"—"
"155";"6";"—";"274000";"84 91 89";"10000";"Участвует в конкурсе";"1212328";"—"
"156";"3";"—";"274000";"82 93 89";"10000";"Участвует в конкурсе";"1446881";"—"
"157";"4";"—";"274000";"82 93 89";"10000";"Участвует в конкурсе";"2261050";"—"
"158";"2";"—";"274000";"80 93 91";"10000";"Участвует в конкурсе";"1828660";"—"
"159";"6";"Электронное";"274000";"78 97 89";"10000";"Участвует в конкурсе";"2098213";"—"
"160";"7";"—";"273000";"84 93 91";"5000";"Участвует в конкурсе";"1077972";"—"
"161";"12";"—";"273000";"96 70 97";"10000";"Участвует в конкурсе";"1988236";"—"
"162";"7";"Электронное";"273000";"95 93 75";"10000";"Участвует в конкурсе";"1914229";"—"
"163";"7";"—";"273000";"92 90 81";"10000";"Участвует в конкурсе";"1584686";"—"
"164";"6";"—";"273000";"90 82 91";"10000";"Участвует в конкурсе";"1361565";"—"
"165";"5";"—";"273000";"88 100 75";"10000";"Участвует в конкурсе";"1929104";"—"
"166";"7";"—";"273000";"84 93 86";"10000";"Участвует в конкурсе";"1061342";"—"
"167";"2";"—";"273000";"82 100 81";"10000";"Участвует в конкурсе";"1732702";"—"
"168";"4";"—";"273000";"82 100 81";"10000";"Участвует в конкурсе";"1909512";"—"
"169";"8";"—";"273000";"82 90 91";"10000";"Участвует в конкурсе";"2003992";"—"
"170";"13";"Электронное";"273000";"80 97 86";"10000";"Участвует в конкурсе";"1510345";"—"
"171";"1";"—";"273000";"78 91 94";"10000";"Участвует в конкурсе";"1716824";"—"
"172";"4";"—";"272000";"86 97 89";"—";"Участвует в конкурсе";"1509864";"—"
"174";"6";"—";"272000";"82 93 89";"8000";"Участвует в конкурсе";"2002207";"—"
"175";"12";"—";"272000";"90 100 72";"10000";"Участвует в конкурсе";"1330875";"—"
"176";"1";"—";"272000";"88 91 83";"10000";"Участвует в конкурсе";"1795766";"—"
"177";"1";"—";"272000";"86 90 86";"10000";"Участвует в конкурсе";"1725161";"—"
"178";"10";"—";"272000";"84 100 78";"10000";"Участвует в конкурсе";"1796936";"—"
"179";"3";"—";"272000";"82 99 81";"10000";"Участвует в конкурсе";"1644441";"—"
"180";"4";"—";"272000";"82 91 89";"10000";"Участвует в конкурсе";"1188917";"—"
"181";"5";"—";"272000";"82 91 89";"10000";"Участвует в конкурсе";"1652582";"—"
"182";"8";"—";"272000";"80 93 89";"10000";"Участвует в конкурсе";"1723297";"—"
"183";"4";"—";"272000";"80 93 89";"10000";"Участвует в конкурсе";"2005819";"—"
"184";"10";"—";"272000";"74 97 91";"10000";"Участвует в конкурсе";"1937537";"—"
"185";"10";"—";"271000";"94 99 78";"—";"Участвует в конкурсе";"1177763";"—"
"186";"3";"—";"271000";"76 100 86";"9000";"Участвует в конкурсе";"1708248";"—"
"187";"3";"—";"271000";"96 95 70";"10000";"Участвует в конкурсе";"2328110";"—"
"188";"10";"—";"271000";"92 86 83";"10000";"Участвует в конкурсе";"1797045";"—"
"189";"9";"—";"271000";"90 93 78";"10000";"Участвует в конкурсе";"1282051";"—"
"190";"4";"—";"271000";"88 100 73";"10000";"Участвует в конкурсе";"1286932";"—"
"191";"4";"—";"271000";"88 95 78";"10000";"Участвует в конкурсе";"1032963";"—"
"192";"4";"—";"271000";"88 95 78";"10000";"Участвует в конкурсе";"2266396";"—"
"193";"13";"—";"271000";"88 90 83";"10000";"Участвует в конкурсе";"972736";"—"
"194";"4";"—";"271000";"80 95 86";"10000";"Участвует в конкурсе";"1387052";"—"
"195";"8";"—";"271000";"76 88 97";"10000";"Участвует в конкурсе";"1512334";"—"
"196";"9";"Электронное";"270000";"82 99 89";"—";"Участвует в конкурсе";"1593684";"—"
"197";"5";"—";"270000";"74 99 97";"—";"Участвует в конкурсе";"1369568";"—"
"198";"10";"Электронное";"270000";"95 95 70";"10000";"Участвует в конкурсе";"1885894";"—"
"199";"4";"—";"270000";"93 86 81";"10000";"Участвует в конкурсе";"1439512";"—"
"201";"3";"—";"270000";"86 93 81";"10000";"Участвует в конкурсе";"2154625";"—"
"202";"1";"—";"270000";"82 100 78";"10000";"Участвует в конкурсе";"1365621";"—"
"203";"6";"—";"270000";"78 93 89";"10000";"Участвует в конкурсе";"1285589";"—"
"204";"11";"—";"270000";"78 93 89";"10000";"Участвует в конкурсе";"1632201";"—"
"205";"3";"—";"270000";"78 91 91";"10000";"Участвует в конкурсе";"1876832";"—"
"206";"5";"Электронное";"270000";"76 95 89";"10000";"Участвует в конкурсе";"1204230";"—"
"208";"5";"Электронное";"270000";"74 95 91";"10000";"Участвует в конкурсе";"1181548";"—"
"209";"12";"—";"270000";"70 99 91";"10000";"Участвует в конкурсе";"1879826";"—"
"210";"7";"—";"269000";"94 86 89";"—";"Участвует в конкурсе";"1794791";"—"
"211";"9";"—";"269000";"90 93 86";"—";"Участвует в конкурсе";"1514536";"—"
"212";"1";"Электронное";"269000";"78 97 94";"—";"Участвует в конкурсе";"1439769";"—"
"213";"4";"—";"269000";"78 99 89";"3000";"Участвует в конкурсе";"1283818";"—"
"214";"2";"—";"269000";"96 99 69";"5000";"Участвует в конкурсе";"1262987";"—"
"215";"6";"—";"269000";"92 86 81";"10000";"Участвует в конкурсе";"1575509";"—"
"216";"4";"—";"269000";"86 90 83";"10000";"Участвует в конкурсе";"1437690";"—"
"217";"4";"—";"269000";"84 97 78";"10000";"Участвует в конкурсе";"2034237";"—"
"218";"3";"—";"269000";"82 88 89";"10000";"Участвует в конкурсе";"2178674";"—"
"219";"8";"—";"269000";"80 90 89";"10000";"Участвует в конкурсе";"1296103";"—"
"220";"8";"—";"268000";"84 93 91";"—";"Участвует в конкурсе";"2221707";"—"
"221";"5";"—";"268000";"80 99 89";"—";"Участвует в конкурсе";"1425135";"—"
"222";"7";"—";"268000";"80 99 89";"—";"Участвует в конкурсе";"1649082";"—"
"223";"7";"Электронное";"268000";"94 91 73";"10000";"Участвует в конкурсе";"1609868";"—"
"224";"10";"—";"268000";"88 84 86";"10000";"Участвует в конкурсе";"2238459";"—"
"226";"11";"—";"268000";"82 95 81";"10000";"Участвует в конкурсе";"1035027";"—"
"227";"12";"—";"268000";"82 95 81";"10000";"Участвует в конкурсе";"2242255";"—"
"229";"5";"Электронное";"268000";"80 97 81";"10000";"Участвует в конкурсе";"2133587";"—"
"230";"2";"—";"268000";"80 97 81";"10000";"Участвует в конкурсе";"1267476";"—"
"231";"11";"Электронное";"268000";"80 95 83";"10000";"Участвует в конкурсе";"1130561";"—"
"232";"2";"—";"268000";"78 86 94";"10000";"Участвует в конкурсе";"1284215";"—"
"233";"4";"—";"268000";"72 95 91";"10000";"Участвует в конкурсе";"1718376";"—"
"234";"6";"—";"267000";"82 91 94";"—";"Участвует в конкурсе";"971468";"—"
"235";"4";"—";"267000";"88 91 78";"10000";"Участвует в конкурсе";"1620634";"—"
"236";"10";"—";"267000";"84 95 78";"10000";"Участвует в конкурсе";"1365118";"—"
"237";"3";"Электронное";"267000";"84 84 89";"10000";"Участвует в конкурсе";"2179171";"—"
"239";"13";"Электронное";"267000";"78 90 89";"10000";"Участвует в конкурсе";"1286436";"—"
"240";"9";"—";"267000";"78 90 89";"10000";"Участвует в конкурсе";"1505617";"—"
"241";"12";"—";"267000";"78 88 91";"10000";"Участвует в конкурсе";"1442988";"—"
"242";"10";"—";"267000";"72 99 86";"10000";"Участвует в конкурсе";"1276798";"—"
"243";"3";"—";"267000";"70 93 94";"10000";"Участвует в конкурсе";"2218404";"—"
"244";"7";"—";"266000";"94 99 73";"—";"Участвует в конкурсе";"1000985";"—"
"246";"10";"Электронное";"266000";"88 100 75";"3000";"Участвует в конкурсе";"1913391";"—"
"247";"13";"—";"266000";"88 97 78";"3000";"Участвует в конкурсе";"1721084";"—"
"248";"11";"—";"266000";"84 91 86";"5000";"Участвует в конкурсе";"1888842";"—"
"249";"12";"Электронное";"266000";"90 88 78";"10000";"Участвует в конкурсе";"2090514";"—"
"250";"2";"—";"266000";"88 93 75";"10000";"Участвует в конкурсе";"1407693";"—"
"251";"8";"—";"266000";"84 100 72";"10000";"Участвует в конкурсе";"1361691";"—"
"252";"4";"—";"266000";"84 100 72";"10000";"Участвует в конкурсе";"2414238";"—"
"253";"2";"—";"266000";"84 86 86";"10000";"Участвует в конкурсе";"1076013";"—"
"254";"8";"Электронное";"266000";"82 91 83";"10000";"Участвует в конкурсе";"1849929";"—"
"255";"4";"—";"266000";"82 88 86";"10000";"Участвует в конкурсе";"1293124";"—"
"256";"2";"—";"266000";"82 88 86";"10000";"Участвует в конкурсе";"1849805";"—"
"257";"1";"Электронное";"266000";"78 97 81";"10000";"Участвует в конкурсе";"1470078";"—"
"258";"2";"—";"266000";"78 95 83";"10000";"Участвует в конкурсе";"1341924";"—"
"259";"5";"—";"265000";"84 95 86";"—";"Участвует в конкурсе";"1728512";"—"
"260";"9";"—";"265000";"82 97 86";"—";"Участвует в конкурсе";"1239876";"—"
"261";"1";"—";"265000";"82 97 86";"—";"Участвует в конкурсе";"2084428";"—"
"262";"5";"—";"265000";"88 100 67";"10000";"Участвует в конкурсе";"1549528";"—"
"263";"11";"—";"265000";"88 86 81";"10000";"Участвует в конкурсе";"2093390";"—"
"264";"2";"—";"265000";"86 97 72";"10000";"Участвует в конкурсе";"2342589";"—"
"265";"2";"—";"265000";"84 82 89";"10000";"Участвует в конкурсе";"1117004";"—"
"266";"6";"—";"265000";"82 100 73";"10000";"Участвует в конкурсе";"1730508";"—"
"267";"5";"—";"265000";"82 90 83";"10000";"Участвует в конкурсе";"1171447";"—"
"268";"5";"—";"265000";"82 90 83";"10000";"Участвует в конкурсе";"1607571";"—"
"269";"6";"Электронное";"265000";"82 84 89";"10000";"Участвует в конкурсе";"1964069";"—"
"270";"4";"—";"265000";"78 86 91";"10000";"Участвует в конкурсе";"1736272";"—"
"271";"1";"—";"265000";"78 86 91";"10000";"Участвует в конкурсе";"1982433";"—"
"272";"13";"Электронное";"264000";"94 97 73";"—";"Участвует в конкурсе";"1130222";"—"
"273";"7";"—";"264000";"90 93 81";"—";"Участвует в конкурсе";"2263394";"—"
"274";"1";"—";"264000";"84 99 81";"—";"Участвует в конкурсе";"1431405";"—"
"275";"1";"—";"264000";"84 91 89";"—";"Участвует в конкурсе";"2314762";"—"
"276";"11";"—";"264000";"92 86 81";"5000";"Участвует в конкурсе";"1303676";"—"
"277";"2";"—";"264000";"82 99 78";"5000";"Участвует в конкурсе";"1858717";"—"
"278";"13";"—";"264000";"88 93 73";"10000";"Участвует в конкурсе";"1911276";"—"
"279";"6";"—";"264000";"88 80 86";"10000";"Участвует в конкурсе";"1634926";"—"
"280";"5";"—";"264000";"82 91 81";"10000";"Участвует в конкурсе";"1843197";"—"
"281";"10";"—";"264000";"82 86 86";"10000";"Участвует в конкурсе";"1350207";"—"
"282";"5";"—";"264000";"80 91 83";"10000";"Участвует в конкурсе";"1124839";"—"
"283";"13";"Электронное";"264000";"78 93 83";"10000";"Участвует в конкурсе";"1436461";"—"
