"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"5";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2036451";"—"
"2";"2";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2050153";"—"
"3";"11";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2137647";"—"
"4";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2180297";"—"
"5";"6";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2220874";"—"
"6";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2180244";"—"
"7";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2060344";"—"
"8";"10";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2170509";"—"
"9";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1994178";"—"
"10";"9";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2052844";"—"
"11";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1983792";"—"
"12";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1514027";"—"
"13";"11";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2182439";"—"
"14";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2178127";"—"
"15";"7";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2176288";"—"
"16";"6";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2247366";"—"
"17";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1925352";"—"
"18";"5";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"941391";"—"
"19";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"1165220";"—"
"20";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2166585";"—"
"21";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"1647819";"—"
"22";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2003107";"—"
"23";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"2098092";"—"
"24";"6";"—";"—";"-";"—";"Ожидание результатов ВИ";"2241026";"—"
"25";"7";"—";"—";"-";"—";"Ожидание результатов ВИ";"2266937";"—"
"26";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"2331722";"—"
"27";"9";"—";"—";"-";"—";"Ожидание результатов ВИ";"2335985";"—"
"28";"8";"—";"—";"-";"—";"Ожидание результатов ВИ";"2390156";"—"
"29";"8";"—";"—";"-";"—";"Ожидание результатов ВИ";"2430575";"—"
"30";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"1941046";"—"
