"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"45000";"-";"45000";"Ожидание результатов ВИ";"974224";"—"
"2";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2036451";"—"
"3";"2";"—";"28000";"-";"28000";"Ожидание результатов ВИ";"2088441";"—"
"4";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1980302";"—"
"5";"10";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2137647";"—"
"6";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2220874";"—"
"7";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2170509";"—"
"8";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1996966";"—"
"9";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1994178";"—"
"10";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2052844";"—"
"11";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1983792";"—"
"12";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2022949";"—"
"13";"6";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2033494";"—"
"14";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2115628";"—"
"15";"9";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2182439";"—"
"16";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2178127";"—"
"17";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2176288";"—"
"18";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2169243";"—"
"19";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2247366";"—"
"20";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2077279";"—"
"21";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"941391";"—"
"23";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"1647819";"—"
"24";"6";"—";"—";"-";"—";"Ожидание результатов ВИ";"1821985";"—"
"25";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"1993247";"—"
"26";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"1184758";"—"
"27";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1986222";"—"
"28";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1982863";"—"
"29";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2003107";"—"
"30";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2094586";"—"
"31";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2083038";"—"
"32";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2230097";"—"
"33";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2221260";"—"
"34";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2222368";"—"
"35";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2241026";"—"
"36";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2252510";"—"
"37";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"2083043";"—"
"38";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2266937";"—"
"39";"8";"—";"—";"-";"—";"Ожидание результатов ВИ";"2335985";"—"
"40";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2357011";"—"
"41";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"2358957";"—"
"42";"9";"—";"—";"-";"—";"Ожидание результатов ВИ";"2390156";"—"
"43";"7";"—";"—";"-";"—";"Ожидание результатов ВИ";"2430575";"—"
"44";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2439399";"—"
"45";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2446642";"—"
"46";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2446025";"—"
"47";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"1445308";"—"
"48";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"1941046";"—"
