"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"3";"Электронное";"50000";"-";"50000";"Ожидание результатов ВИ";"2047680";"—"
"2";"3";"—";"45000";"-";"45000";"Ожидание результатов ВИ";"1714186";"—"
"3";"7";"Электронное";"45000";"-";"45000";"Ожидание результатов ВИ";"995781";"—"
"4";"1";"—";"45000";"-";"45000";"Ожидание результатов ВИ";"966837";"—"
"5";"1";"—";"45000";"-";"45000";"Ожидание результатов ВИ";"974224";"—"
"6";"8";"—";"45000";"-";"45000";"Ожидание результатов ВИ";"2004464";"—"
"7";"3";"Электронное";"45000";"-";"45000";"Ожидание результатов ВИ";"2261964";"—"
"8";"11";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"1455364";"—"
"9";"6";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"1951454";"—"
"10";"1";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2036451";"—"
"11";"6";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2136115";"—"
"12";"3";"Электронное";"38000";"-";"38000";"Ожидание результатов ВИ";"2036317";"—"
"13";"9";"Электронное";"35000";"-";"35000";"Ожидание результатов ВИ";"2073832";"—"
"14";"1";"Электронное";"28000";"-";"28000";"Ожидание результатов ВИ";"2088441";"—"
"15";"1";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"1980302";"—"
"16";"10";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2137647";"—"
"17";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2220874";"—"
"18";"1";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2170509";"—"
"19";"2";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2122923";"—"
"20";"1";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"1996966";"—"
"21";"2";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"1994178";"—"
"22";"5";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2052844";"—"
"23";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1983792";"—"
"24";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2033494";"—"
"25";"1";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2022949";"—"
"26";"3";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2082446";"—"
"27";"1";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2115628";"—"
"28";"9";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2182439";"—"
"29";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2178127";"—"
"30";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2176288";"—"
"31";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2169243";"—"
"32";"3";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2162086";"—"
"33";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2247366";"—"
"34";"4";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1855376";"—"
"35";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2077279";"—"
"36";"3";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1242597";"—"
"37";"41";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2298220";"—"
"38";"4";"Электронное";"15000";"-";"15000";"Ожидание результатов ВИ";"2388251";"—"
"39";"3";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1539088";"—"
"40";"8";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2415225";"—"
"41";"7";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2265474";"—"
"42";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1907955";"—"
"43";"9";"Электронное";"15000";"-";"15000";"Ожидание результатов ВИ";"2089138";"—"
"44";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"941391";"—"
"45";"2";"Электронное";"12000";"-";"12000";"Ожидание результатов ВИ";"2030643";"—"
"46";"6";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2040622";"—"
"47";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2267774";"—"
"48";"1";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2416909";"—"
"49";"6";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2229535";"—"
