"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"Электронное";"50000";"-";"50000";"Ожидание результатов ВИ";"2047680";"—"
"2";"5";"—";"45000";"-";"45000";"Ожидание результатов ВИ";"1714186";"—"
"4";"7";"—";"45000";"-";"45000";"Ожидание результатов ВИ";"2004464";"—"
"5";"10";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"1455364";"—"
"6";"7";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"1951454";"—"
"7";"4";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2036451";"—"
"8";"1";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2050153";"—"
"9";"7";"Электронное";"28000";"-";"28000";"Ожидание результатов ВИ";"2088441";"—"
"10";"8";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2137647";"—"
"11";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2180297";"—"
"12";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2220874";"—"
"13";"2";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2032025";"—"
"14";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2180244";"—"
"15";"6";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2170509";"—"
"16";"1";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2122923";"—"
"17";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2346852";"—"
"18";"4";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"1994178";"—"
"19";"2";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2052844";"—"
"20";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1983792";"—"
"21";"2";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"1514027";"—"
"22";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2136109";"—"
"23";"7";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2182439";"—"
"24";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2178127";"—"
"25";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2176288";"—"
"26";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2174147";"—"
"27";"4";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2162086";"—"
"28";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2247366";"—"
"29";"3";"Электронное";"20000";"-";"20000";"Ожидание результатов ВИ";"2266857";"—"
"30";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2231914";"—"
"31";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1855376";"—"
"32";"4";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1125608";"—"
"33";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2177160";"—"
"34";"5";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2364096";"—"
"35";"8";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1242597";"—"
"36";"40";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2298220";"—"
