"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"10";"—";"280000";"90 99 81";"10000";"Участвует в конкурсе";"831215";"—"
"2";"9";"—";"280000";"88 99 83";"10000";"Участвует в конкурсе";"1523059";"—"
"3";"6";"—";"269000";"82 91 86";"10000";"Участвует в конкурсе";"1713724";"—"
"4";"2";"—";"264000";"86 95 83";"—";"Участвует в конкурсе";"1172831";"—"
"5";"4";"—";"262000";"95 95 72";"—";"Участвует в конкурсе";"1154155";"—"
"6";"10";"—";"237000";"74 90 63";"10000";"Участвует в конкурсе";"1212498";"—"
"7";"1";"—";"234000";"80 78 66";"10000";"Участвует в конкурсе";"1307312";"—"
"8";"13";"—";"232000";"72 88 69";"3000";"Участвует в конкурсе";"956707";"—"
"9";"8";"Электронное";"216000";"58 74 81";"3000";"Участвует в конкурсе";"1272859";"—"
"10";"1";"—";"214000";"70 86 58";"—";"Участвует в конкурсе";"1215393";"—"
"11";"2";"Электронное";"213000";"72 68 73";"—";"Участвует в конкурсе";"1502590";"—"
"12";"1";"—";"212000";"80 71 61";"—";"Участвует в конкурсе";"1779012";"—"
"14";"11";"—";"211000";"76 62 70";"3000";"Участвует в конкурсе";"1339068";"—"
"16";"8";"—";"205000";"78 61 66";"—";"Участвует в конкурсе";"1782301";"—"
"17";"7";"—";"201000";"72 77 52";"—";"Участвует в конкурсе";"1180429";"—"
"18";"11";"—";"174000";"58 65 51";"—";"Участвует в конкурсе";"2331537";"—"
"19";"4";"—";"173000";"58 49 66";"—";"Участвует в конкурсе";"1959607";"—"
"20";"2";"—";"168000";"64 49 55";"—";"Участвует в конкурсе";"1061817";"—"
"22";"6";"—";"155000";"46 42 67";"—";"Участвует в конкурсе";"947331";"—"
"23";"4";"—";"153000";"52 52 49";"—";"Участвует в конкурсе";"1608897";"—"
