"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"—";"301000";"100 97 94";"10000";"Участвует в конкурсе";"1510248";"—"
"2";"1";"—";"299000";"98 100 91";"10000";"Участвует в конкурсе";"1465738";"—"
"3";"13";"—";"299000";"92 100 97";"10000";"Участвует в конкурсе";"1892250";"—"
"4";"2";"—";"298000";"95 99 94";"10000";"Участвует в конкурсе";"1261361";"—"
"5";"1";"—";"295000";"93 95 97";"10000";"Участвует в конкурсе";"1632651";"—"
"6";"1";"—";"295000";"91 100 94";"10000";"Участвует в конкурсе";"1331951";"—"
"7";"2";"—";"293000";"100 97 86";"10000";"Участвует в конкурсе";"1213814";"—"
"8";"1";"—";"292000";"95 93 94";"10000";"Участвует в конкурсе";"1610635";"—"
"9";"7";"—";"291000";"92 95 94";"10000";"Участвует в конкурсе";"1346514";"—"
"10";"6";"—";"290000";"95 99 86";"10000";"Участвует в конкурсе";"1677376";"—"
"11";"2";"—";"290000";"92 91 97";"10000";"Участвует в конкурсе";"1719290";"—"
"13";"1";"—";"288000";"100 100 78";"10000";"Участвует в конкурсе";"2050651";"—"
"14";"3";"—";"288000";"96 93 89";"10000";"Участвует в конкурсе";"1488174";"—"
"16";"3";"—";"288000";"88 99 91";"10000";"Участвует в конкурсе";"2394257";"—"
"17";"2";"—";"288000";"88 90 100";"10000";"Участвует в конкурсе";"1909202";"—"
"18";"1";"—";"288000";"78 100 100";"10000";"Участвует в конкурсе";"1439191";"—"
"19";"1";"—";"287000";"95 95 89";"8000";"Участвует в конкурсе";"1476399";"—"
"20";"3";"—";"287000";"96 95 86";"10000";"Участвует в конкурсе";"1567157";"—"
"21";"1";"—";"287000";"95 93 89";"10000";"Участвует в конкурсе";"1342264";"—"
"22";"1";"—";"287000";"93 93 91";"10000";"Участвует в конкурсе";"1288210";"—"
"23";"1";"—";"286000";"100 95 86";"5000";"Участвует в конкурсе";"1910630";"—"
"24";"1";"—";"286000";"90 97 89";"10000";"Участвует в конкурсе";"1730767";"—"
"26";"2";"—";"285000";"91 93 91";"10000";"Участвует в конкурсе";"1459649";"—"
"27";"3";"—";"285000";"91 93 91";"10000";"Участвует в конкурсе";"1670902";"—"
"28";"2";"—";"285000";"88 90 97";"10000";"Участвует в конкурсе";"1444424";"—"
"29";"4";"—";"285000";"86 95 94";"10000";"Участвует в конкурсе";"1990141";"—"
"30";"1";"—";"285000";"85 90 100";"10000";"Участвует в конкурсе";"1613775";"—"
"31";"1";"—";"284000";"98 97 86";"3000";"Участвует в конкурсе";"1442526";"—"
"32";"1";"—";"284000";"93 95 86";"10000";"Участвует в конкурсе";"1519807";"—"
"33";"1";"—";"283000";"93 99 91";"—";"Участвует в конкурсе";"1904428";"—"
"34";"2";"—";"283000";"83 95 100";"5000";"Участвует в конкурсе";"1211359";"—"
"35";"4";"—";"283000";"93 99 81";"10000";"Участвует в конкурсе";"1644441";"—"
"36";"2";"—";"283000";"93 99 81";"10000";"Участвует в конкурсе";"1913923";"—"
"37";"1";"—";"283000";"80 99 94";"10000";"Участвует в конкурсе";"1237013";"—"
"38";"2";"—";"282000";"96 93 83";"10000";"Участвует в конкурсе";"1201509";"—"
"39";"1";"—";"282000";"95 91 86";"10000";"Участвует в конкурсе";"1384317";"—"
"40";"10";"—";"281000";"82 100 89";"10000";"Участвует в конкурсе";"1466394";"—"
"41";"2";"—";"280000";"100 95 75";"10000";"Участвует в конкурсе";"2325798";"—"
"42";"2";"—";"280000";"93 99 78";"10000";"Участвует в конкурсе";"1364696";"—"
"43";"1";"—";"280000";"90 91 89";"10000";"Участвует в конкурсе";"1365907";"—"
"44";"2";"—";"280000";"88 91 91";"10000";"Участвует в конкурсе";"1853700";"—"
"45";"1";"—";"280000";"88 88 94";"10000";"Участвует в конкурсе";"1995680";"—"
"46";"1";"—";"280000";"81 100 89";"10000";"Участвует в конкурсе";"1276426";"—"
"47";"6";"—";"280000";"80 99 91";"10000";"Участвует в конкурсе";"1255797";"—"
"48";"1";"—";"279000";"93 95 91";"—";"Участвует в конкурсе";"1561829";"—"
"49";"2";"—";"279000";"95 99 75";"10000";"Участвует в конкурсе";"1718605";"—"
"50";"1";"—";"279000";"85 95 89";"10000";"Участвует в конкурсе";"1505622";"—"
"51";"12";"—";"278000";"88 97 83";"10000";"Участвует в конкурсе";"1271063";"—"
