"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"1206558";"—"
"2";"1";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"1896923";"—"
"3";"1";"—";"45000";"-";"45000";"Ожидание результатов ВИ";"2004464";"—"
"4";"1";"—";"45000";"-";"45000";"Ожидание результатов ВИ";"2001307";"—"
"5";"3";"—";"45000";"-";"45000";"Ожидание результатов ВИ";"1988353";"—"
"6";"2";"—";"45000";"-";"45000";"Ожидание результатов ВИ";"2080897";"—"
"7";"1";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"1728034";"—"
"8";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1963091";"—"
"9";"3";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2116162";"—"
"10";"5";"—";"33000";"-";"33000";"Ожидание результатов ВИ";"2056621";"—"
"11";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2137647";"—"
"12";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2060344";"—"
"13";"7";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2170509";"—"
"14";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1548991";"—"
"15";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1987274";"—"
"16";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2033494";"—"
"17";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2093962";"—"
"18";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2182439";"—"
"19";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2182258";"—"
"20";"4";"—";"20000";"-";"20000";"Ожидание результатов ВИ";"2266857";"—"
"21";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1835220";"—"
"22";"3";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2013766";"—"
"23";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2257338";"—"
"24";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2425340";"—"
"25";"3";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2421560";"—"
"27";"4";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1000197";"—"
"28";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2138550";"—"
"29";"3";"—";"—";"x";"—";"На рассмотрении";"1116287";"—"
"30";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1363666";"—"
"31";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1365765";"—"
"32";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1746418";"—"
"33";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2045198";"—"
"34";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"1039252";"—"
"35";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1039956";"—"
"36";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2083043";"—"
"37";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1997468";"—"
"38";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2096090";"—"
"39";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"2138876";"—"
"40";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"1094970";"—"
"41";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2159411";"—"
"42";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2223190";"—"
"43";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1817821";"—"
"44";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2126710";"—"
"45";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2329275";"—"
"46";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2335985";"—"
"47";"6";"—";"—";"-";"—";"Ожидание результатов ВИ";"2341579";"—"
"48";"8";"—";"—";"-";"—";"Ожидание результатов ВИ";"2358957";"—"
"49";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2359835";"—"
"50";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2076399";"—"
"51";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2390156";"—"
"52";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2394787";"—"
"53";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1499994";"—"
"54";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2410020";"—"
"55";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"2426834";"—"
"56";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2431605";"—"
"57";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2430575";"—"
"58";"9";"—";"—";"-";"—";"Ожидание результатов ВИ";"2446642";"—"
"59";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2483935";"—"
"60";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1367394";"—"
