"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"—";"295000";"97 99 89";"10000";"Участвует в конкурсе";"1345716";"—"
"2";"9";"—";"288000";"90 88 100";"10000";"Участвует в конкурсе";"1909202";"—"
"3";"4";"—";"285000";"92 86 97";"10000";"Участвует в конкурсе";"2306608";"—"
"5";"7";"—";"280000";"99 80 91";"10000";"Участвует в конкурсе";"1255797";"—"
"6";"9";"—";"278000";"96 86 86";"10000";"Участвует в конкурсе";"1503436";"—"
"7";"10";"—";"277000";"100 88 86";"3000";"Участвует в конкурсе";"1102219";"—"
"8";"1";"—";"276000";"97 96 83";"—";"Участвует в конкурсе";"2082865";"—"
"9";"1";"—";"276000";"86 94 86";"10000";"Участвует в конкурсе";"1989731";"—"
"10";"2";"—";"276000";"84 82 100";"10000";"Участвует в конкурсе";"1649937";"—"
"11";"1";"—";"275000";"88 96 91";"—";"Участвует в конкурсе";"1622179";"—"
"12";"5";"—";"275000";"88 86 91";"10000";"Участвует в конкурсе";"1339372";"—"
"13";"4";"—";"274000";"84 97 83";"10000";"Участвует в конкурсе";"1729455";"—"
"14";"2";"—";"273000";"90 100 73";"10000";"Участвует в конкурсе";"1651810";"—"
"15";"2";"—";"272000";"90 86 86";"10000";"Участвует в конкурсе";"1725161";"—"
"16";"3";"—";"271000";"88 97 78";"8000";"Участвует в конкурсе";"1123295";"—"
"17";"6";"—";"271000";"100 78 83";"10000";"Участвует в конкурсе";"1993373";"—"
"18";"6";"—";"271000";"95 80 86";"10000";"Участвует в конкурсе";"1387052";"—"
"19";"7";"—";"271000";"92 88 81";"10000";"Участвует в конкурсе";"1441444";"—"
"20";"8";"—";"270000";"93 86 81";"10000";"Участвует в конкурсе";"1439512";"—"
"21";"3";"—";"269000";"95 88 86";"—";"Участвует в конкурсе";"1518851";"—"
"22";"3";"—";"269000";"95 88 83";"3000";"Участвует в конкурсе";"1362787";"—"
"23";"3";"—";"268000";"96 86 83";"3000";"Участвует в конкурсе";"1565862";"—"
"24";"1";"—";"268000";"96 84 78";"10000";"Участвует в конкурсе";"996953";"—"
"25";"5";"—";"268000";"79 96 83";"10000";"Участвует в конкурсе";"1481897";"—"
"26";"4";"—";"267000";"90 78 94";"5000";"Участвует в конкурсе";"2140956";"—"
"27";"1";"—";"267000";"86 90 81";"10000";"Участвует в конкурсе";"1751485";"—"
"28";"8";"—";"266000";"95 80 91";"—";"Участвует в конкурсе";"1561829";"—"
"29";"5";"—";"266000";"96 90 70";"10000";"Участвует в конкурсе";"1105472";"—"
"30";"5";"—";"266000";"88 90 78";"10000";"Участвует в конкурсе";"1785739";"—"
"31";"7";"—";"265000";"97 82 86";"—";"Участвует в конкурсе";"2084428";"—"
"32";"2";"—";"265000";"96 94 75";"—";"Участвует в конкурсе";"1419384";"—"
"33";"3";"—";"265000";"96 94 75";"—";"Участвует в конкурсе";"1514301";"—"
"34";"2";"—";"265000";"90 92 83";"—";"Участвует в конкурсе";"1432844";"—"
"35";"11";"—";"265000";"88 84 89";"4000";"Участвует в конкурсе";"1201617";"—"
"36";"5";"—";"265000";"86 88 81";"10000";"Участвует в конкурсе";"2093390";"—"
"37";"7";"—";"265000";"86 78 91";"10000";"Участвует в конкурсе";"1736272";"—"
"38";"9";"—";"264000";"93 86 75";"10000";"Участвует в конкурсе";"1999848";"—"
"39";"11";"—";"264000";"82 86 86";"10000";"Участвует в конкурсе";"1515478";"—"
"40";"1";"—";"263000";"94 84 75";"10000";"Участвует в конкурсе";"1435503";"—"
"41";"3";"—";"263000";"90 80 83";"10000";"Участвует в конкурсе";"2095228";"—"
"42";"7";"—";"261000";"95 94 72";"—";"Участвует в конкурсе";"1324414";"—"
"43";"1";"—";"261000";"88 82 81";"10000";"Участвует в конкурсе";"1974764";"—"
"44";"1";"—";"261000";"88 74 89";"10000";"Участвует в конкурсе";"1773863";"—"
"45";"1";"—";"261000";"84 86 81";"10000";"Участвует в конкурсе";"1504690";"—"
"46";"5";"—";"260000";"90 90 75";"5000";"Участвует в конкурсе";"1437280";"—"
"47";"6";"—";"260000";"91 86 73";"10000";"Участвует в конкурсе";"1335646";"—"
"48";"3";"—";"260000";"88 84 78";"10000";"Участвует в конкурсе";"2310217";"—"
"49";"4";"—";"259000";"84 92 73";"10000";"Участвует в конкурсе";"1780100";"—"
"50";"2";"—";"257000";"90 92 75";"—";"Участвует в конкурсе";"2190625";"—"
"51";"9";"—";"256000";"91 90 75";"—";"Участвует в конкурсе";"1791428";"—"
"52";"1";"—";"256000";"73 82 91";"10000";"Участвует в конкурсе";"1758647";"—"
"54";"3";"—";"255000";"96 76 73";"10000";"Участвует в конкурсе";"1977032";"—"
"55";"1";"—";"254000";"77 84 83";"10000";"Участвует в конкурсе";"1500398";"—"
"56";"6";"—";"253000";"84 98 66";"5000";"Участвует в конкурсе";"1270344";"—"
"57";"5";"—";"253000";"82 80 81";"10000";"Участвует в конкурсе";"1799214";"—"
"58";"2";"—";"253000";"78 74 91";"10000";"Участвует в конкурсе";"1095891";"—"
"59";"2";"—";"253000";"70 82 91";"10000";"Участвует в конкурсе";"1625544";"—"
"60";"4";"—";"252000";"88 80 81";"3000";"Участвует в конкурсе";"1377134";"—"
"61";"6";"—";"252000";"91 84 67";"10000";"Участвует в конкурсе";"1903854";"—"
"62";"12";"—";"252000";"71 88 83";"10000";"Участвует в конкурсе";"2227233";"—"
"63";"3";"—";"251000";"94 76 81";"—";"Участвует в конкурсе";"2100806";"—"
"64";"8";"—";"251000";"90 86 75";"—";"Участвует в конкурсе";"2178306";"—"
