"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"5";"—";"306000";"98 98 100";"10000";"Участвует в конкурсе";"1481043";"—"
"2";"2";"—";"304000";"100 100 94";"10000";"Участвует в конкурсе";"1198242";"—"
"3";"2";"—";"304000";"95 99 100";"10000";"Участвует в конкурсе";"1485022";"—"
"4";"6";"—";"303000";"100 96 97";"10000";"Участвует в конкурсе";"1516598";"—"
"5";"4";"—";"303000";"96 97 100";"10000";"Участвует в конкурсе";"1595908";"—"
"6";"2";"—";"300000";"100 96 94";"10000";"Участвует в конкурсе";"1463052";"—"
"7";"4";"—";"297000";"94 94 100";"9000";"Участвует в конкурсе";"1814196";"—"
"8";"4";"—";"297000";"96 100 91";"10000";"Участвует в конкурсе";"1203884";"—"
"9";"11";"—";"296000";"100 92 94";"10000";"Участвует в конкурсе";"1513224";"—"
"10";"2";"—";"296000";"94 95 97";"10000";"Участвует в конкурсе";"1596286";"—"
"11";"4";"—";"295000";"100 94 91";"10000";"Участвует в конкурсе";"1176272";"—"
"12";"2";"—";"295000";"97 99 89";"10000";"Участвует в конкурсе";"1345716";"—"
"13";"1";"—";"295000";"94 100 91";"10000";"Участвует в конкурсе";"1751954";"—"
"14";"10";"Электронное";"294000";"100 90 94";"10000";"Участвует в конкурсе";"1166134";"—"
"15";"3";"—";"293000";"100 92 91";"10000";"Участвует в конкурсе";"1347375";"—"
"17";"5";"—";"293000";"100 86 97";"10000";"Участвует в конкурсе";"1770306";"—"
"18";"4";"—";"293000";"97 97 89";"10000";"Участвует в конкурсе";"2088406";"—"
"19";"2";"—";"292000";"100 88 94";"10000";"Участвует в конкурсе";"1670195";"—"
"20";"7";"—";"292000";"99 94 89";"10000";"Участвует в конкурсе";"1953269";"—"
"21";"4";"—";"291000";"100 100 91";"—";"Участвует в конкурсе";"1088908";"—"
"22";"3";"—";"291000";"96 94 91";"10000";"Участвует в конкурсе";"2056844";"—"
