"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"14";"Электронное";"40000";"- -";"40000";"Ожидание результатов ВИ";"1455364";"—"
"2";"2";"—";"40000";"- -";"40000";"Ожидание результатов ВИ";"2264736";"—"
"3";"1";"—";"33000";"- -";"33000";"Ожидание результатов ВИ";"1999823";"—"
"4";"2";"—";"32000";"- -";"32000";"Ожидание результатов ВИ";"1174453";"—"
"5";"10";"—";"25000";"- -";"25000";"Ожидание результатов ВИ";"1417452";"—"
"6";"5";"Электронное";"25000";"- -";"25000";"Ожидание результатов ВИ";"2028029";"—"
"7";"5";"Электронное";"25000";"- -";"25000";"Ожидание результатов ВИ";"2029321";"—"
"8";"1";"—";"25000";"- -";"25000";"Ожидание результатов ВИ";"2117975";"—"
"9";"4";"Электронное";"25000";"- -";"25000";"Ожидание результатов ВИ";"2182929";"—"
"10";"1";"Электронное";"25000";"- -";"25000";"Ожидание результатов ВИ";"2248168";"—"
"11";"2";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"1745461";"—"
"12";"1";"Электронное";"15000";"- -";"15000";"Ожидание результатов ВИ";"2426369";"—"
"13";"3";"Электронное";"15000";"- -";"15000";"Ожидание результатов ВИ";"2376313";"—"
"15";"44";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2298220";"—"
"16";"2";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2314171";"—"
"17";"4";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"1546743";"—"
"18";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2455777";"—"
"19";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2445173";"—"
"22";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1547523";"—"
"23";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1821985";"—"
"24";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1699398";"—"
"25";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1766100";"—"
"26";"5";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1898965";"—"
"27";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1960273";"—"
"28";"28";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1995533";"—"
"30";"6";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2098372";"—"
"31";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2123248";"—"
"33";"46";"Электронное";"—";"- -";"—";"Ожидание результатов ВИ";"2221271";"—"
"34";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2253894";"—"
"35";"2";"Электронное";"—";"- -";"—";"Ожидание результатов ВИ";"2250839";"—"
"36";"2";"Электронное";"—";"- -";"—";"Ожидание результатов ВИ";"2250335";"—"
"37";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2272998";"—"
"38";"6";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2284946";"—"
"39";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2292210";"—"
"40";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1277918";"—"
"41";"12";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2342399";"—"
"42";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1087269";"—"
"43";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2367629";"—"
"44";"1";"Электронное";"—";"- -";"—";"Ожидание результатов ВИ";"2367985";"—"
"45";"3";"Электронное";"—";"- -";"—";"Ожидание результатов ВИ";"2376196";"—"
"46";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2378058";"—"
"47";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2390052";"—"
"48";"27";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1780918";"—"
"49";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1899995";"—"
"50";"1";"Электронное";"—";"- -";"—";"Ожидание результатов ВИ";"2413177";"—"
"51";"1";"Электронное";"—";"- -";"—";"Ожидание результатов ВИ";"2425668";"—"
"52";"2";"Электронное";"—";"- -";"—";"Ожидание результатов ВИ";"2427274";"—"
"53";"47";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2429608";"—"
"54";"9";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2446642";"—"
"55";"17";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2265063";"—"
"56";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2460545";"—"
"57";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2458730";"—"
"58";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2472791";"—"
"59";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2460447";"—"
