"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"4";"—";"291000";"94 96 91";"10000";"Участвует в конкурсе";"1352336";"—"
"2";"1";"—";"287000";"90 98 89";"10000";"Участвует в конкурсе";"1976016";"—"
"3";"4";"—";"282000";"95 98 89";"—";"Участвует в конкурсе";"1910325";"—"
"4";"7";"—";"282000";"82 96 94";"10000";"Участвует в конкурсе";"1511658";"—"
"5";"4";"—";"270000";"90 94 86";"—";"Участвует в конкурсе";"1710662";"—"
"6";"3";"—";"270000";"86 96 78";"10000";"Участвует в конкурсе";"1198822";"—"
"7";"5";"—";"259000";"99 90 60";"10000";"Участвует в конкурсе";"1438057";"—"
"9";"5";"—";"257000";"88 83 83";"3000";"Участвует в конкурсе";"1651455";"—"
"10";"2";"—";"257000";"86 88 73";"10000";"Участвует в конкурсе";"1620837";"—"
"11";"17";"—";"252000";"76 80 86";"10000";"Участвует в конкурсе";"2254107";"—"
"12";"9";"—";"250000";"88 78 81";"3000";"Участвует в конкурсе";"1914771";"—"
"13";"3";"—";"249000";"95 90 61";"3000";"Участвует в конкурсе";"1505661";"—"
"14";"4";"—";"248000";"78 82 78";"10000";"Участвует в конкурсе";"1708850";"—"
"16";"21";"—";"246000";"80 80 83";"3000";"Участвует в конкурсе";"2244312";"—"
"17";"6";"—";"245000";"84 88 73";"—";"Участвует в конкурсе";"1446689";"—"
"18";"1";"—";"245000";"80 80 75";"10000";"Участвует в конкурсе";"1314837";"—"
"19";"1";"—";"245000";"78 84 73";"10000";"Участвует в конкурсе";"1522189";"—"
"20";"5";"—";"244000";"78 75 81";"10000";"Участвует в конкурсе";"1719369";"—"
"21";"5";"—";"243000";"86 85 67";"5000";"Участвует в конкурсе";"1852239";"—"
"22";"5";"—";"242000";"92 68 72";"10000";"Участвует в конкурсе";"2006806";"—"
"23";"4";"—";"241000";"84 80 70";"7000";"Участвует в конкурсе";"1849637";"—"
"24";"3";"—";"241000";"74 84 73";"10000";"Участвует в конкурсе";"2049698";"—"
"25";"5";"—";"240000";"88 85 67";"—";"Участвует в конкурсе";"1261909";"—"
"26";"4";"—";"240000";"82 67 81";"10000";"Участвует в конкурсе";"1904124";"—"
"27";"8";"—";"240000";"80 67 83";"10000";"Участвует в конкурсе";"1709792";"—"
"28";"20";"—";"239000";"74 90 72";"3000";"Участвует в конкурсе";"1365302";"—"
"29";"5";"—";"238000";"72 80 86";"—";"Участвует в конкурсе";"2371393";"—"
"30";"3";"—";"238000";"74 88 73";"3000";"Участвует в конкурсе";"1651907";"—"
"32";"1";"—";"238000";"86 67 75";"10000";"Участвует в конкурсе";"2259234";"—"
"33";"6";"—";"237000";"84 83 70";"—";"Участвует в конкурсе";"1775388";"—"
"34";"1";"—";"237000";"84 64 89";"—";"Участвует в конкурсе";"2245433";"—"
"35";"3";"—";"237000";"80 71 83";"3000";"Участвует в конкурсе";"1254161";"—"
"37";"3";"—";"236000";"74 84 78";"—";"Участвует в конкурсе";"1626865";"—"
"38";"8";"—";"235000";"80 88 67";"—";"Участвует в конкурсе";"2139816";"—"
"39";"5";"—";"235000";"80 72 83";"—";"Участвует в конкурсе";"1868360";"—"
"40";"6";"—";"235000";"78 71 86";"—";"Участвует в конкурсе";"2098432";"—"
"42";"5";"—";"233000";"78 77 78";"—";"Участвует в конкурсе";"1856550";"—"
