"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"3";"—";"291000";"94 96 91";"10000";"Участвует в конкурсе";"1352336";"—"
"2";"2";"—";"286000";"94 88 94";"10000";"Участвует в конкурсе";"1901421";"—"
"3";"11";"—";"279000";"92 88 89";"10000";"Участвует в конкурсе";"1756318";"—"
"4";"5";"—";"275000";"86 90 89";"10000";"Участвует в конкурсе";"1255904";"—"
"5";"4";"—";"273000";"100 90 73";"10000";"Участвует в конкурсе";"1651810";"—"
"6";"4";"—";"272000";"90 92 90";"—";"Участвует в конкурсе";"1880541";"—"
"7";"6";"—";"270000";"94 88 78";"10000";"Участвует в конкурсе";"1348278";"—"
"8";"4";"—";"269000";"80 88 91";"10000";"Участвует в конкурсе";"1133458";"—"
"9";"1";"—";"268000";"94 83 81";"10000";"Участвует в конкурсе";"2159132";"—"
"11";"4";"—";"266000";"94 94 78";"—";"Участвует в конкурсе";"1582016";"—"
"12";"1";"—";"265000";"94 96 75";"—";"Участвует в конкурсе";"1419384";"—"
"13";"6";"—";"265000";"88 86 81";"10000";"Участвует в конкурсе";"1655338";"—"
"14";"5";"—";"265000";"84 80 91";"10000";"Участвует в конкурсе";"1746621";"—"
"15";"2";"—";"263000";"84 83 86";"10000";"Участвует в конкурсе";"1849763";"—"
"16";"5";"—";"263000";"80 90 83";"10000";"Участвует в конкурсе";"2095228";"—"
"17";"4";"—";"261000";"82 88 91";"—";"Участвует в конкурсе";"1204659";"—"
"18";"3";"—";"261000";"88 92 78";"3000";"Участвует в конкурсе";"1365620";"—"
"19";"10";"—";"260000";"90 98 72";"—";"Участвует в конкурсе";"2191929";"—"
"21";"4";"—";"257000";"86 80 91";"—";"Участвует в конкурсе";"2269268";"—"
"22";"6";"—";"257000";"88 83 83";"3000";"Участвует в конкурсе";"1651455";"—"
"23";"6";"—";"256000";"84 83 86";"3000";"Участвует в конкурсе";"2221878";"—"
