"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"2364971";"—"
"2";"1";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"2264184";"—"
"3";"4";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1715184";"—"
"4";"4";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1701574";"—"
"5";"4";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1717096";"—"
"6";"5";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2199642";"—"
"7";"3";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1703812";"—"
"17";"1";"Электронное";"276000";"88 92 91";"5000";"Участвует в конкурсе";"1177076";"—"
"18";"4";"—";"272000";"90 92 90";"—";"Участвует в конкурсе";"1880541";"—"
"19";"6";"—";"265000";"88 88 89";"—";"Участвует в конкурсе";"1291325";"—"
"20";"6";"—";"265000";"88 86 81";"10000";"Участвует в конкурсе";"1655338";"—"
"21";"3";"—";"261000";"80 90 81";"10000";"Участвует в конкурсе";"1499557";"—"
"22";"1";"—";"250000";"86 84 70";"10000";"Участвует в конкурсе";"1341025";"—"
"23";"3";"—";"250000";"80 82 78";"10000";"Участвует в конкурсе";"1610193";"—"
"24";"1";"—";"242000";"82 75 75";"10000";"Участвует в конкурсе";"1444109";"—"
"26";"3";"—";"237000";"74 90 73";"—";"Участвует в конкурсе";"2043813";"—"
"27";"2";"—";"235000";"80 70 75";"10000";"Участвует в конкурсе";"1206747";"—"
"28";"4";"—";"228000";"74 76 75";"3000";"Участвует в конкурсе";"2210947";"—"
"29";"1";"Электронное";"228000";"74 72 72";"10000";"Участвует в конкурсе";"1341213";"—"
"30";"6";"—";"227000";"80 72 72";"3000";"Участвует в конкурсе";"1702768";"—"
"31";"4";"—";"227000";"74 76 67";"10000";"Участвует в конкурсе";"2211080";"—"
"32";"3";"—";"225000";"84 77 64";"—";"Участвует в конкурсе";"1986390";"—"
"33";"8";"—";"223000";"80 71 72";"—";"Участвует в конкурсе";"1719752";"—"
"34";"1";"—";"219000";"78 61 78";"2000";"Участвует в конкурсе";"1209349";"—"
"36";"3";"—";"217000";"74 70 63";"10000";"Участвует в конкурсе";"1886164";"—"
"37";"4";"—";"214000";"78 70 66";"—";"Участвует в конкурсе";"1068240";"—"
"39";"4";"Электронное";"213000";"76 70 64";"3000";"Участвует в конкурсе";"1581011";"—"
"40";"5";"—";"211000";"74 72 63";"2000";"Участвует в конкурсе";"1194112";"—"
"41";"2";"—";"211000";"80 65 63";"3000";"Участвует в конкурсе";"1322033";"—"
"42";"1";"—";"210000";"74 62 64";"10000";"Участвует в конкурсе";"2049280";"—"
"43";"2";"—";"208000";"74 68 66";"—";"Участвует в конкурсе";"1457111";"—"
"44";"2";"Электронное";"207000";"82 64 61";"—";"Участвует в конкурсе";"1188866";"—"
"45";"2";"—";"206000";"76 73 57";"—";"Участвует в конкурсе";"1479580";"—"
"46";"4";"Электронное";"203000";"70 64 66";"3000";"Участвует в конкурсе";"1208487";"—"
"47";"1";"—";"202000";"64 64 72";"2000";"Участвует в конкурсе";"1573953";"—"
"48";"2";"—";"201000";"76 64 61";"—";"Участвует в конкурсе";"1387078";"—"
"49";"3";"—";"197000";"52 77 66";"2000";"Участвует в конкурсе";"2251199";"—"
"50";"3";"Электронное";"197000";"46 76 72";"3000";"Участвует в конкурсе";"1202695";"—"
"51";"4";"—";"195000";"74 64 57";"—";"Участвует в конкурсе";"1837385";"—"
"52";"4";"—";"184000";"70 65 49";"—";"Участвует в конкурсе";"1416110";"—"
"53";"2";"Электронное";"184000";"64 67 51";"2000";"Участвует в конкурсе";"2051814";"—"
"55";"5";"—";"174000";"58 59 54";"3000";"Участвует в конкурсе";"1797823";"—"
"56";"1";"—";"169000";"52 54 60";"3000";"Участвует в конкурсе";"2273601";"—"
"57";"3";"—";"163000";"58 48 57";"—";"Участвует в конкурсе";"1376130";"—"
"58";"4";"—";"151000";"46 54 51";"—";"Участвует в конкурсе";"1980400";"—"
