"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"—";"295000";"100 98 97";"—";"Участвует в конкурсе";"1989161";"—"
"2";"12";"—";"293000";"94 98 91";"10000";"Участвует в конкурсе";"1194504";"—"
"3";"6";"—";"292000";"98 95 89";"10000";"Участвует в конкурсе";"1493379";"—"
"4";"4";"—";"292000";"98 84 100";"10000";"Участвует в конкурсе";"1656043";"—"
"5";"2";"—";"291000";"94 96 91";"10000";"Участвует в конкурсе";"1352336";"—"
"6";"7";"—";"290000";"98 93 91";"8000";"Участвует в конкурсе";"1853877";"—"
"7";"5";"—";"290000";"96 90 94";"10000";"Участвует в конкурсе";"1538710";"—"
"8";"5";"—";"289000";"90 98 91";"10000";"Участвует в конкурсе";"1819874";"—"
"9";"1";"—";"287000";"100 95 86";"6000";"Участвует в конкурсе";"1403727";"—"
"10";"4";"—";"287000";"90 93 94";"10000";"Участвует в конкурсе";"1682667";"—"
"11";"1";"—";"286000";"94 88 94";"10000";"Участвует в конкурсе";"1901421";"—"
"13";"7";"—";"283000";"99 90 94";"—";"Участвует в конкурсе";"1106167";"—"
"15";"8";"—";"283000";"94 90 89";"10000";"Участвует в конкурсе";"2344657";"—"
"16";"3";"—";"282000";"90 96 86";"10000";"Участвует в конкурсе";"1204107";"—"
"17";"5";"—";"282000";"88 90 94";"10000";"Участвует в конкурсе";"1288581";"—"
"18";"1";"—";"282000";"82 96 94";"10000";"Участвует в конкурсе";"1511658";"—"
"19";"2";"—";"281000";"95 90 86";"10000";"Участвует в конкурсе";"1949664";"—"
"20";"8";"—";"281000";"92 93 86";"10000";"Участвует в конкурсе";"1642357";"—"
"21";"10";"—";"281000";"90 95 86";"10000";"Участвует в конкурсе";"2222914";"—"
"22";"2";"—";"280000";"94 93 83";"10000";"Участвует в конкурсе";"1833045";"—"
"25";"4";"—";"279000";"97 96 86";"—";"Участвует в конкурсе";"1622014";"—"
"26";"8";"—";"279000";"94 84 91";"10000";"Участвует в конкурсе";"1035168";"—"
"27";"6";"—";"279000";"88 90 91";"10000";"Участвует в конкурсе";"1751610";"—"
"28";"2";"—";"278000";"94 98 86";"—";"Участвует в конкурсе";"1437697";"—"
"29";"4";"—";"278000";"96 94 86";"2000";"Участвует в конкурсе";"2143095";"—"
"30";"2";"—";"278000";"100 90 78";"10000";"Участвует в конкурсе";"1716050";"—"
"31";"3";"—";"278000";"94 88 86";"10000";"Участвует в конкурсе";"2078124";"—"
"32";"2";"—";"278000";"92 90 86";"10000";"Участвует в конкурсе";"1854678";"—"
"33";"5";"—";"278000";"84 98 86";"10000";"Участвует в конкурсе";"2363519";"—"
"34";"11";"—";"277000";"90 86 91";"10000";"Участвует в конкурсе";"2033142";"—"
"35";"6";"—";"277000";"88 96 83";"10000";"Участвует в конкурсе";"1640538";"—"
"36";"16";"—";"277000";"88 85 94";"10000";"Участвует в конкурсе";"1584455";"—"
"37";"2";"—";"276000";"86 96 91";"3000";"Участвует в конкурсе";"1514349";"—"
"38";"3";"—";"276000";"94 86 86";"10000";"Участвует в конкурсе";"1989731";"—"
"39";"7";"—";"276000";"90 90 86";"10000";"Участвует в конкурсе";"1503592";"—"
"41";"2";"—";"275000";"94 98 83";"—";"Участвует в конкурсе";"2250484";"—"
"42";"12";"—";"275000";"94 90 81";"10000";"Участвует в конкурсе";"1262198";"—"
"44";"2";"—";"275000";"86 88 91";"10000";"Участвует в конкурсе";"1339372";"—"
"45";"5";"—";"275000";"84 100 81";"10000";"Участвует в конкурсе";"1636170";"—"
"46";"4";"—";"274000";"95 94 83";"2000";"Участвует в конкурсе";"1648967";"—"
"47";"2";"—";"274000";"88 94 89";"3000";"Участвует в конкурсе";"1652840";"—"
"48";"2";"—";"273000";"86 93 94";"—";"Участвует в конкурсе";"2232631";"—"
"49";"2";"—";"273000";"84 85 94";"10000";"Участвует в конкурсе";"1484013";"—"
"50";"6";"—";"272000";"88 93 81";"10000";"Участвует в конкурсе";"1790888";"—"
"51";"18";"—";"272000";"80 85 97";"10000";"Участвует в конкурсе";"1518719";"—"
"52";"3";"—";"271000";"92 86 83";"10000";"Участвует в конкурсе";"2187369";"—"
"53";"4";"—";"271000";"90 85 86";"10000";"Участвует в конкурсе";"1445320";"—"
"54";"5";"—";"271000";"80 92 89";"10000";"Участвует в конкурсе";"1700812";"—"
"55";"3";"—";"270000";"95 93 72";"10000";"Участвует в конкурсе";"1516957";"—"
"56";"12";"—";"270000";"92 93 75";"10000";"Участвует в конкурсе";"1197134";"—"
"57";"3";"—";"270000";"84 90 86";"10000";"Участвует в конкурсе";"2312980";"—"
"59";"6";"—";"269000";"88 90 91";"—";"Участвует в конкурсе";"2001203";"—"
"60";"5";"—";"269000";"86 94 81";"8000";"Участвует в конкурсе";"1836297";"—"
"61";"1";"—";"269000";"90 86 83";"10000";"Участвует в конкурсе";"1654363";"—"
"62";"4";"—";"269000";"90 83 86";"10000";"Участвует в конкурсе";"2315090";"—"
"63";"1";"—";"269000";"84 84 91";"10000";"Участвует в конкурсе";"1979104";"—"
"64";"5";"—";"269000";"80 88 91";"10000";"Участвует в конкурсе";"2115987";"—"
"65";"4";"—";"268000";"90 92 86";"—";"Участвует в конкурсе";"1938665";"—"
"66";"4";"—";"268000";"95 84 86";"3000";"Участвует в конкурсе";"2247766";"—"
"68";"11";"—";"268000";"95 88 75";"10000";"Участвует в конкурсе";"1403507";"—"
"69";"3";"—";"268000";"84 96 78";"10000";"Участвует в конкурсе";"2080370";"—"
"71";"4";"—";"267000";"86 92 86";"3000";"Участвует в конкурсе";"1214630";"—"
"72";"4";"—";"267000";"100 85 72";"10000";"Участвует в конкурсе";"2251981";"—"
"73";"5";"—";"266000";"92 88 86";"—";"Участвует в конкурсе";"1795709";"—"
"74";"5";"—";"266000";"98 93 72";"3000";"Участвует в конкурсе";"1353978";"—"
"75";"3";"—";"266000";"90 96 70";"10000";"Участвует в конкурсе";"1105472";"—"
"76";"6";"—";"266000";"88 90 78";"10000";"Участвует в конкурсе";"1343375";"—"
"77";"3";"—";"266000";"88 82 86";"10000";"Участвует в конкурсе";"2226612";"—"
"79";"11";"—";"265000";"84 98 83";"—";"Участвует в конкурсе";"975215";"—"
"80";"10";"—";"265000";"92 88 75";"10000";"Участвует в конкурсе";"1282844";"—"
"81";"4";"—";"265000";"88 86 81";"10000";"Участвует в конкурсе";"1655338";"—"
"82";"4";"—";"265000";"88 86 81";"10000";"Участвует в конкурсе";"2281502";"—"
"83";"4";"—";"265000";"84 80 91";"10000";"Участвует в конкурсе";"1746621";"—"
"84";"3";"—";"265000";"78 88 89";"10000";"Участвует в конкурсе";"1951144";"—"
"85";"1";"—";"264000";"84 84 86";"10000";"Участвует в конкурсе";"2174688";"—"
"86";"5";"—";"263000";"88 94 81";"—";"Участвует в конкурсе";"2371556";"—"
"87";"3";"—";"263000";"88 90 75";"10000";"Участвует в конкурсе";"1793201";"—"
"88";"10";"—";"263000";"88 90 75";"10000";"Участвует в конкурсе";"2057011";"—"
"89";"5";"—";"263000";"84 83 86";"10000";"Участвует в конкурсе";"1849763";"—"
"90";"7";"—";"263000";"82 90 81";"10000";"Участвует в конкурсе";"1812308";"—"
"91";"2";"—";"263000";"82 80 91";"10000";"Участвует в конкурсе";"1791667";"—"
"92";"3";"—";"263000";"80 84 89";"10000";"Участвует в конкурсе";"1580223";"—"
"93";"5";"—";"262000";"90 94 78";"—";"Участвует в конкурсе";"1624818";"—"
"94";"5";"—";"262000";"90 88 81";"3000";"Участвует в конкурсе";"1478160";"—"
"95";"4";"—";"262000";"86 80 86";"10000";"Участвует в конкурсе";"1582962";"—"
