"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"4";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1444420";"—"
"2";"30";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1961801";"—"
"3";"4";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1580852";"—"
"4";"3";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1155549";"—"
"5";"3";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2199642";"—"
"6";"4";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1517915";"—"
"13";"5";"—";"292000";"98 84 100";"10000";"Участвует в конкурсе";"1656043";"—"
"15";"1";"—";"284000";"82 98 94";"10000";"Участвует в конкурсе";"1413135";"—"
"16";"2";"—";"282000";"94 92 86";"10000";"Участвует в конкурсе";"1233605";"—"
"18";"5";"—";"268000";"84 88 86";"10000";"Участвует в конкурсе";"1852052";"—"
"19";"7";"—";"262000";"82 84 86";"10000";"Участвует в конкурсе";"1720043";"—"
"21";"4";"—";"250000";"80 82 78";"10000";"Участвует в конкурсе";"1610193";"—"
"22";"1";"—";"249000";"78 86 75";"10000";"Участвует в конкурсе";"1286527";"—"
"23";"4";"—";"248000";"84 86 75";"3000";"Участвует в конкурсе";"1191432";"—"
"24";"7";"—";"247000";"84 67 86";"10000";"Участвует в конкурсе";"1959784";"—"
"27";"1";"—";"240000";"76 74 90";"—";"Участвует в конкурсе";"1788589";"—"
"29";"1";"—";"237000";"74 90 73";"—";"Участвует в конкурсе";"2043813";"—"
"30";"27";"—";"237000";"80 80 75";"2000";"Участвует в конкурсе";"1909043";"—"
"32";"7";"—";"236000";"80 72 81";"3000";"Участвует в конкурсе";"1626028";"—"
"33";"12";"—";"235000";"84 74 72";"5000";"Участвует в конкурсе";"1434231";"—"
"34";"4";"—";"235000";"90 65 70";"10000";"Участвует в конкурсе";"2037353";"—"
"35";"3";"—";"228000";"64 75 89";"—";"Участвует в конкурсе";"1412638";"—"
"37";"3";"—";"227000";"80 72 72";"3000";"Участвует в конкурсе";"1702768";"—"
"38";"6";"—";"226000";"82 84 57";"3000";"Участвует в конкурсе";"2136016";"—"
"39";"1";"—";"225000";"74 78 63";"10000";"Участвует в конкурсе";"1445409";"—"
"40";"2";"—";"223000";"80 71 72";"—";"Участвует в конкурсе";"1719752";"—"
"41";"2";"—";"223000";"82 64 67";"10000";"Участвует в конкурсе";"2178105";"—"
"42";"3";"—";"222000";"74 73 72";"3000";"Участвует в конкурсе";"1225852";"—"
"43";"7";"—";"220000";"78 70 72";"—";"Участвует в конкурсе";"2049876";"—"
"44";"2";"Электронное";"219000";"74 64 81";"—";"Участвует в конкурсе";"2143282";"—"
"45";"1";"—";"217000";"74 70 63";"10000";"Участвует в конкурсе";"1886164";"—"
"47";"4";"—";"213000";"70 73 70";"—";"Участвует в конкурсе";"1628375";"—"
"48";"4";"Электронное";"213000";"74 56 75";"8000";"Участвует в конкурсе";"1987404";"—"
"49";"11";"Электронное";"212000";"74 75 63";"—";"Участвует в конкурсе";"1894290";"—"
"50";"2";"—";"211000";"74 70 67";"—";"Участвует в конкурсе";"1267818";"—"
"51";"2";"Электронное";"209000";"74 65 67";"3000";"Участвует в конкурсе";"1992677";"—"
"52";"3";"—";"208000";"74 70 61";"3000";"Участвует в конкурсе";"2407039";"—"
"54";"2";"Электронное";"205000";"72 67 66";"—";"Участвует в конкурсе";"2310674";"—"
"55";"1";"—";"205000";"70 64 61";"10000";"Участвует в конкурсе";"1444445";"—"
"56";"8";"Электронное";"204000";"66 55 83";"—";"Участвует в конкурсе";"2259288";"—"
"57";"5";"Электронное";"203000";"70 64 66";"3000";"Участвует в конкурсе";"1208487";"—"
"58";"13";"—";"202000";"70 64 63";"5000";"Участвует в конкурсе";"1957035";"—"
"59";"14";"—";"201000";"64 67 67";"3000";"Участвует в конкурсе";"1625470";"—"
"60";"11";"—";"200000";"72 79 46";"3000";"Участвует в конкурсе";"1446520";"—"
"61";"7";"Электронное";"199000";"70 62 67";"—";"Участвует в конкурсе";"2321436";"—"
"63";"8";"—";"194000";"72 67 52";"3000";"Участвует в конкурсе";"1699896";"—"
"64";"3";"—";"192000";"70 58 57";"7000";"Участвует в конкурсе";"1888024";"—"
"65";"9";"—";"187000";"64 53 70";"—";"Участвует в конкурсе";"2416385";"—"
"66";"2";"Электронное";"185000";"78 56 51";"—";"Участвует в конкурсе";"2141159";"—"
"67";"1";"—";"183000";"64 67 49";"3000";"Участвует в конкурсе";"1257805";"—"
"68";"3";"—";"182000";"66 59 57";"—";"Участвует в конкурсе";"2337246";"—"
"70";"14";"Электронное";"179000";"64 64 51";"—";"Участвует в конкурсе";"1442558";"—"
"71";"11";"Электронное";"177000";"52 65 60";"—";"Участвует в конкурсе";"1639194";"—"
"72";"3";"—";"173000";"52 71 48";"2000";"Участвует в конкурсе";"1476473";"—"
"73";"14";"—";"155000";"46 51 58";"—";"Участвует в конкурсе";"978888";"—"
"74";"7";"—";"141000";"40 44 57";"—";"Участвует в конкурсе";"2343723";"—"
