"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"3";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1715184";"—"
"2";"5";"Электронное";"1000";"x x x";"2000";"Участвует в конкурсе";"1344362";"—"
"3";"3";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1717096";"—"
"4";"20";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1517915";"—"
"5";"4";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1155549";"—"
"6";"4";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2199642";"—"
"7";"5";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1789645";"—"
"15";"2";"—";"272000";"90 92 90";"—";"Участвует в конкурсе";"1880541";"—"
"18";"5";"—";"248000";"84 86 75";"3000";"Участвует в конкурсе";"1191432";"—"
"19";"13";"—";"247000";"84 67 86";"10000";"Участвует в конкурсе";"1959784";"—"
"20";"4";"—";"246000";"80 75 81";"10000";"Участвует в конкурсе";"1605316";"—"
"21";"28";"—";"237000";"80 80 75";"2000";"Участвует в конкурсе";"1909043";"—"
"22";"8";"—";"236000";"80 72 81";"3000";"Участвует в конкурсе";"1626028";"—"
"23";"6";"—";"235000";"84 74 72";"5000";"Участвует в конкурсе";"1434231";"—"
"24";"14";"—";"227000";"80 72 72";"3000";"Участвует в конкурсе";"1702768";"—"
"25";"3";"—";"223000";"80 71 72";"—";"Участвует в конкурсе";"1719752";"—"
"27";"5";"—";"217000";"74 70 63";"10000";"Участвует в конкурсе";"1886164";"—"
"29";"7";"—";"213000";"70 73 70";"—";"Участвует в конкурсе";"1628375";"—"
"30";"23";"Электронное";"212000";"74 75 63";"—";"Участвует в конкурсе";"1894290";"—"
"31";"7";"Электронное";"209000";"74 65 67";"3000";"Участвует в конкурсе";"1992677";"—"
"32";"11";"Электронное";"204000";"66 55 83";"—";"Участвует в конкурсе";"2259288";"—"
"33";"1";"Электронное";"203000";"70 64 66";"3000";"Участвует в конкурсе";"1208487";"—"
"34";"1";"—";"202000";"72 58 69";"3000";"Участвует в конкурсе";"1517275";"—"
"35";"15";"—";"202000";"70 64 63";"5000";"Участвует в конкурсе";"1957035";"—"
"36";"7";"—";"201000";"76 59 66";"—";"Участвует в конкурсе";"1768587";"—"
"37";"4";"Электронное";"199000";"70 62 67";"—";"Участвует в конкурсе";"2321436";"—"
"38";"7";"—";"194000";"72 67 52";"3000";"Участвует в конкурсе";"1699896";"—"
"39";"5";"—";"192000";"70 58 57";"7000";"Участвует в конкурсе";"1888024";"—"
"40";"3";"Электронное";"185000";"78 56 51";"—";"Участвует в конкурсе";"2141159";"—"
"41";"1";"—";"182000";"66 59 57";"—";"Участвует в конкурсе";"2337246";"—"
"42";"10";"Электронное";"177000";"52 65 60";"—";"Участвует в конкурсе";"1639194";"—"
"43";"6";"—";"141000";"40 44 57";"—";"Участвует в конкурсе";"2343723";"—"
