"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"5";"—";"292000";"98 84 100";"10000";"Участвует в конкурсе";"1656043";"—"
"2";"1";"—";"291000";"94 96 91";"10000";"Участвует в конкурсе";"1352336";"—"
"3";"9";"—";"290000";"96 90 94";"10000";"Участвует в конкурсе";"1536693";"—"
"4";"3";"—";"290000";"95 94 91";"10000";"Участвует в конкурсе";"1559828";"—"
"5";"1";"—";"290000";"90 96 94";"10000";"Участвует в конкурсе";"1266483";"—"
"6";"1";"—";"290000";"90 93 97";"10000";"Участвует в конкурсе";"1983588";"—"
"7";"1";"—";"288000";"88 90 100";"10000";"Участвует в конкурсе";"1909202";"—"
"8";"23";"—";"287000";"98 98 86";"5000";"Участвует в конкурсе";"1204240";"—"
"10";"18";"—";"284000";"88 100 86";"10000";"Участвует в конкурсе";"1174226";"—"
"11";"5";"—";"283000";"94 90 89";"10000";"Участвует в конкурсе";"2344657";"—"
"12";"2";"—";"283000";"92 100 81";"10000";"Участвует в конкурсе";"2133857";"—"
"13";"1";"—";"283000";"82 94 97";"10000";"Участвует в конкурсе";"1751984";"—"
"15";"9";"—";"281000";"90 95 86";"10000";"Участвует в конкурсе";"2222914";"—"
"16";"1";"—";"281000";"90 92 89";"10000";"Участвует в конкурсе";"1789641";"—"
"17";"1";"—";"281000";"86 96 89";"10000";"Участвует в конкурсе";"1262491";"—"
"18";"1";"—";"281000";"86 96 89";"10000";"Участвует в конкурсе";"1470362";"—"
"19";"6";"—";"279000";"88 90 91";"10000";"Участвует в конкурсе";"1502595";"—"
"20";"1";"—";"279000";"86 86 97";"10000";"Участвует в конкурсе";"1613993";"—"
"21";"1";"—";"279000";"76 96 97";"10000";"Участвует в конкурсе";"1554391";"—"
"22";"1";"—";"278000";"84 98 86";"10000";"Участвует в конкурсе";"2363519";"—"
"23";"1";"—";"277000";"88 90 89";"10000";"Участвует в конкурсе";"1211050";"—"
"24";"14";"—";"277000";"88 85 94";"10000";"Участвует в конкурсе";"1584455";"—"
"25";"8";"—";"276000";"96 97 83";"—";"Участвует в конкурсе";"2082865";"—"
"26";"1";"—";"276000";"86 96 91";"3000";"Участвует в конкурсе";"1514349";"—"
"27";"2";"—";"276000";"94 86 86";"10000";"Участвует в конкурсе";"1989731";"—"
"28";"8";"—";"276000";"94 83 89";"10000";"Участвует в конкурсе";"1797231";"—"
"29";"24";"—";"276000";"92 83 91";"10000";"Участвует в конкурсе";"2174175";"—"
"30";"3";"—";"275000";"94 96 75";"10000";"Участвует в конкурсе";"1852725";"—"
"31";"1";"—";"275000";"86 90 89";"10000";"Участвует в конкурсе";"1255904";"—"
"32";"2";"—";"275000";"86 90 89";"10000";"Участвует в конкурсе";"1814974";"—"
"33";"1";"—";"275000";"78 93 94";"10000";"Участвует в конкурсе";"1284782";"—"
"34";"1";"—";"274000";"88 94 89";"3000";"Участвует в конкурсе";"1652840";"—"
"35";"2";"—";"274000";"90 85 89";"10000";"Участвует в конкурсе";"1985738";"—"
"36";"24";"—";"274000";"88 85 91";"10000";"Участвует в конкурсе";"1620198";"—"
"37";"6";"—";"273000";"92 88 91";"2000";"Участвует в конкурсе";"1786326";"—"
"38";"1";"—";"273000";"100 90 73";"10000";"Участвует в конкурсе";"1651810";"—"
"39";"3";"—";"272000";"84 94 86";"8000";"Участвует в конкурсе";"1164203";"—"
"40";"19";"—";"272000";"88 88 86";"10000";"Участвует в конкурсе";"1915560";"—"
"41";"4";"—";"272000";"86 90 86";"10000";"Участвует в конкурсе";"1725161";"—"
"42";"6";"—";"272000";"86 90 86";"10000";"Участвует в конкурсе";"1725705";"—"
"43";"1";"—";"271000";"84 80 97";"10000";"Участвует в конкурсе";"2003193";"—"
"44";"4";"—";"271000";"82 85 94";"10000";"Участвует в конкурсе";"1174784";"—"
"45";"2";"—";"271000";"80 92 89";"10000";"Участвует в конкурсе";"1700812";"—"
"46";"6";"—";"269000";"100 95 64";"10000";"Участвует в конкурсе";"1895742";"—"
"47";"1";"—";"269000";"88 85 86";"10000";"Участвует в конкурсе";"2177984";"—"
"48";"29";"—";"269000";"86 90 83";"10000";"Участвует в конкурсе";"1616900";"—"
"49";"4";"—";"269000";"84 84 91";"10000";"Участвует в конкурсе";"1979104";"—"
"50";"1";"—";"268000";"90 92 86";"—";"Участвует в конкурсе";"1938665";"—"
"51";"5";"—";"268000";"86 90 89";"3000";"Участвует в конкурсе";"1981438";"—"
"52";"9";"—";"268000";"86 85 89";"8000";"Участвует в конкурсе";"1610460";"—"
"53";"4";"—";"267000";"90 86 81";"10000";"Участвует в конкурсе";"1751485";"—"
"54";"2";"—";"267000";"86 85 86";"10000";"Участвует в конкурсе";"1699812";"—"
"55";"1";"—";"266000";"94 94 78";"—";"Участвует в конкурсе";"1582016";"—"
"56";"3";"—";"266000";"92 95 69";"10000";"Участвует в конкурсе";"2343231";"—"
"57";"7";"—";"266000";"92 75 89";"10000";"Участвует в конкурсе";"1169180";"—"
"58";"5";"—";"266000";"90 83 83";"10000";"Участвует в конкурсе";"2211744";"—"
"59";"4";"—";"266000";"84 83 89";"10000";"Участвует в конкурсе";"1483944";"—"
"60";"7";"—";"266000";"82 83 91";"10000";"Участвует в конкурсе";"1546481";"—"
"61";"8";"—";"266000";"80 90 86";"10000";"Участвует в конкурсе";"2176499";"—"
"62";"2";"—";"265000";"90 86 89";"—";"Участвует в конкурсе";"1650279";"—"
