"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"9";"Электронное";"50000";"-";"50000";"Ожидание результатов ВИ";"1901368";"—"
"2";"10";"Электронное";"47000";"-";"47000";"Ожидание результатов ВИ";"1414977";"—"
"3";"2";"—";"45000";"-";"45000";"Ожидание результатов ВИ";"1520459";"—"
"4";"4";"Электронное";"45000";"-";"45000";"Ожидание результатов ВИ";"2175161";"—"
"5";"21";"—";"43000";"-";"43000";"Ожидание результатов ВИ";"2142548";"—"
"6";"13";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2099837";"—"
"7";"1";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2242189";"—"
"8";"17";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2236528";"—"
"9";"1";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2311893";"—"
"10";"2";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"1831187";"—"
"11";"4";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1186363";"—"
"12";"1";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2443709";"—"
"13";"2";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1949488";"—"
"14";"21";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1972138";"—"
"15";"2";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2100097";"—"
"16";"2";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2013514";"—"
"17";"5";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2089348";"—"
"18";"7";"Электронное";"40000";"x";"40000";"На рассмотрении";"1885582";"—"
"19";"14";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2176738";"—"
"20";"1";"—";"33000";"-";"33000";"Ожидание результатов ВИ";"2237811";"—"
"21";"10";"Электронное";"30000";"-";"30000";"Ожидание результатов ВИ";"1479813";"—"
"22";"14";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1844346";"—"
"24";"12";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1955658";"—"
"25";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2053261";"—"
"26";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1638535";"—"
"27";"22";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1901414";"—"
"28";"4";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"1105566";"—"
"29";"11";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2044638";"—"
"30";"7";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2236086";"—"
"31";"32";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2363771";"—"
"32";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1417452";"—"
"33";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1423699";"—"
"34";"14";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1900817";"—"
"35";"15";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2000173";"—"
"36";"8";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1985268";"—"
"37";"22";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2056013";"—"
"38";"20";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2024261";"—"
"39";"1";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2242211";"—"
"40";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2443694";"—"
"41";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2390468";"—"
"42";"4";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"1960125";"—"
"43";"15";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2095188";"—"
"44";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2134898";"—"
"45";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2143113";"—"
"46";"32";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2128867";"—"
"47";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2155584";"—"
"48";"7";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2176140";"—"
"49";"21";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2181011";"—"
"50";"7";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2118677";"—"
"51";"13";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2269151";"—"
"52";"17";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2268607";"—"
"53";"9";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2266824";"—"
"54";"22";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2249701";"—"
"55";"8";"—";"20000";"-";"20000";"Ожидание результатов ВИ";"1959653";"—"
"56";"5";"—";"20000";"-";"20000";"Ожидание результатов ВИ";"1170959";"—"
"58";"4";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1042249";"—"
"60";"20";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2273751";"—"
"61";"10";"Электронное";"15000";"-";"15000";"Ожидание результатов ВИ";"2130412";"—"
"62";"2";"Электронное";"15000";"-";"15000";"Ожидание результатов ВИ";"2293474";"—"
"63";"4";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1720597";"—"
"64";"9";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2077176";"—"
"65";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2132402";"—"
"66";"4";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2150908";"—"
"67";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2178161";"—"
"68";"3";"Электронное";"15000";"-";"15000";"Ожидание результатов ВИ";"2170852";"—"
