"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"3";"—";"290000";"96 98 86";"10000";"Участвует в конкурсе";"1480407";"—"
"2";"4";"—";"286000";"98 96 89";"3000";"Участвует в конкурсе";"1425217";"—"
"3";"2";"—";"284000";"96 95 83";"10000";"Участвует в конкурсе";"1290290";"—"
"4";"4";"—";"283000";"84 98 91";"10000";"Участвует в конкурсе";"1564434";"—"
"5";"5";"—";"282000";"95 98 89";"—";"Участвует в конкурсе";"1910325";"—"
"6";"1";"—";"282000";"88 100 91";"3000";"Участвует в конкурсе";"1987038";"—"
"7";"3";"—";"282000";"94 92 86";"10000";"Участвует в конкурсе";"2039543";"—"
"8";"5";"—";"279000";"86 92 91";"10000";"Участвует в конкурсе";"1357618";"—"
"9";"3";"—";"278000";"98 94 86";"—";"Участвует в конкурсе";"1213937";"—"
"10";"4";"—";"278000";"94 88 86";"10000";"Участвует в конкурсе";"2078124";"—"
"11";"8";"—";"277000";"90 86 91";"10000";"Участвует в конкурсе";"2069703";"—"
"12";"2";"—";"275000";"92 90 83";"10000";"Участвует в конкурсе";"2242927";"—"
"13";"2";"—";"275000";"88 88 89";"10000";"Участвует в конкурсе";"1852463";"—"
"14";"5";"—";"274000";"88 94 89";"3000";"Участвует в конкурсе";"1652840";"—"
"15";"2";"—";"274000";"92 86 86";"10000";"Участвует в конкурсе";"1341669";"—"
"16";"8";"—";"274000";"88 95 81";"10000";"Участвует в конкурсе";"1198288";"—"
"17";"3";"—";"272000";"88 90 91";"3000";"Участвует в конкурсе";"1532553";"—"
"18";"4";"—";"272000";"88 92 86";"6000";"Участвует в конкурсе";"1359627";"—"
"20";"14";"—";"272000";"86 90 86";"10000";"Участвует в конкурсе";"1460249";"—"
"21";"5";"—";"272000";"86 90 86";"10000";"Участвует в конкурсе";"1725161";"—"
"22";"2";"—";"271000";"97 88 78";"8000";"Участвует в конкурсе";"1123295";"—"
"23";"4";"—";"271000";"92 86 83";"10000";"Участвует в конкурсе";"1797045";"—"
"24";"6";"—";"271000";"88 92 81";"10000";"Участвует в конкурсе";"1441444";"—"
"25";"5";"—";"271000";"82 90 89";"10000";"Участвует в конкурсе";"1442951";"—"
"26";"5";"—";"270000";"94 88 78";"10000";"Участвует в конкурсе";"1348278";"—"
"27";"1";"—";"270000";"94 83 83";"10000";"Участвует в конкурсе";"2342505";"—"
"28";"4";"—";"270000";"90 84 86";"10000";"Участвует в конкурсе";"1042671";"—"
"29";"5";"—";"270000";"86 96 78";"10000";"Участвует в конкурсе";"1198822";"—"
"30";"4";"—";"269000";"88 95 86";"—";"Участвует в конкурсе";"1518851";"—"
"31";"5";"—";"269000";"92 84 83";"10000";"Участвует в конкурсе";"1633009";"—"
"32";"5";"—";"269000";"90 86 83";"10000";"Участвует в конкурсе";"1654363";"—"
"33";"2";"—";"269000";"88 77 94";"10000";"Участвует в конкурсе";"1299365";"—"
"34";"2";"—";"268000";"90 92 86";"—";"Участвует в конкурсе";"1901995";"—"
"35";"1";"—";"268000";"90 92 86";"—";"Участвует в конкурсе";"1584077";"—"
