"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"29";"—";"43000";"-";"43000";"Ожидание результатов ВИ";"2142548";"—"
"2";"3";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2186111";"—"
"3";"6";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"1875142";"—"
"4";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2247007";"—"
"5";"26";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2236528";"—"
"6";"32";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2311893";"—"
"7";"29";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1972138";"—"
"8";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1901414";"—"
"9";"31";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2044638";"—"
"10";"3";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2098742";"—"
"11";"35";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2363771";"—"
"12";"2";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2176146";"—"
"13";"4";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2215209";"—"
"14";"8";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"1936299";"—"
"15";"6";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2056013";"—"
"16";"2";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2099854";"—"
"17";"29";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2128867";"—"
"18";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2209513";"—"
"19";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2211145";"—"
"20";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2168505";"—"
