"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"—";"35000";"- -";"35000";"Ожидание результатов ВИ";"2008126";"—"
"2";"1";"—";"25000";"- -";"25000";"Ожидание результатов ВИ";"2051664";"—"
"3";"2";"—";"25000";"- -";"25000";"Ожидание результатов ВИ";"1987699";"—"
"4";"24";"—";"25000";"- -";"25000";"Ожидание результатов ВИ";"2249701";"—"
"5";"12";"—";"20000";"- -";"20000";"Ожидание результатов ВИ";"2266857";"—"
"6";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2376313";"—"
"7";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"1897749";"—"
"8";"3";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2289524";"—"
"9";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1173260";"—"
"10";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1164068";"—"
"11";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1849574";"—"
"12";"10";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2018293";"—"
"13";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2033882";"—"
"14";"3";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2048085";"—"
"15";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2095967";"—"
"16";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2098800";"—"
"17";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2098210";"—"
"18";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2095965";"—"
"19";"1";"Электронное";"—";"- -";"—";"Ожидание результатов ВИ";"2121365";"—"
"20";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2142834";"—"
"21";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2222920";"—"
"22";"42";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2296188";"—"
"23";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2337517";"—"
"24";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2362592";"—"
"25";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2376196";"—"
"26";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2378896";"—"
"27";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2404082";"—"
"28";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2410076";"—"
"29";"9";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2426834";"—"
"30";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2303619";"—"
"31";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2468690";"—"
