"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"3";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"2138236";"—"
"2";"1";"Электронное";"50000";"-";"50000";"Ожидание результатов ВИ";"2259644";"—"
"3";"3";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"1206558";"—"
"4";"3";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"1896923";"—"
"5";"1";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"1992208";"—"
"6";"3";"Электронное";"45000";"-";"45000";"Ожидание результатов ВИ";"995781";"—"
"7";"3";"—";"45000";"-";"45000";"Ожидание результатов ВИ";"2004464";"—"
"8";"1";"Электронное";"45000";"-";"45000";"Ожидание результатов ВИ";"1988353";"—"
"9";"1";"—";"45000";"-";"45000";"Ожидание результатов ВИ";"2203846";"—"
"10";"1";"Электронное";"45000";"-";"45000";"Ожидание результатов ВИ";"2261964";"—"
"11";"2";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1621190";"—"
"12";"1";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"1455364";"—"
"13";"5";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1953650";"—"
"14";"4";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1885227";"—"
"15";"5";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2050098";"—"
"16";"3";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2035657";"—"
"17";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2096312";"—"
"18";"3";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1276188";"—"
"19";"5";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2136115";"—"
"20";"1";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2116162";"—"
"21";"2";"Электронное";"35000";"-";"35000";"Ожидание результатов ВИ";"2073832";"—"
"22";"4";"—";"33000";"-";"33000";"Ожидание результатов ВИ";"2056621";"—"
"23";"3";"—";"30000";"-";"30000";"Ожидание результатов ВИ";"1002891";"—"
"24";"4";"Электронное";"28000";"-";"28000";"Ожидание результатов ВИ";"2088441";"—"
"25";"2";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2137647";"—"
"26";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"986770";"—"
"27";"5";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2170509";"—"
"28";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2101214";"—"
"29";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1548991";"—"
"30";"12";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"1994178";"—"
"31";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1987274";"—"
"32";"4";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2052844";"—"
"33";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2027673";"—"
"34";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2033494";"—"
"35";"3";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2093962";"—"
"36";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2141232";"—"
"37";"1";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2182439";"—"
"38";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2134301";"—"
"39";"2";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"1989055";"—"
