"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"—";"294000";"96 94 94";"10000";"Участвует в конкурсе";"1366188";"—"
"2";"2";"—";"289000";"88 94 97";"10000";"Участвует в конкурсе";"1789411";"—"
"3";"1";"—";"287000";"86 94 97";"10000";"Участвует в конкурсе";"2269778";"—"
"5";"4";"—";"283000";"90 92 91";"10000";"Участвует в конкурсе";"1418357";"—"
"6";"3";"—";"282000";"90 85 97";"10000";"Участвует в конкурсе";"1383206";"—"
"7";"3";"—";"282000";"80 92 100";"10000";"Участвует в конкурсе";"1201714";"—"
"8";"4";"—";"280000";"84 86 100";"10000";"Участвует в конкурсе";"2224741";"—"
"9";"2";"—";"280000";"82 94 94";"10000";"Участвует в конкурсе";"1776551";"—"
"11";"2";"—";"277000";"98 88 81";"10000";"Участвует в конкурсе";"1735806";"—"
"12";"2";"—";"277000";"88 88 91";"10000";"Участвует в конкурсе";"1984207";"—"
"13";"4";"—";"276000";"90 94 92";"—";"Участвует в конкурсе";"1281003";"—"
"14";"4";"—";"276000";"82 90 94";"10000";"Участвует в конкурсе";"1407309";"—"
"15";"2";"—";"275000";"84 100 91";"—";"Участвует в конкурсе";"1256604";"—"
"16";"1";"—";"275000";"92 84 89";"10000";"Участвует в конкурсе";"1605881";"—"
"17";"5";"—";"273000";"94 88 81";"10000";"Участвует в конкурсе";"1895911";"—"
"18";"1";"—";"273000";"80 100 83";"10000";"Участвует в конкурсе";"1921901";"—"
"19";"3";"—";"272000";"90 86 86";"10000";"Участвует в конкурсе";"987472";"—"
"20";"1";"—";"272000";"88 85 89";"10000";"Участвует в конкурсе";"1272191";"—"
"21";"3";"—";"272000";"88 77 97";"10000";"Участвует в конкурсе";"1515015";"—"
"22";"2";"—";"272000";"80 85 97";"10000";"Участвует в конкурсе";"1616109";"—"
"23";"1";"—";"271000";"92 90 89";"—";"Участвует в конкурсе";"1499975";"—"
"24";"1";"—";"271000";"94 85 89";"3000";"Участвует в конкурсе";"1464641";"—"
"25";"6";"—";"271000";"90 85 86";"10000";"Участвует в конкурсе";"1282950";"—"
"27";"1";"—";"271000";"80 90 91";"10000";"Участвует в конкурсе";"2004055";"—"
"28";"1";"Электронное";"270000";"90 92 86";"2000";"Участвует в конкурсе";"1853726";"—"
"29";"2";"—";"269000";"88 88 83";"10000";"Участвует в конкурсе";"1519139";"—"
"32";"1";"—";"269000";"70 100 89";"10000";"Участвует в конкурсе";"1359274";"—"
