"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1210931";"—"
"2";"2";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1401487";"—"
"3";"1";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1715184";"—"
"4";"1";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1717096";"—"
"5";"2";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1835464";"—"
"6";"1";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2185518";"—"
"7";"22";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1151776";"—"
"8";"5";"—";"1000";"x x x";"—";"Участвует в конкурсе";"963911";"—"
"9";"1";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2099037";"—"
"10";"6";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2064623";"—"
"11";"1";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1155549";"—"
"12";"1";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1927948";"—"
"13";"7";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2199642";"—"
"14";"3";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1638048";"—"
"15";"1";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1703812";"—"
"17";"1";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1403431";"—"
"18";"1";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2088848";"—"
"19";"1";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1493768";"—"
"20";"2";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1189915";"—"
"21";"1";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1246714";"—"
"22";"1";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1107114";"—"
"45";"2";"Электронное";"276000";"90 94 92";"—";"Участвует в конкурсе";"1281003";"—"
"46";"2";"—";"271000";"80 100 81";"10000";"Участвует в конкурсе";"1605316";"—"
"47";"1";"—";"265000";"88 88 89";"—";"Участвует в конкурсе";"1291325";"—"
"48";"1";"—";"264000";"82 86 86";"10000";"Участвует в конкурсе";"1226909";"—"
"49";"2";"—";"263000";"92 75 86";"10000";"Участвует в конкурсе";"1278890";"—"
"50";"1";"—";"261000";"80 88 83";"10000";"Участвует в конкурсе";"1383029";"—"
"51";"1";"—";"258000";"76 81 91";"10000";"Участвует в конкурсе";"981573";"—"
"52";"1";"—";"256000";"92 76 78";"10000";"Участвует в конкурсе";"1763035";"—"
"53";"1";"—";"248000";"86 79 73";"10000";"Участвует в конкурсе";"1727452";"—"
"54";"1";"—";"246000";"82 70 91";"3000";"Участвует в конкурсе";"1513237";"—"
"55";"3";"—";"241000";"88 71 72";"10000";"Участвует в конкурсе";"1726947";"—"
"56";"2";"—";"238000";"80 73 75";"10000";"Участвует в конкурсе";"1197449";"—"
"57";"1";"—";"238000";"74 73 81";"10000";"Участвует в конкурсе";"2200428";"—"
"59";"1";"—";"235000";"80 70 75";"10000";"Участвует в конкурсе";"1206747";"—"
"60";"1";"Электронное";"232000";"82 64 86";"—";"Участвует в конкурсе";"1443097";"—"
"61";"4";"Электронное";"228000";"74 72 72";"10000";"Участвует в конкурсе";"1341213";"—"
"63";"1";"—";"220000";"74 75 69";"2000";"Участвует в конкурсе";"1100128";"—"
"64";"3";"—";"217000";"74 70 73";"—";"Участвует в конкурсе";"2051887";"—"
"65";"1";"—";"215000";"78 67 70";"—";"Участвует в конкурсе";"1906219";"—"
"66";"1";"Электронное";"213000";"80 64 66";"3000";"Участвует в конкурсе";"2177859";"—"
"67";"1";"—";"212000";"76 70 66";"—";"Участвует в конкурсе";"1398983";"—"
"68";"1";"—";"212000";"76 70 66";"—";"Участвует в конкурсе";"2261624";"—"
"69";"2";"—";"211000";"72 64 75";"—";"Участвует в конкурсе";"1477501";"—"
"71";"4";"—";"209000";"70 62 67";"10000";"Участвует в конкурсе";"2220651";"—"
"72";"1";"—";"207000";"74 57 66";"10000";"Участвует в конкурсе";"1892469";"—"
"73";"1";"—";"205000";"52 86 64";"3000";"Участвует в конкурсе";"1598446";"—"
"74";"1";"—";"204000";"70 74 60";"—";"Участвует в конкурсе";"1648175";"—"
"75";"3";"—";"203000";"80 45 78";"—";"Участвует в конкурсе";"1171262";"—"
"76";"2";"Электронное";"203000";"70 64 66";"3000";"Участвует в конкурсе";"1208487";"—"
"77";"1";"—";"202000";"64 63 75";"—";"Участвует в конкурсе";"2048758";"—"
"78";"1";"Электронное";"201000";"78 66 55";"2000";"Участвует в конкурсе";"1247067";"—"
"79";"1";"—";"201000";"72 66 61";"2000";"Участвует в конкурсе";"1212733";"—"
"80";"1";"—";"201000";"70 59 69";"3000";"Участвует в конкурсе";"1983119";"—"
"81";"1";"Электронное";"198000";"70 67 61";"—";"Участвует в конкурсе";"1198671";"—"
"82";"1";"—";"197000";"72 61 64";"—";"Участвует в конкурсе";"2255105";"—"
"83";"1";"—";"197000";"64 75 58";"—";"Участвует в конкурсе";"1205408";"—"
"84";"4";"—";"194000";"72 67 52";"3000";"Участвует в конкурсе";"1699896";"—"
"85";"1";"—";"193000";"58 69 66";"—";"Участвует в конкурсе";"1043366";"—"
"86";"2";"Электронное";"193000";"72 60 58";"3000";"Участвует в конкурсе";"1431510";"—"
"87";"1";"—";"192000";"58 62 72";"—";"Участвует в конкурсе";"2302189";"—"
"88";"1";"—";"192000";"74 66 49";"3000";"Участвует в конкурсе";"1796173";"—"
"89";"1";"Электронное";"189000";"70 55 64";"—";"Участвует в конкурсе";"2167093";"—"
"90";"1";"—";"189000";"58 63 66";"2000";"Участвует в конкурсе";"2257906";"—"
"92";"2";"—";"188000";"72 53 60";"3000";"Участвует в конкурсе";"2045349";"—"
"93";"4";"Электронное";"186000";"58 59 69";"—";"Участвует в конкурсе";"1255783";"—"
"94";"2";"—";"184000";"58 62 64";"—";"Участвует в конкурсе";"1402601";"—"
"95";"2";"—";"183000";"72 57 54";"—";"Участвует в конкурсе";"1916505";"—"
"96";"1";"Электронное";"183000";"46 77 57";"3000";"Участвует в конкурсе";"1248237";"—"
"97";"1";"Электронное";"181000";"64 63 54";"—";"Участвует в конкурсе";"1637876";"—"
"98";"2";"Электронное";"177000";"52 56 69";"—";"Участвует в конкурсе";"1652927";"—"
"99";"1";"—";"177000";"58 68 48";"3000";"Участвует в конкурсе";"1907913";"—"
"100";"1";"—";"176000";"70 55 48";"3000";"Участвует в конкурсе";"1338993";"—"
"101";"1";"Электронное";"175000";"64 53 58";"—";"Участвует в конкурсе";"1263727";"—"
"102";"1";"—";"174000";"72 53 49";"—";"Участвует в конкурсе";"1514757";"—"
"103";"1";"—";"174000";"52 62 60";"—";"Участвует в конкурсе";"1524414";"—"
"104";"1";"Электронное";"174000";"52 49 73";"—";"Участвует в конкурсе";"1816283";"—"
"106";"1";"—";"167000";"40 57 70";"—";"Участвует в конкурсе";"1807215";"—"
"107";"1";"Электронное";"165000";"58 60 45";"2000";"Участвует в конкурсе";"1348548";"—"
"108";"2";"—";"157000";"64 48 45";"—";"Участвует в конкурсе";"1034194";"—"
"109";"1";"—";"156000";"40 52 64";"—";"Участвует в конкурсе";"2118115";"—"
"110";"4";"—";"152000";"40 51 61";"—";"Участвует в конкурсе";"1254781";"—"
"112";"3";"—";"150000";"40 49 61";"—";"Участвует в конкурсе";"2136106";"—"
"113";"1";"Электронное";"147000";"46 49 49";"3000";"Участвует в конкурсе";"1090568";"—"
"114";"1";"Электронное";"141000";"46 49 46";"—";"Участвует в конкурсе";"1202464";"—"
