"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"3";"—";"289000";"88 94 97";"10000";"Участвует в конкурсе";"1789411";"—"
"2";"2";"—";"282000";"92 80 100";"10000";"Участвует в конкурсе";"1544178";"—"
"3";"7";"—";"280000";"100 81 89";"10000";"Участвует в конкурсе";"1359274";"—"
"4";"4";"—";"271000";"85 94 89";"3000";"Участвует в конкурсе";"1464641";"—"
"5";"5";"—";"271000";"85 90 86";"10000";"Участвует в конкурсе";"1282950";"—"
"6";"3";"—";"270000";"92 90 86";"2000";"Участвует в конкурсе";"1853726";"—"
"7";"6";"—";"269000";"86 92 81";"10000";"Участвует в конкурсе";"1446675";"—"
"8";"2";"—";"269000";"83 90 86";"10000";"Участвует в конкурсе";"987472";"—"
"9";"2";"—";"266000";"85 92 89";"—";"Участвует в конкурсе";"2049584";"—"
"10";"6";"—";"265000";"90 82 83";"10000";"Участвует в конкурсе";"1649041";"—"
"11";"5";"—";"264000";"86 82 86";"10000";"Участвует в конкурсе";"1226909";"—"
"12";"4";"—";"264000";"83 90 81";"10000";"Участвует в конкурсе";"1365674";"—"
"13";"1";"—";"261000";"94 88 69";"10000";"Участвует в конкурсе";"1245509";"—"
"14";"7";"—";"261000";"88 80 83";"10000";"Участвует в конкурсе";"1608969";"—"
"15";"3";"—";"260000";"83 78 89";"10000";"Участвует в конкурсе";"1869191";"—"
"16";"6";"—";"259000";"83 90 83";"3000";"Участвует в конкурсе";"973247";"—"
"17";"4";"—";"258000";"77 90 91";"—";"Участвует в конкурсе";"1581405";"—"
"18";"4";"—";"256000";"75 88 83";"10000";"Участвует в конкурсе";"1383029";"—"
"19";"2";"—";"256000";"75 74 97";"10000";"Участвует в конкурсе";"1996142";"—"
"21";"1";"—";"255000";"83 80 89";"3000";"Участвует в конкурсе";"1284597";"—"
"22";"2";"—";"255000";"81 86 78";"10000";"Участвует в конкурсе";"2137987";"—"
"23";"2";"—";"255000";"72 82 91";"10000";"Участвует в конкурсе";"1576337";"—"
"24";"2";"—";"254000";"66 91 87";"10000";"Участвует в конкурсе";"1851431";"—"
"25";"5";"—";"253000";"83 84 86";"—";"Участвует в конкурсе";"2052502";"—"
"26";"2";"—";"253000";"70 82 91";"10000";"Участвует в конкурсе";"1192078";"—"
"27";"7";"—";"252000";"85 90 75";"2000";"Участвует в конкурсе";"1390652";"—"
"28";"5";"—";"252000";"88 76 78";"10000";"Участвует в конкурсе";"1333087";"—"
"29";"2";"—";"252000";"81 78 83";"10000";"Участвует в конкурсе";"1860007";"—"
"30";"6";"—";"252000";"73 72 97";"10000";"Участвует в конкурсе";"1091174";"—"
"31";"5";"—";"252000";"72 92 78";"10000";"Участвует в конкурсе";"1763035";"—"
"32";"2";"—";"251000";"72 88 81";"10000";"Участвует в конкурсе";"1514717";"—"
"33";"5";"—";"251000";"72 86 83";"10000";"Участвует в конкурсе";"1611717";"—"
"34";"4";"—";"251000";"68 90 83";"10000";"Участвует в конкурсе";"1281997";"—"
"35";"3";"—";"250000";"81 86 83";"—";"Участвует в конкурсе";"1425454";"—"
"36";"6";"—";"250000";"79 80 81";"10000";"Участвует в конкурсе";"1167318";"—"
"37";"6";"—";"250000";"77 80 83";"10000";"Участвует в конкурсе";"1981975";"—"
"38";"6";"—";"250000";"72 77 91";"10000";"Участвует в конкурсе";"2055529";"—"
"39";"2";"—";"249000";"71 80 91";"7000";"Участвует в конкурсе";"1636317";"—"
"41";"2";"—";"248000";"81 86 81";"—";"Участвует в конкурсе";"1258284";"—"
"42";"1";"—";"248000";"68 100 75";"5000";"Участвует в конкурсе";"1420959";"—"
"43";"5";"—";"248000";"83 74 81";"10000";"Участвует в конкурсе";"2313421";"—"
"44";"7";"—";"248000";"71 86 81";"10000";"Участвует в конкурсе";"1361012";"—"
