"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1455364";"—"
"2";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1626377";"—"
"3";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2013514";"—"
"4";"2";"—";"35000";"-";"35000";"Ожидание результатов ВИ";"1683228";"—"
"5";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2414899";"—"
"6";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2314832";"—"
"7";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2046241";"—"
"8";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2166148";"—"
"9";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"989714";"—"
"10";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1888541";"—"
"11";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1042249";"—"
"12";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1854802";"—"
"13";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1063897";"—"
"14";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2084421";"—"
"15";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2065536";"—"
"16";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2141283";"—"
"17";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2294261";"—"
"18";"3";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2284805";"—"
"19";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2276966";"—"
"20";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2053068";"—"
"21";"18";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2077176";"—"
"22";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1168848";"—"
"23";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2424752";"—"
"24";"6";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1024214";"—"
"25";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2048967";"—"
"26";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2377279";"—"
"27";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1986956";"—"
"28";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2266377";"—"
"29";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2272964";"—"
"30";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1774971";"—"
"31";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1780287";"—"
"32";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2454464";"—"
"33";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2072003";"—"
"34";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"1980995";"—"
"35";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"973953";"—"
"36";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"1168005";"—"
"37";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2439986";"—"
"38";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"980775";"—"
"39";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2074068";"—"
"40";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2136342";"—"
"42";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2397615";"—"
"43";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"907982";"—"
"44";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"993208";"—"
"45";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"1002569";"—"
"46";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"978306";"—"
"47";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1037430";"—"
"48";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"977770";"—"
"49";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"1116011";"—"
"50";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1122007";"—"
"52";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"1260704";"—"
"54";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"1640778";"—"
"55";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1774984";"—"
"56";"1";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"1863696";"—"
"57";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1702395";"—"
"58";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"1961616";"—"
"59";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"1942064";"—"
"62";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"1998528";"—"
"63";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2005617";"—"
"65";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1515054";"—"
"66";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2047056";"—"
"67";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1986743";"—"
"68";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2071065";"—"
"69";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1522723";"—"
"70";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"1979264";"—"
"71";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2095128";"—"
"72";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2093640";"—"
"73";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2171041";"—"
"74";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2140675";"—"
"75";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2170172";"—"
"76";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2226365";"—"
"77";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2248281";"—"
"78";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2002624";"—"
"79";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"1984219";"—"
"81";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2303346";"—"
"82";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2173590";"—"
"83";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2173914";"—"
"84";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2304302";"—"
"85";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2309686";"—"
"86";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2306246";"—"
"87";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"1611282";"—"
"88";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"1487688";"—"
"89";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2329193";"—"
"90";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2327170";"—"
"91";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2342903";"—"
"92";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2338489";"—"
"93";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2341701";"—"
"94";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2338620";"—"
"95";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2383075";"—"
"96";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2392808";"—"
"97";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2358093";"—"
"98";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2394210";"—"
"99";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2394391";"—"
"100";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2398989";"—"
"101";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"2401935";"—"
"102";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2403025";"—"
"103";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2407957";"—"
"104";"35";"—";"—";"-";"—";"Ожидание результатов ВИ";"2416912";"—"
"105";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2416608";"—"
"106";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"2426586";"—"
"107";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2426451";"—"
"108";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"2426458";"—"
"109";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2424009";"—"
"110";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2432443";"—"
"111";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2261485";"—"
"112";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"2432599";"—"
"113";"6";"—";"—";"-";"—";"Ожидание результатов ВИ";"2432202";"—"
"114";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2005166";"—"
"115";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2441991";"—"
"116";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2447023";"—"
"117";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2449455";"—"
"118";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2431228";"—"
"119";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2459536";"—"
"120";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"2460613";"—"
"121";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2460234";"—"
"122";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2458463";"—"
"124";"6";"—";"—";"-";"—";"Ожидание результатов ВИ";"2445507";"—"
"125";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2454895";"—"
