"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1585699";"—"
"2";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1455364";"—"
"3";"2";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1626377";"—"
"4";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2005633";"—"
"5";"2";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2013514";"—"
"6";"1";"—";"35000";"-";"35000";"Ожидание результатов ВИ";"1683228";"—"
"7";"3";"—";"35000";"-";"35000";"Ожидание результатов ВИ";"2073832";"—"
"8";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1980302";"—"
"9";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2180244";"—"
"10";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1105566";"—"
"11";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2314832";"—"
"12";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1559773";"—"
"13";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2046241";"—"
"14";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2166148";"—"
"15";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"989714";"—"
"16";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1615625";"—"
"17";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1042249";"—"
"18";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1854802";"—"
"19";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1063897";"—"
"20";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2065536";"—"
"21";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2141283";"—"
"22";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2125530";"—"
"23";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2284805";"—"
"24";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2053068";"—"
"25";"16";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2077176";"—"
"26";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2424752";"—"
"27";"9";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2429649";"—"
"28";"5";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1024214";"—"
"29";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2377279";"—"
"30";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2272964";"—"
"31";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1780287";"—"
"32";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2454464";"—"
"33";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2072003";"—"
"34";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2236281";"—"
"35";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"1980995";"—"
"36";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"938483";"—"
"37";"1";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"973953";"—"
"38";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1168005";"—"
"39";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1013162";"—"
"40";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2326710";"—"
"41";"1";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"1017904";"—"
"42";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2241403";"—"
"43";"1";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2122350";"—"
"44";"1";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2124453";"—"
"45";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2047195";"—"
"47";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2397615";"—"
"48";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"831490";"—"
"49";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"907982";"—"
"50";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"964107";"—"
"51";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"967452";"—"
"52";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1002569";"—"
"53";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"978306";"—"
"54";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1097499";"—"
"55";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1116011";"—"
"56";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1126335";"—"
"57";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"1260704";"—"
"58";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1440082";"—"
"59";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1595132";"—"
"61";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1621347";"—"
"62";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1298450";"—"
"63";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1886723";"—"
"64";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1890938";"—"
"65";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1923611";"—"
"66";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1942064";"—"
"67";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1961616";"—"
"69";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1989380";"—"
"70";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1716884";"—"
"71";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1996341";"—"
"72";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1998528";"—"
"73";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2005617";"—"
"74";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2017198";"—"
"75";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2019149";"—"
"77";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"1515054";"—"
"78";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2047056";"—"
"79";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2048085";"—"
"80";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"1986743";"—"
"81";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2071065";"—"
"82";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"1979264";"—"
"83";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2095128";"—"
"84";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2093640";"—"
"85";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1713448";"—"
"86";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2054525";"—"
"87";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2127580";"—"
"88";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"1500710";"—"
"89";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2131091";"—"
"90";"1";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2171580";"—"
"91";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2171041";"—"
"92";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1024207";"—"
"93";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2055450";"—"
"94";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2170172";"—"
"95";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2248281";"—"
"96";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2271134";"—"
"97";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2280457";"—"
"98";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2293232";"—"
"100";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2173590";"—"
"101";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2173914";"—"
"102";"1";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2303346";"—"
"103";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"2304302";"—"
"104";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2309686";"—"
"105";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2312386";"—"
"106";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1611282";"—"
"107";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1487688";"—"
"108";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2329193";"—"
"109";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2327170";"—"
"110";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2342903";"—"
"111";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2338489";"—"
"112";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2337873";"—"
"113";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2364046";"—"
"114";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2365682";"—"
"115";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2383075";"—"
"116";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2392808";"—"
"117";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2388433";"—"
"118";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2393033";"—"
"119";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2358093";"—"
"120";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2394210";"—"
"121";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2401935";"—"
"122";"25";"—";"—";"-";"—";"Ожидание результатов ВИ";"1794758";"—"
"123";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2416608";"—"
"124";"10";"—";"—";"-";"—";"Ожидание результатов ВИ";"2416912";"—"
"125";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2420569";"—"
"126";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2426458";"—"
"127";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2424009";"—"
"128";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2261485";"—"
"129";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"2430499";"—"
"130";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"2432202";"—"
"131";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2005166";"—"
"132";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2441991";"—"
"133";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2456048";"—"
"134";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2456021";"—"
"135";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2459240";"—"
"136";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2460234";"—"
"138";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"2460613";"—"
"139";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2459536";"—"
"140";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2458463";"—"
"141";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2462032";"—"
"142";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"2445507";"—"
"143";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2447023";"—"
"144";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2474545";"—"
"145";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2425530";"—"
"146";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2482379";"—"
"147";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2485188";"—"
"148";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2485173";"—"
