"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"1103332";"—"
"2";"2";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"1882961";"—"
"3";"4";"—";"43000";"-";"43000";"Ожидание результатов ВИ";"2000555";"—"
"4";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"967724";"—"
"5";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2038389";"—"
"7";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1031498";"—"
"8";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2119826";"—"
"9";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1995467";"—"
"10";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2451320";"—"
"11";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1519864";"—"
"12";"8";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2162819";"—"
"13";"9";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1792692";"—"
"14";"9";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1169362";"—"
"15";"8";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1417452";"—"
"16";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1940753";"—"
"17";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"986205";"—"
"18";"4";"—";"25000";"x";"25000";"На рассмотрении";"2218501";"—"
"19";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2467014";"—"
"21";"1";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2122057";"—"
"22";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2142750";"—"
"23";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2188376";"—"
"24";"3";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2082772";"—"
"25";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2229784";"—"
"26";"3";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2244988";"—"
"27";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"995301";"—"
"28";"5";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2331678";"—"
"29";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2077176";"—"
"30";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2424447";"—"
"31";"3";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2426576";"—"
"32";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1241787";"—"
"33";"3";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2431017";"—"
"34";"10";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2429649";"—"
"35";"9";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1909445";"—"
"36";"6";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1913147";"—"
"37";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2408313";"—"
"38";"15";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2427632";"—"
"39";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2456280";"—"
"40";"5";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2454464";"—"
"41";"4";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2456201";"—"
"42";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2044851";"—"
"43";"4";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"983354";"—"
"44";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2404454";"—"
"45";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2424247";"—"
"46";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2362258";"—"
"47";"10";"—";"—";"-";"—";"Ожидание результатов ВИ";"1795557";"—"
"48";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2265997";"—"
"49";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1980995";"—"
"50";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"1979168";"—"
"51";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1292429";"—"
"52";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2273103";"—"
"53";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2137535";"—"
"54";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2419767";"—"
"55";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2111575";"—"
"56";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"1949071";"—"
"57";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2409840";"—"
"58";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2420055";"—"
"59";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2116905";"—"
"60";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2236292";"—"
"61";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2162926";"—"
"62";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"831490";"—"
"63";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"958017";"—"
"64";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"972115";"—"
"65";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"995891";"—"
"66";"1";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"1021862";"—"
"67";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1033448";"—"
"68";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"1033724";"—"
"69";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"962563";"—"
"70";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1094528";"—"
"71";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1260704";"—"
"72";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1252886";"—"
"73";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"1508280";"—"
"74";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1550510";"—"
"75";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"1633125";"—"
"76";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1643356";"—"
"77";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1640778";"—"
"78";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1651195";"—"
"79";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"1419953";"—"
"80";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1393435";"—"
"81";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"1744655";"—"
"82";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1922350";"—"
"83";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1953787";"—"
"84";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"1994639";"—"
