"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"—";"297000";"92 98 97";"10000";"Участвует в конкурсе";"2425587";"—"
"2";"2";"—";"287000";"88 95 94";"10000";"Участвует в конкурсе";"2160490";"—"
"3";"1";"—";"280000";"82 94 94";"10000";"Участвует в конкурсе";"1776551";"—"
"4";"1";"—";"277000";"96 93 78";"10000";"Участвует в конкурсе";"1178497";"—"
"5";"1";"Электронное";"276000";"90 94 92";"—";"Участвует в конкурсе";"1281003";"—"
"6";"1";"—";"276000";"82 90 94";"10000";"Участвует в конкурсе";"1407309";"—"
"7";"3";"Электронное";"271000";"84 83 94";"10000";"Участвует в конкурсе";"1203562";"—"
"8";"1";"—";"270000";"96 75 89";"10000";"Участвует в конкурсе";"1754536";"—"
"11";"2";"—";"268000";"82 93 83";"10000";"Участвует в конкурсе";"1354535";"—"
"12";"2";"—";"266000";"90 83 83";"10000";"Участвует в конкурсе";"2211744";"—"
"13";"1";"—";"265000";"82 90 83";"10000";"Участвует в конкурсе";"1649041";"—"
"14";"1";"—";"265000";"78 94 83";"10000";"Участвует в конкурсе";"1702221";"—"
"15";"2";"—";"264000";"90 75 89";"10000";"Участвует в конкурсе";"1403988";"—"
"16";"2";"—";"264000";"86 85 83";"10000";"Участвует в конкурсе";"1796614";"—"
"17";"1";"—";"264000";"84 79 91";"10000";"Участвует в конкурсе";"1826415";"—"
"18";"2";"—";"264000";"80 88 86";"10000";"Участвует в конкурсе";"1561529";"—"
"20";"1";"—";"262000";"72 94 86";"10000";"Участвует в конкурсе";"1507984";"—"
"21";"5";"—";"261000";"74 80 97";"10000";"Участвует в конкурсе";"2053619";"—"
"22";"1";"Электронное";"260000";"94 80 86";"—";"Участвует в конкурсе";"1421460";"—"
"23";"5";"—";"260000";"86 80 94";"—";"Участвует в конкурсе";"1721791";"—"
"25";"1";"—";"260000";"86 81 91";"2000";"Участвует в конкурсе";"1978257";"—"
"26";"3";"—";"259000";"86 66 97";"10000";"Участвует в конкурсе";"1613993";"—"
"27";"1";"—";"258000";"80 85 83";"10000";"Участвует в конкурсе";"1713669";"—"
"28";"2";"—";"257000";"78 83 86";"10000";"Участвует в конкурсе";"1645901";"—"
"29";"2";"—";"256000";"80 87 89";"—";"Участвует в конкурсе";"1425651";"—"
"30";"1";"—";"256000";"82 75 89";"10000";"Участвует в конкурсе";"1831894";"—"
"31";"1";"—";"256000";"80 75 91";"10000";"Участвует в конкурсе";"1554907";"—"
"32";"3";"—";"255000";"76 93 86";"—";"Участвует в конкурсе";"2213436";"—"
"33";"2";"—";"255000";"76 83 86";"10000";"Участвует в конкурсе";"1521448";"—"
"34";"1";"—";"254000";"86 90 78";"—";"Участвует в конкурсе";"1128950";"—"
"35";"1";"—";"254000";"78 75 91";"10000";"Участвует в конкурсе";"1761022";"—"
"36";"3";"—";"253000";"84 78 91";"—";"Участвует в конкурсе";"1256604";"—"
"37";"2";"—";"253000";"84 77 89";"3000";"Участвует в конкурсе";"1127077";"—"
"38";"1";"—";"253000";"74 98 78";"3000";"Участвует в конкурсе";"1280931";"—"
"39";"2";"—";"253000";"82 75 86";"10000";"Участвует в конкурсе";"1644342";"—"
"40";"2";"—";"253000";"82 70 91";"10000";"Участвует в конкурсе";"1413029";"—"
"41";"2";"Электронное";"253000";"80 85 78";"10000";"Участвует в конкурсе";"1429705";"—"
"42";"1";"—";"253000";"80 77 86";"10000";"Участвует в конкурсе";"1192814";"—"
"43";"1";"—";"252000";"90 85 75";"2000";"Участвует в конкурсе";"1390652";"—"
"45";"2";"—";"252000";"78 73 91";"10000";"Участвует в конкурсе";"1988318";"—"
"46";"6";"—";"251000";"90 80 81";"—";"Участвует в конкурсе";"1513575";"—"
"47";"1";"—";"251000";"82 86 81";"2000";"Участвует в конкурсе";"2288809";"—"
"48";"1";"—";"251000";"80 83 78";"10000";"Участвует в конкурсе";"1305488";"—"
"49";"1";"—";"250000";"80 79 81";"10000";"Участвует в конкурсе";"1167318";"—"
"50";"2";"—";"250000";"76 86 78";"10000";"Участвует в конкурсе";"1688673";"—"
"51";"2";"—";"249000";"80 83 86";"—";"Участвует в конкурсе";"2292840";"—"
"52";"6";"—";"249000";"84 72 89";"4000";"Участвует в конкурсе";"1618511";"—"
"53";"1";"Электронное";"249000";"76 66 97";"10000";"Участвует в конкурсе";"1517176";"—"
"54";"2";"—";"248000";"92 78 78";"—";"Участвует в конкурсе";"2222959";"—"
"55";"2";"—";"247000";"84 88 75";"—";"Участвует в конкурсе";"2336809";"—"
"56";"1";"—";"247000";"84 72 91";"—";"Участвует в конкурсе";"1518483";"—"
"57";"1";"—";"247000";"82 72 83";"10000";"Участвует в конкурсе";"1212963";"—"
"58";"1";"—";"247000";"82 66 89";"10000";"Участвует в конкурсе";"1553778";"—"
"60";"2";"—";"246000";"82 70 91";"3000";"Участвует в конкурсе";"1513237";"—"
"61";"1";"—";"246000";"90 73 78";"5000";"Участвует в конкурсе";"1361811";"—"
"62";"2";"—";"246000";"80 75 81";"10000";"Участвует в конкурсе";"2241218";"—"
"63";"1";"Электронное";"246000";"78 77 81";"10000";"Участвует в конкурсе";"1731346";"—"
"64";"1";"—";"246000";"70 83 83";"10000";"Участвует в конкурсе";"1289753";"—"
"65";"1";"—";"245000";"84 70 91";"—";"Участвует в конкурсе";"2222986";"—"
"66";"3";"—";"245000";"84 81 70";"10000";"Участвует в конкурсе";"1781211";"—"
"67";"2";"Электронное";"244000";"80 86 73";"5000";"Участвует в конкурсе";"1975174";"—"
"68";"3";"Электронное";"244000";"86 62 86";"10000";"Участвует в конкурсе";"2253150";"—"
"69";"2";"—";"243000";"92 62 89";"—";"Участвует в конкурсе";"1499975";"—"
"70";"2";"—";"243000";"80 88 75";"—";"Участвует в конкурсе";"1650347";"—"
"72";"1";"Электронное";"243000";"84 71 78";"10000";"Участвует в конкурсе";"1520767";"—"
"73";"2";"Электронное";"242000";"82 71 89";"—";"Участвует в конкурсе";"1257344";"—"
"74";"1";"—";"242000";"84 72 83";"3000";"Участвует в конкурсе";"1169996";"—"
"75";"2";"—";"242000";"78 88 73";"3000";"Участвует в конкурсе";"1405794";"—"
"76";"1";"—";"242000";"88 72 72";"10000";"Участвует в конкурсе";"1794255";"—"
