"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"1623602";"—"
"2";"1";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"1839491";"—"
"3";"1";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2414899";"—"
"4";"1";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2119826";"—"
"6";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2218501";"—"
"7";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2141900";"—"
"8";"11";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2273751";"—"
"9";"1";"Электронное";"15000";"-";"15000";"Ожидание результатов ВИ";"959233";"—"
"10";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2066487";"—"
"11";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"965560";"—"
"12";"1";"Электронное";"15000";"-";"15000";"Ожидание результатов ВИ";"2329795";"—"
"13";"53";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2298220";"—"
"14";"1";"Электронное";"15000";"-";"15000";"Ожидание результатов ВИ";"2340221";"—"
"15";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1102250";"—"
"16";"5";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2044851";"—"
"17";"27";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1002753";"—"
"19";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2219333";"—"
"20";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2284084";"—"
"21";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2030813";"—"
"22";"2";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2439986";"—"
"23";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2328549";"—"
"24";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2136926";"—"
"25";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2248018";"—"
"26";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"955224";"—"
"27";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1585364";"—"
"28";"10";"—";"—";"-";"—";"Ожидание результатов ВИ";"1641803";"—"
"29";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1717773";"—"
"30";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1944746";"—"
"32";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2089584";"—"
"33";"2";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"1728547";"—"
"34";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2141680";"—"
"35";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2146553";"—"
"37";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2169437";"—"
"38";"2";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2221271";"—"
"39";"2";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"1721184";"—"
"40";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2252242";"—"
"41";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2241107";"—"
"42";"15";"—";"—";"-";"—";"Ожидание результатов ВИ";"2255746";"—"
"43";"27";"—";"—";"-";"—";"Ожидание результатов ВИ";"2090082";"—"
"44";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2280457";"—"
"45";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1019295";"—"
"46";"37";"—";"—";"-";"—";"Ожидание результатов ВИ";"2038186";"—"
"47";"44";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2296188";"—"
"48";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2056419";"—"
"49";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2314340";"—"
"50";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2323965";"—"
"51";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1795467";"—"
"52";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2305172";"—"
"53";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2341701";"—"
"55";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2357187";"—"
"56";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2248163";"—"
"57";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"2365141";"—"
"58";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2322218";"—"
"59";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2393888";"—"
"60";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2394004";"—"
"61";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2394210";"—"
"62";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2213048";"—"
"63";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2052387";"—"
"64";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"2421136";"—"
"65";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2424805";"—"
"66";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2425548";"—"
"67";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2426477";"—"
"68";"6";"—";"—";"-";"—";"Ожидание результатов ВИ";"2427177";"—"
