"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"4";"—";"282000";"92 80 100";"10000";"Участвует в конкурсе";"1544178";"—"
"2";"6";"—";"271000";"85 90 86";"10000";"Участвует в конкурсе";"2312773";"—"
"3";"1";"—";"267000";"81 92 94";"—";"Участвует в конкурсе";"1276847";"—"
"4";"3";"—";"261000";"94 88 69";"10000";"Участвует в конкурсе";"1245509";"—"
"5";"4";"—";"254000";"66 91 87";"10000";"Участвует в конкурсе";"1851431";"—"
"6";"1";"—";"252000";"72 89 89";"2000";"Участвует в конкурсе";"2230366";"—"
"7";"2";"—";"251000";"68 90 83";"10000";"Участвует в конкурсе";"1281997";"—"
"8";"3";"—";"249000";"73 80 86";"10000";"Участвует в конкурсе";"1283964";"—"
"10";"3";"—";"248000";"68 100 75";"5000";"Участвует в конкурсе";"1420959";"—"
"11";"1";"—";"246000";"81 87 78";"—";"Участвует в конкурсе";"1580198";"—"
"12";"2";"—";"245000";"75 78 89";"3000";"Участвует в конкурсе";"1595799";"—"
"13";"4";"—";"244000";"75 91 78";"—";"Участвует в конкурсе";"1622728";"—"
"14";"1";"—";"243000";"88 71 81";"3000";"Участвует в конкурсе";"1191179";"—"
"15";"4";"—";"242000";"70 91 75";"6000";"Участвует в конкурсе";"2229370";"—"
"16";"2";"—";"242000";"73 84 75";"10000";"Участвует в конкурсе";"1196197";"—"
"17";"4";"—";"241000";"71 89 81";"—";"Участвует в конкурсе";"1067737";"—"
"18";"5";"—";"238000";"79 89 70";"—";"Участвует в конкурсе";"1267438";"—"
"19";"4";"—";"237000";"83 74 70";"10000";"Участвует в конкурсе";"2390295";"—"
"20";"9";"—";"236000";"79 74 73";"10000";"Участвует в конкурсе";"1436352";"—"
"21";"6";"—";"236000";"72 76 78";"10000";"Участвует в конкурсе";"1763035";"—"
"22";"3";"—";"235000";"85 66 81";"3000";"Участвует в конкурсе";"1832566";"—"
"23";"1";"—";"234000";"81 64 89";"—";"Участвует в конкурсе";"2113240";"—"
"25";"1";"—";"231000";"71 80 70";"10000";"Участвует в конкурсе";"1934902";"—"
"26";"2";"—";"229000";"68 75 86";"—";"Участвует в конкурсе";"1292390";"—"
"27";"2";"—";"229000";"71 75 73";"10000";"Участвует в конкурсе";"1568420";"—"
"28";"1";"—";"229000";"71 70 78";"10000";"Участвует в конкурсе";"1269115";"—"
"29";"1";"—";"229000";"60 84 75";"10000";"Участвует в конкурсе";"1899805";"—"
"30";"2";"—";"228000";"72 82 64";"10000";"Участвует в конкурсе";"1941287";"—"
"31";"2";"—";"227000";"79 81 67";"—";"Участвует в конкурсе";"1213957";"—"
"32";"7";"—";"227000";"60 84 83";"—";"Участвует в конкурсе";"1615485";"—"
"33";"2";"—";"227000";"81 68 75";"3000";"Участвует в конкурсе";"1214377";"—"
"34";"3";"—";"226000";"73 78 75";"—";"Участвует в конкурсе";"1896673";"—"
"35";"2";"—";"225000";"83 72 70";"—";"Участвует в конкурсе";"1321492";"—"
"37";"8";"—";"224000";"70 84 70";"—";"Участвует в конкурсе";"1201635";"—"
"38";"2";"—";"224000";"68 73 83";"—";"Участвует в конкурсе";"1498295";"—"
"39";"7";"—";"223000";"71 63 89";"—";"Участвует в конкурсе";"1257344";"—"
"40";"3";"—";"223000";"75 65 73";"10000";"Участвует в конкурсе";"2100573";"—"
"41";"3";"—";"222000";"77 57 86";"2000";"Участвует в конкурсе";"1615525";"—"
"42";"7";"—";"222000";"64 82 73";"3000";"Участвует в конкурсе";"1789694";"—"
"43";"2";"Электронное";"222000";"75 69 72";"6000";"Участвует в конкурсе";"1600126";"—"
"44";"3";"—";"221000";"71 78 72";"—";"Участвует в конкурсе";"1611637";"—"
"45";"1";"—";"221000";"68 76 67";"10000";"Участвует в конкурсе";"1725289";"—"
"46";"2";"—";"221000";"64 74 73";"10000";"Участвует в конкурсе";"1358647";"—"
"47";"2";"—";"220000";"75 64 81";"—";"Участвует в конкурсе";"1915701";"—"
"48";"2";"—";"220000";"67 80 73";"—";"Участвует в конкурсе";"1835127";"—"
"49";"2";"—";"218000";"75 74 69";"—";"Участвует в конкурсе";"2054549";"—"
"50";"2";"—";"218000";"64 81 73";"—";"Участвует в конкурсе";"2053763";"—"
"51";"3";"—";"217000";"66 78 73";"—";"Участвует в конкурсе";"1563644";"—"
"52";"2";"—";"217000";"63 82 72";"—";"Участвует в конкурсе";"1654025";"—"
"53";"2";"—";"217000";"64 80 63";"10000";"Участвует в конкурсе";"1106431";"—"
"54";"2";"—";"216000";"71 73 72";"—";"Участвует в конкурсе";"1275749";"—"
"55";"3";"—";"216000";"67 80 66";"3000";"Участвует в конкурсе";"912762";"—"
"56";"2";"—";"216000";"72 51 89";"4000";"Участвует в конкурсе";"1618511";"—"
"57";"3";"—";"216000";"67 58 81";"10000";"Участвует в конкурсе";"1640072";"—"
"58";"2";"—";"216000";"57 68 81";"10000";"Участвует в конкурсе";"2056335";"—"
"59";"1";"—";"215000";"72 89 54";"—";"Участвует в конкурсе";"1125188";"—"
"60";"2";"—";"215000";"56 84 72";"3000";"Участвует в конкурсе";"1207801";"—"
"61";"3";"—";"214000";"67 87 60";"—";"Участвует в конкурсе";"1910378";"—"
"62";"4";"—";"213000";"63 84 66";"—";"Участвует в конкурсе";"1549365";"—"
"63";"3";"—";"212000";"75 71 66";"—";"Участвует в конкурсе";"1365612";"—"
"64";"4";"—";"212000";"67 78 67";"—";"Участвует в конкурсе";"1261922";"—"
"65";"3";"—";"212000";"67 70 75";"—";"Участвует в конкурсе";"2238453";"—"
"66";"3";"—";"212000";"70 68 64";"10000";"Участвует в конкурсе";"2195144";"—"
"68";"1";"—";"211000";"57 87 67";"—";"Участвует в конкурсе";"1212367";"—"
"69";"1";"Электронное";"211000";"62 68 78";"3000";"Участвует в конкурсе";"1167346";"—"
"70";"3";"—";"210000";"68 79 63";"—";"Участвует в конкурсе";"1439514";"—"
"72";"3";"—";"210000";"71 80 57";"2000";"Участвует в конкурсе";"1513559";"—"
"73";"8";"—";"210000";"62 78 67";"3000";"Участвует в конкурсе";"1331165";"—"
"74";"3";"—";"210000";"60 69 78";"3000";"Участвует в конкурсе";"2044284";"—"
"75";"2";"—";"209000";"73 73 63";"—";"Участвует в конкурсе";"1181709";"—"
"76";"2";"—";"209000";"68 68 73";"—";"Участвует в конкурсе";"1510696";"—"
"77";"2";"—";"209000";"67 84 58";"—";"Участвует в конкурсе";"1198110";"—"
