"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"299000";"89 100 100";"10000";"Участвует в конкурсе";"1174505";"—"
"2";"1";"—";"291000";"96 94 91";"10000";"Участвует в конкурсе";"1487598";"—"
"3";"1";"—";"279000";"94 84 91";"10000";"Участвует в конкурсе";"1343687";"—"
"4";"1";"Электронное";"267000";"100 63 94";"10000";"Участвует в конкурсе";"1358221";"—"
"5";"1";"—";"258000";"60 94 94";"10000";"Участвует в конкурсе";"1506538";"—"
"6";"1";"—";"255000";"88 84 73";"10000";"Участвует в конкурсе";"1127812";"—"
"7";"2";"—";"248000";"98 71 69";"10000";"Участвует в конкурсе";"1402720";"—"
"8";"1";"—";"247000";"92 73 72";"10000";"Участвует в конкурсе";"1474928";"—"
"9";"1";"—";"247000";"89 73 75";"10000";"Участвует в конкурсе";"1442952";"—"
"10";"1";"Электронное";"242000";"92 40 100";"10000";"Участвует в конкурсе";"1544178";"—"
"11";"1";"—";"232000";"65 84 73";"10000";"Участвует в конкурсе";"1285975";"—"
"12";"1";"Электронное";"226000";"76 84 66";"—";"Участвует в конкурсе";"1201857";"—"
"13";"1";"Электронное";"224000";"84 73 67";"—";"Участвует в конкурсе";"1213840";"—"
"14";"1";"—";"222000";"100 59 63";"—";"Участвует в конкурсе";"1512292";"—"
"15";"1";"Электронное";"216000";"98 51 67";"—";"Участвует в конкурсе";"1649243";"—"
"16";"1";"—";"199000";"83 49 67";"—";"Участвует в конкурсе";"2006676";"—"
"17";"1";"—";"199000";"76 63 60";"—";"Участвует в конкурсе";"1208429";"—"
"18";"1";"Электронное";"197000";"82 55 60";"—";"Участвует в конкурсе";"1576621";"—"
"19";"2";"—";"196000";"81 54 61";"—";"Участвует в конкурсе";"1853098";"—"
"20";"1";"Электронное";"196000";"58 61 67";"10000";"Участвует в конкурсе";"1208591";"—"
"21";"1";"—";"193000";"70 60 63";"—";"Участвует в конкурсе";"1185927";"—"
"22";"1";"—";"193000";"60 58 75";"—";"Участвует в конкурсе";"1615365";"—"
"23";"2";"—";"185000";"85 46 54";"—";"Участвует в конкурсе";"1291709";"—"
"24";"2";"—";"180000";"60 58 57";"5000";"Участвует в конкурсе";"1513101";"—"
"25";"1";"Электронное";"170000";"59 60 51";"—";"Участвует в конкурсе";"1362261";"—"
"26";"1";"—";"160000";"62 43 55";"—";"Участвует в конкурсе";"1467679";"—"
"27";"1";"—";"158000";"53 47 58";"—";"Участвует в конкурсе";"1430696";"—"
"28";"1";"—";"181000";"- 84 94";"3000";"Ожидание результатов ВИ";"1600615";"—"
"29";"1";"—";"175000";"- 84 91";"—";"Ожидание результатов ВИ";"1062230";"—"
"30";"1";"—";"173000";"- 84 89";"—";"Ожидание результатов ВИ";"984579";"—"
"31";"5";"—";"169000";"- 94 73";"2000";"Ожидание результатов ВИ";"998551";"—"
"32";"1";"—";"169000";"- 78 81";"10000";"Ожидание результатов ВИ";"1442310";"—"
"34";"1";"—";"162000";"- 89 67";"6000";"Ожидание результатов ВИ";"1059250";"—"
"35";"3";"—";"157000";"82 - 75";"—";"Ожидание результатов ВИ";"1019798";"—"
"36";"4";"—";"146000";"97 - 49";"—";"Ожидание результатов ВИ";"1702531";"—"
"37";"1";"—";"139000";"- 73 66";"—";"Ожидание результатов ВИ";"1913218";"—"
"38";"1";"—";"138000";"- 60 78";"—";"Ожидание результатов ВИ";"960342";"—"
"39";"1";"—";"130000";"- 58 72";"—";"Ожидание результатов ВИ";"1035249";"—"
"40";"1";"—";"130000";"60 - 67";"3000";"Ожидание результатов ВИ";"1364072";"—"
"41";"1";"—";"129000";"- 62 57";"10000";"Ожидание результатов ВИ";"1519138";"—"
"42";"2";"—";"127000";"67 - 60";"—";"Ожидание результатов ВИ";"1604200";"—"
"43";"1";"—";"125000";"- 58 67";"—";"Ожидание результатов ВИ";"2045976";"—"
"44";"1";"—";"123000";"62 - 61";"—";"Ожидание результатов ВИ";"1914092";"—"
"45";"1";"—";"123000";"- 57 66";"—";"Ожидание результатов ВИ";"1587005";"—"
"46";"1";"—";"121000";"- 63 58";"—";"Ожидание результатов ВИ";"2308303";"—"
"47";"1";"Электронное";"121000";"- 59 57";"5000";"Ожидание результатов ВИ";"1245581";"—"
"50";"1";"—";"117000";"- 45 72";"—";"Ожидание результатов ВИ";"1170304";"—"
"51";"2";"—";"115000";"51 - 64";"—";"Ожидание результатов ВИ";"1358931";"—"
"52";"3";"—";"112000";"52 - 60";"—";"Ожидание результатов ВИ";"2048034";"—"
"53";"1";"—";"111000";"- 42 69";"—";"Ожидание результатов ВИ";"1214437";"—"
"54";"1";"—";"110000";"- 44 66";"—";"Ожидание результатов ВИ";"1211915";"—"
"55";"2";"—";"109000";"51 - 55";"3000";"Ожидание результатов ВИ";"1251224";"—"
"56";"1";"—";"108000";"45 - 63";"—";"Ожидание результатов ВИ";"1366350";"—"
"58";"12";"—";"99000";"- - 89";"10000";"Ожидание результатов ВИ";"1365907";"—"
"59";"1";"—";"97000";"- 46 51";"—";"Ожидание результатов ВИ";"2205654";"—"
"60";"1";"—";"97000";"- - 87";"10000";"Ожидание результатов ВИ";"1851431";"—"
"61";"1";"—";"96000";"- 51 45";"—";"Ожидание результатов ВИ";"1086256";"—"
"62";"4";"—";"96000";"- - 86";"10000";"Ожидание результатов ВИ";"1178719";"—"
"64";"4";"—";"96000";"- - 86";"10000";"Ожидание результатов ВИ";"2353739";"—"
"65";"4";"—";"95000";"- 41 54";"—";"Ожидание результатов ВИ";"997464";"—"
"66";"11";"—";"94000";"- - 91";"3000";"Ожидание результатов ВИ";"1398719";"—"
"67";"5";"—";"91000";"- - 81";"10000";"Ожидание результатов ВИ";"1640072";"—"
"70";"6";"—";"89000";"- - 89";"—";"Ожидание результатов ВИ";"2335382";"—"
"71";"1";"—";"88000";"- 46 42";"—";"Ожидание результатов ВИ";"2361688";"—"
"72";"7";"—";"85000";"- - 75";"10000";"Ожидание результатов ВИ";"1032290";"—"
"74";"5";"—";"83000";"- - 83";"—";"Ожидание результатов ВИ";"1194045";"—"
"75";"3";"—";"83000";"- - 83";"—";"Ожидание результатов ВИ";"1261798";"—"
"76";"1";"—";"83000";"- - 83";"—";"Ожидание результатов ВИ";"1207629";"—"
"77";"4";"—";"83000";"- - 73";"10000";"Ожидание результатов ВИ";"1177591";"—"
"78";"5";"—";"83000";"- - 73";"10000";"Ожидание результатов ВИ";"1495287";"—"
"79";"5";"—";"83000";"- - 73";"10000";"Ожидание результатов ВИ";"2408751";"—"
"80";"6";"—";"81000";"- - 81";"—";"Ожидание результатов ВИ";"2219071";"—"
"81";"1";"—";"81000";"- - 78";"3000";"Ожидание результатов ВИ";"1708830";"—"
"82";"7";"—";"81000";"- - 78";"3000";"Ожидание результатов ВИ";"1077572";"—"
"83";"4";"—";"80000";"- - 75";"5000";"Ожидание результатов ВИ";"1984657";"—"
"85";"7";"—";"78000";"- - 78";"—";"Ожидание результатов ВИ";"1410765";"—"
"86";"5";"—";"78000";"- - 78";"—";"Ожидание результатов ВИ";"1844725";"—"
"87";"5";"—";"78000";"- - 75";"3000";"Ожидание результатов ВИ";"2226697";"—"
"88";"8";"—";"77000";"- - 67";"10000";"Ожидание результатов ВИ";"2177680";"—"
"89";"3";"—";"75000";"- - 75";"—";"Ожидание результатов ВИ";"2353464";"—"
"90";"7";"—";"75000";"- - 72";"3000";"Ожидание результатов ВИ";"1288990";"—"
"91";"2";"—";"75000";"- - 72";"3000";"Ожидание результатов ВИ";"1620029";"—"
"92";"5";"—";"73000";"- - 73";"—";"Ожидание результатов ВИ";"1908235";"—"
"93";"3";"—";"73000";"- - 73";"—";"Ожидание результатов ВИ";"1835127";"—"
"95";"3";"—";"73000";"- - 73";"—";"Ожидание результатов ВИ";"1521047";"—"
"96";"1";"—";"73000";"- - 70";"3000";"Ожидание результатов ВИ";"2394320";"—"
"97";"2";"—";"72000";"- - 72";"—";"Ожидание результатов ВИ";"1213301";"—"
"98";"1";"—";"72000";"- - 72";"—";"Ожидание результатов ВИ";"1568437";"—"
"100";"2";"—";"72000";"- - 69";"3000";"Ожидание результатов ВИ";"1689441";"—"
"101";"4";"—";"72000";"- - 69";"3000";"Ожидание результатов ВИ";"1793321";"—"
"102";"2";"—";"71000";"- - 69";"2000";"Ожидание результатов ВИ";"956015";"—"
"103";"6";"—";"71000";"- - 69";"2000";"Ожидание результатов ВИ";"1340229";"—"
"104";"3";"—";"71000";"- - 61";"10000";"Ожидание результатов ВИ";"1988344";"—"
"105";"12";"—";"70000";"- - 70";"—";"Ожидание результатов ВИ";"2170120";"—"
"106";"5";"—";"70000";"- - 70";"—";"Ожидание результатов ВИ";"2260867";"—"
"107";"4";"—";"70000";"- - 60";"10000";"Ожидание результатов ВИ";"2366368";"—"
"108";"7";"—";"69000";"- - 69";"—";"Ожидание результатов ВИ";"1580304";"—"
"109";"13";"—";"69000";"- - 69";"—";"Ожидание результатов ВИ";"1754976";"—"
"111";"2";"—";"69000";"- - 69";"—";"Ожидание результатов ВИ";"2389653";"—"
"113";"14";"—";"68000";"- - 63";"5000";"Ожидание результатов ВИ";"1386021";"—"
"114";"2";"—";"68000";"- - 60";"8000";"Ожидание результатов ВИ";"1836161";"—"
"115";"3";"—";"67000";"- - 67";"—";"Ожидание результатов ВИ";"1877233";"—"
"116";"4";"—";"67000";"- - 64";"3000";"Ожидание результатов ВИ";"2006471";"—"
"117";"4";"—";"66000";"- - 66";"—";"Ожидание результатов ВИ";"1852462";"—"
"118";"4";"—";"66000";"- - 66";"—";"Ожидание результатов ВИ";"2090260";"—"
"119";"3";"—";"66000";"- - 66";"—";"Ожидание результатов ВИ";"979838";"—"
"121";"7";"—";"66000";"- - 63";"3000";"Ожидание результатов ВИ";"1254548";"—"
"122";"4";"—";"65000";"- - 63";"2000";"Ожидание результатов ВИ";"1107745";"—"
"125";"6";"—";"64000";"- - 64";"—";"Ожидание результатов ВИ";"1637630";"—"
"128";"4";"—";"64000";"- - 61";"3000";"Ожидание результатов ВИ";"2372048";"—"
"129";"6";"—";"64000";"- - 54";"10000";"Ожидание результатов ВИ";"2212649";"—"
"131";"3";"—";"63000";"- - 60";"3000";"Ожидание результатов ВИ";"2199221";"—"
"132";"1";"—";"62000";"- - 60";"2000";"Ожидание результатов ВИ";"2218720";"—"
"133";"3";"—";"61000";"- - 61";"—";"Ожидание результатов ВИ";"1403431";"—"
"135";"4";"—";"61000";"- - 61";"—";"Ожидание результатов ВИ";"2278489";"—"
"136";"1";"—";"61000";"- - 58";"3000";"Ожидание результатов ВИ";"2340963";"—"
"137";"3";"—";"60000";"- - 60";"—";"Ожидание результатов ВИ";"1774446";"—"
"138";"6";"—";"60000";"- - 60";"—";"Ожидание результатов ВИ";"1165951";"—"
"139";"5";"—";"60000";"- - 60";"—";"Ожидание результатов ВИ";"1363954";"—"
"140";"6";"—";"59000";"- - 57";"2000";"Ожидание результатов ВИ";"2310744";"—"
"141";"5";"—";"58000";"- - 58";"—";"Ожидание результатов ВИ";"1579177";"—"
"142";"1";"—";"58000";"- 0 58";"—";"Выбыл из конкурса";"1389222";"—"
"145";"3";"—";"58000";"- - 58";"—";"Ожидание результатов ВИ";"1299730";"—"
"146";"3";"—";"57000";"- - 57";"—";"Ожидание результатов ВИ";"1607353";"—"
"147";"2";"—";"57000";"- - 57";"—";"Ожидание результатов ВИ";"2027392";"—"
"148";"5";"—";"57000";"- - 57";"—";"Ожидание результатов ВИ";"2252451";"—"
"149";"4";"—";"57000";"- - 57";"—";"Ожидание результатов ВИ";"1816213";"—"
"150";"2";"—";"57000";"- - 57";"—";"Ожидание результатов ВИ";"2272758";"—"
"151";"1";"—";"57000";"- - 57";"—";"Ожидание результатов ВИ";"2413558";"—"
"152";"3";"—";"57000";"- - 54";"3000";"Ожидание результатов ВИ";"2298151";"—"
"153";"4";"—";"57000";"- - 52";"5000";"Ожидание результатов ВИ";"1852174";"—"
"157";"8";"—";"55000";"- - 55";"—";"Ожидание результатов ВИ";"1153736";"—"
"158";"2";"—";"55000";"- - 55";"—";"Ожидание результатов ВИ";"2119942";"—"
"159";"10";"—";"55000";"- - 55";"—";"Ожидание результатов ВИ";"2394597";"—"
"160";"2";"—";"55000";"- - 52";"3000";"Ожидание результатов ВИ";"2369747";"—"
"162";"6";"—";"54000";"- - 54";"—";"Ожидание результатов ВИ";"1549126";"—"
"165";"4";"—";"54000";"- - 54";"—";"Ожидание результатов ВИ";"2043914";"—"
"166";"3";"—";"54000";"- - 54";"—";"Ожидание результатов ВИ";"1638343";"—"
"167";"6";"—";"54000";"- - 54";"—";"Ожидание результатов ВИ";"1557636";"—"
"168";"4";"—";"54000";"- - 51";"3000";"Ожидание результатов ВИ";"1356530";"—"
"169";"2";"—";"54000";"- - 51";"3000";"Ожидание результатов ВИ";"1341538";"—"
"170";"1";"—";"54000";"- - 51";"3000";"Ожидание результатов ВИ";"1521878";"—"
"171";"4";"—";"54000";"- - 49";"5000";"Ожидание результатов ВИ";"2243600";"—"
"172";"6";"—";"52000";"- - 52";"—";"Ожидание результатов ВИ";"1436401";"—"
"173";"7";"—";"52000";"- - 52";"—";"Ожидание результатов ВИ";"2142576";"—"
"174";"2";"—";"52000";"- - 49";"3000";"Ожидание результатов ВИ";"2080857";"—"
"175";"5";"—";"52000";"- - 42";"10000";"Ожидание результатов ВИ";"1000279";"—"
"176";"5";"—";"51000";"- - 51";"—";"Ожидание результатов ВИ";"1586955";"—"
"177";"7";"—";"51000";"- - 51";"—";"Ожидание результатов ВИ";"1566800";"—"
"178";"1";"—";"51000";"- - 51";"—";"Ожидание результатов ВИ";"2169083";"—"
"182";"9";"—";"49000";"- - 49";"—";"Ожидание результатов ВИ";"1193923";"—"
"183";"7";"—";"48000";"- - 48";"—";"Ожидание результатов ВИ";"2200986";"—"
"184";"1";"—";"48000";"- - 48";"—";"Ожидание результатов ВИ";"2272414";"—"
"185";"5";"—";"48000";"- - 48";"—";"Ожидание результатов ВИ";"2246498";"—"
"186";"5";"—";"46000";"- 0 46";"—";"Выбыл из конкурса";"1727881";"—"
