"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"Электронное";"301000";"100 100 91";"10000";"Участвует в конкурсе";"1067539";"—"
"2";"1";"—";"299000";"89 100 100";"10000";"Участвует в конкурсе";"1174505";"—"
"3";"1";"—";"292000";"95 100 97";"—";"Участвует в конкурсе";"964595";"—"
"4";"1";"—";"291000";"96 94 91";"10000";"Участвует в конкурсе";"1487598";"—"
"5";"1";"Электронное";"279000";"94 84 91";"10000";"Участвует в конкурсе";"1343687";"—"
"6";"1";"Электронное";"273000";"94 91 78";"10000";"Участвует в конкурсе";"1435118";"—"
"7";"1";"Электронное";"267000";"100 63 94";"10000";"Участвует в конкурсе";"1358221";"—"
"8";"1";"—";"266000";"71 94 91";"10000";"Участвует в конкурсе";"1152562";"—"
"9";"1";"—";"262000";"67 94 91";"10000";"Участвует в конкурсе";"1070495";"—"
"10";"1";"Электронное";"260000";"65 94 91";"10000";"Участвует в конкурсе";"1123877";"—"
"11";"1";"—";"258000";"60 94 94";"10000";"Участвует в конкурсе";"1506538";"—"
"12";"1";"—";"255000";"95 84 73";"3000";"Участвует в конкурсе";"1131252";"—"
"13";"1";"—";"255000";"88 84 73";"10000";"Участвует в конкурсе";"1127812";"—"
"14";"1";"Электронное";"249000";"74 84 81";"10000";"Участвует в конкурсе";"1857953";"—"
"15";"2";"Электронное";"248000";"98 71 69";"10000";"Участвует в конкурсе";"1402720";"—"
"16";"1";"—";"247000";"92 73 72";"10000";"Участвует в конкурсе";"1474928";"—"
"17";"1";"—";"247000";"89 73 75";"10000";"Участвует в конкурсе";"1442952";"—"
"18";"1";"—";"247000";"70 78 89";"10000";"Участвует в конкурсе";"1203895";"—"
"19";"2";"—";"243000";"55 89 89";"10000";"Участвует в конкурсе";"1365864";"—"
"20";"1";"Электронное";"242000";"92 40 100";"10000";"Участвует в конкурсе";"1544178";"—"
"21";"1";"—";"233000";"66 89 78";"—";"Участвует в конкурсе";"1278946";"—"
"22";"1";"Электронное";"232000";"65 84 73";"10000";"Участвует в конкурсе";"1285975";"—"
"23";"1";"—";"229000";"64 84 81";"—";"Участвует в конкурсе";"1254772";"—"
"24";"1";"—";"227000";"88 61 78";"—";"Участвует в конкурсе";"1496469";"—"
"26";"1";"Электронное";"224000";"84 73 67";"—";"Участвует в конкурсе";"1213840";"—"
"27";"1";"—";"223000";"87 60 66";"10000";"Участвует в конкурсе";"1942577";"—"
"28";"1";"—";"222000";"100 59 63";"—";"Участвует в конкурсе";"1512292";"—"
"29";"1";"—";"222000";"80 61 81";"—";"Участвует в конкурсе";"1213606";"—"
"30";"1";"Электронное";"216000";"98 51 67";"—";"Участвует в конкурсе";"1649243";"—"
"31";"2";"—";"214000";"69 68 67";"10000";"Участвует в конкурсе";"1127557";"—"
"32";"2";"—";"208000";"57 63 78";"10000";"Участвует в конкурсе";"1724599";"—"
"33";"1";"—";"199000";"76 63 60";"—";"Участвует в конкурсе";"1208429";"—"
"34";"1";"Электронное";"197000";"82 55 60";"—";"Участвует в конкурсе";"1576621";"—"
"35";"2";"—";"196000";"81 54 61";"—";"Участвует в конкурсе";"1853098";"—"
"36";"1";"—";"196000";"58 61 67";"10000";"Участвует в конкурсе";"1208591";"—"
"37";"1";"Электронное";"193000";"60 58 75";"—";"Участвует в конкурсе";"1615365";"—"
"38";"2";"Электронное";"185000";"85 46 54";"—";"Участвует в конкурсе";"1291709";"—"
"39";"1";"—";"182000";"60 59 63";"—";"Участвует в конкурсе";"1201137";"—"
"40";"1";"—";"180000";"60 58 57";"5000";"Участвует в конкурсе";"1513101";"—"
"41";"1";"—";"170000";"59 60 51";"—";"Участвует в конкурсе";"1362261";"—"
