"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"35000";"- -";"35000";"Ожидание результатов ВИ";"2008126";"—"
"2";"3";"—";"25000";"- -";"25000";"Ожидание результатов ВИ";"2051664";"—"
"3";"1";"—";"25000";"- -";"25000";"Ожидание результатов ВИ";"1987699";"—"
"4";"11";"—";"20000";"- -";"20000";"Ожидание результатов ВИ";"2266857";"—"
"5";"2";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2376313";"—"
"7";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"1793637";"—"
"8";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2143102";"—"
"9";"2";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2325865";"—"
"10";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2376899";"—"
"12";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2289524";"—"
"13";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2160533";"—"
"14";"5";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2274802";"—"
"15";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1061894";"—"
"16";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1151074";"—"
"17";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1173260";"—"
"18";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"963436";"—"
"19";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1494897";"—"
"20";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2004112";"—"
"21";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1849574";"—"
"22";"5";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2018293";"—"
"23";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2018774";"—"
"24";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2033882";"—"
"25";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2042580";"—"
"26";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2048085";"—"
"27";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2088908";"—"
"28";"3";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2098210";"—"
"29";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2098800";"—"
"30";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2121365";"—"
"31";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2142834";"—"
"32";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2137704";"—"
"33";"6";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2164819";"—"
"34";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2169938";"—"
"35";"3";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2148028";"—"
"36";"11";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2220658";"—"
"37";"11";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2220540";"—"
"38";"11";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2221064";"—"
"39";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2233784";"—"
"40";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2241988";"—"
"41";"4";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2253275";"—"
"42";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2270755";"—"
"43";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2273955";"—"
"44";"31";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2296188";"—"
"45";"25";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2295983";"—"
"46";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2315174";"—"
"47";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2335779";"—"
"49";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2357877";"—"
"50";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2376196";"—"
"51";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2383109";"—"
"52";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2407963";"—"
"53";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2410076";"—"
"54";"16";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2416912";"—"
"55";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2418091";"—"
"56";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2426834";"—"
"57";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2303619";"—"
"58";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2358098";"—"
"59";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2468690";"—"
"60";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2118101";"—"
"61";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2230599";"—"
"62";"21";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2480204";"—"
