"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"50000";"- -";"50000";"Ожидание результатов ВИ";"1877562";"—"
"2";"1";"—";"40000";"- -";"40000";"Ожидание результатов ВИ";"1769018";"—"
"3";"1";"Электронное";"40000";"- -";"40000";"Ожидание результатов ВИ";"1910903";"—"
"4";"1";"—";"35000";"- -";"35000";"Ожидание результатов ВИ";"2008126";"—"
"5";"2";"—";"25000";"- -";"25000";"Ожидание результатов ВИ";"2096746";"—"
"6";"2";"Электронное";"25000";"- -";"25000";"Ожидание результатов ВИ";"1131879";"—"
"7";"15";"—";"25000";"- -";"25000";"Ожидание результатов ВИ";"1900817";"—"
"8";"1";"Электронное";"25000";"- -";"25000";"Ожидание результатов ВИ";"2051664";"—"
"9";"1";"Электронное";"25000";"- -";"25000";"Ожидание результатов ВИ";"1987699";"—"
"10";"2";"Электронное";"25000";"- -";"25000";"Ожидание результатов ВИ";"2182929";"—"
"11";"1";"—";"25000";"- -";"25000";"Ожидание результатов ВИ";"2133043";"—"
"12";"1";"—";"25000";"- -";"25000";"Ожидание результатов ВИ";"2194964";"—"
"13";"11";"Электронное";"20000";"- -";"20000";"Ожидание результатов ВИ";"2266857";"—"
"14";"2";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"1442361";"—"
"15";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2422104";"—"
"16";"2";"Электронное";"15000";"- -";"15000";"Ожидание результатов ВИ";"2376313";"—"
"19";"2";"Электронное";"15000";"- -";"15000";"Ожидание результатов ВИ";"2043730";"—"
"20";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"1010743";"—"
"21";"2";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"982459";"—"
"22";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"1793637";"—"
"23";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"1084475";"—"
"24";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2003962";"—"
"25";"2";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2053885";"—"
"26";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"1936385";"—"
"27";"2";"Электронное";"15000";"- -";"15000";"Ожидание результатов ВИ";"2179077";"—"
"28";"3";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2177160";"—"
"29";"2";"Электронное";"15000";"- -";"15000";"Ожидание результатов ВИ";"2158361";"—"
"30";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2143102";"—"
"31";"8";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2156550";"—"
"32";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2190031";"—"
"33";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2243950";"—"
"34";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2302830";"—"
"35";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2308844";"—"
"36";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2312350";"—"
"37";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2341210";"—"
"38";"2";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2325865";"—"
"39";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2350975";"—"
"40";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2376899";"—"
"41";"3";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2390617";"—"
"42";"2";"Электронное";"15000";"- -";"15000";"Ожидание результатов ВИ";"2343020";"—"
"43";"2";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2400288";"—"
"44";"55";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2298220";"—"
"45";"15";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2426250";"—"
"46";"17";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2426328";"—"
"47";"1";"Электронное";"15000";"- -";"15000";"Ожидание результатов ВИ";"2388727";"—"
"48";"11";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2404142";"—"
"49";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2405613";"—"
"50";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2425093";"—"
"51";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"1215047";"—"
"52";"2";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2143491";"—"
"53";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2428528";"—"
"54";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2411692";"—"
"55";"2";"Электронное";"15000";"- -";"15000";"Ожидание результатов ВИ";"2162917";"—"
"57";"2";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2412450";"—"
"58";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"1078152";"—"
"59";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"1483929";"—"
"60";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"1950800";"—"
"62";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"1810336";"—"
"63";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2289524";"—"
"64";"1";"Электронное";"15000";"- -";"15000";"Ожидание результатов ВИ";"1846638";"—"
"65";"2";"Электронное";"15000";"- -";"15000";"Ожидание результатов ВИ";"2440089";"—"
"66";"8";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"1654526";"—"
"67";"2";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2084280";"—"
"68";"3";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2464070";"—"
"69";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"1754334";"—"
"70";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"1909844";"—"
"71";"26";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"1002753";"—"
"72";"4";"—";"15000";"x x";"15000";"На рассмотрении";"2330310";"—"
"73";"3";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2093675";"—"
"74";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1987047";"—"
"75";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"938483";"—"
"76";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2049285";"—"
"77";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2351637";"—"
"78";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2160533";"—"
"79";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2416147";"—"
"80";"5";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2274802";"—"
"81";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"955112";"—"
"84";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1007571";"—"
"85";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1004500";"—"
"86";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1035947";"—"
"87";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1061894";"—"
"88";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1124408";"—"
"89";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1151074";"—"
