"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"+";"8";"0";"—";"Участвует в конкурсе";"1469966";"—"
"2";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1244881";"—"
"3";"1";"—";"8";"0";"—";"Участвует в конкурсе";"1316854";"—"
"4";"1";"+";"8";"0";"—";"Участвует в конкурсе";"1431493";"—"
"5";"1";"—";"10";"0";"—";"Участвует в конкурсе";"1348650";"—"
"6";"1";"+";"10";"0";"—";"Участвует в конкурсе";"1574336";"—"
"7";"1";"+";"10";"0";"—";"Участвует в конкурсе";"1763345";"—"
"8";"1";"+";"10";"0";"—";"Участвует в конкурсе";"2214315";"—"
"9";"1";"+";"10";"0";"—";"Участвует в конкурсе";"982415";"—"
"10";"2";"+";"10";"0";"—";"Участвует в конкурсе";"2034372";"—"
"11";"1";"+";"10";"0";"—";"Участвует в конкурсе";"1993931";"—"
"12";"1";"—";"8";"0";"—";"Участвует в конкурсе";"1495729";"—"
"13";"1";"—";"8";"0";"—";"Участвует в конкурсе";"1507977";"—"
"14";"1";"+";"8";"0";"—";"Участвует в конкурсе";"1637082";"—"
"15";"1";"+";"8";"0";"—";"Участвует в конкурсе";"1649206";"—"
"16";"1";"+";"8";"0";"—";"Участвует в конкурсе";"2039877";"—"
"17";"1";"+";"6";"0";"—";"Участвует в конкурсе";"1924072";"—"
"18";"1";"+";"6";"0";"—";"Участвует в конкурсе";"2033888";"—"
"19";"1";"—";"5";"0";"—";"Участвует в конкурсе";"1169048";"—"
"20";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1188478";"—"
"21";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1383288";"—"
"22";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1541154";"—"
"23";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1655089";"—"
"24";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1669053";"—"
"25";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1780528";"—"
"26";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1874731";"—"
"27";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1999193";"—"
"28";"1";"+";"5";"0";"—";"Участвует в конкурсе";"2091696";"—"
"29";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1153659";"—"
"30";"1";"+";"0";"0";"—";"Участвует в конкурсе";"2254778";"—"
"31";"1";"+";"0";"0";"—";"Участвует в конкурсе";"2161422";"—"
"32";"1";"+";"0";"0";"—";"Участвует в конкурсе";"1542809";"—"
"33";"1";"+";"0";"0";"—";"Участвует в конкурсе";"1636570";"—"
"34";"1";"+";"0";"0";"—";"Участвует в конкурсе";"1843564";"—"
"35";"1";"—";"0";"0";"—";"Участвует в конкурсе";"2039264";"—"
"36";"1";"—";"5";"0";"—";"Участвует в конкурсе";"1503393";"—"
"37";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1315527";"—"
"38";"1";"—";"5";"0";"—";"Участвует в конкурсе";"1628027";"—"
"39";"1";"+";"5";"0";"—";"Участвует в конкурсе";"2227013";"—"
"40";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1169997";"—"
"41";"1";"+";"0";"0";"—";"Участвует в конкурсе";"1196401";"—"
"42";"1";"+";"0";"0";"—";"Участвует в конкурсе";"1853516";"—"
"43";"1";"+";"0";"0";"—";"Участвует в конкурсе";"2168805";"—"
"44";"1";"+";"0";"0";"—";"Участвует в конкурсе";"1907666";"—"
"45";"1";"+";"0";"0";"—";"Участвует в конкурсе";"1955217";"—"
"46";"1";"+";"0";"0";"—";"Участвует в конкурсе";"1074960";"—"
"47";"1";"+";"0";"0";"—";"Участвует в конкурсе";"1976515";"—"
"48";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1356298";"—"
"49";"1";"+";"5";"0";"—";"Участвует в конкурсе";"2127612";"—"
"50";"1";"—";"5";"0";"—";"Участвует в конкурсе";"2076209";"—"
"51";"1";"—";"3";"0";"—";"Участвует в конкурсе";"1418000";"—"
"52";"1";"+";"0";"0";"—";"Участвует в конкурсе";"2225517";"—"
"53";"1";"+";"0";"0";"—";"Участвует в конкурсе";"1363353";"—"
"54";"1";"+";"0";"0";"—";"Участвует в конкурсе";"1645104";"—"
"55";"2";"—";"310";"300";"100";"Участвует в конкурсе";"1521720";"—"
"56";"1";"—";"310";"300";"100";"Участвует в конкурсе";"1583417";"—"
"57";"5";"—";"310";"300";"100";"Участвует в конкурсе";"1710308";"—"
"58";"3";"—";"310";"300";"100";"Участвует в конкурсе";"1851055";"—"
"59";"2";"—";"308";"300";"100";"Участвует в конкурсе";"1621605";"—"
"60";"2";"—";"308";"300";"100";"Участвует в конкурсе";"2117696";"—"
"61";"2";"—";"308";"298";"98";"Участвует в конкурсе";"1185396";"—"
"62";"4";"—";"307";"297";"100";"Участвует в конкурсе";"1725473";"—"
"63";"3";"—";"306";"296";"100";"Участвует в конкурсе";"1102589";"—"
"64";"1";"—";"305";"300";"100";"Участвует в конкурсе";"1962977";"—"
"65";"1";"—";"305";"297";"100";"Участвует в конкурсе";"1176776";"—"
"66";"2";"—";"305";"297";"100";"Участвует в конкурсе";"1936263";"—"
"67";"1";"—";"305";"297";"98";"Участвует в конкурсе";"1312784";"—"
"68";"1";"—";"305";"295";"95";"Участвует в конкурсе";"1989226";"—"
"69";"2";"—";"304";"299";"100";"Участвует в конкурсе";"1062289";"—"
"70";"1";"—";"304";"294";"100";"Участвует в конкурсе";"1193156";"—"
"71";"1";"—";"304";"294";"100";"Участвует в конкурсе";"1196429";"—"
"72";"1";"—";"304";"294";"100";"Участвует в конкурсе";"1203269";"—"
"73";"2";"—";"304";"294";"96";"Участвует в конкурсе";"2217770";"—"
"74";"3";"—";"303";"298";"98";"Участвует в конкурсе";"1408433";"—"
"75";"1";"—";"303";"298";"98";"Участвует в конкурсе";"1730523";"—"
"76";"1";"—";"303";"298";"100";"Участвует в конкурсе";"2174388";"—"
"77";"2";"—";"303";"295";"98";"Участвует в конкурсе";"1405080";"—"
"78";"1";"+";"303";"293";"100";"Участвует в конкурсе";"1902289";"—"
"79";"5";"—";"302";"297";"100";"Участвует в конкурсе";"1287124";"—"
"80";"4";"—";"302";"297";"100";"Участвует в конкурсе";"1156268";"—"
"81";"2";"—";"302";"297";"100";"Участвует в конкурсе";"1364439";"—"
"82";"3";"—";"302";"297";"100";"Участвует в конкурсе";"1618953";"—"
"83";"2";"—";"302";"297";"100";"Участвует в конкурсе";"1644443";"—"
"84";"2";"—";"302";"297";"100";"Участвует в конкурсе";"1175325";"—"
"85";"2";"—";"302";"294";"100";"Участвует в конкурсе";"1358767";"—"
"86";"1";"—";"302";"294";"100";"Участвует в конкурсе";"1624627";"—"
"87";"1";"—";"302";"292";"98";"Участвует в конкурсе";"1415896";"—"
"88";"2";"—";"302";"292";"95";"Участвует в конкурсе";"1291399";"—"
"89";"2";"—";"301";"296";"100";"Участвует в конкурсе";"1187344";"—"
"90";"1";"—";"301";"296";"98";"Участвует в конкурсе";"1851493";"—"
"91";"2";"—";"301";"295";"98";"Участвует в конкурсе";"1553435";"—"
"92";"2";"+";"301";"293";"100";"Участвует в конкурсе";"1684531";"—"
"93";"2";"—";"301";"291";"100";"Участвует в конкурсе";"1321691";"—"
"94";"1";"—";"301";"291";"100";"Участвует в конкурсе";"1769123";"—"
"95";"1";"—";"301";"291";"100";"Участвует в конкурсе";"2005175";"—"
"96";"1";"—";"301";"291";"100";"Участвует в конкурсе";"1214651";"—"
"97";"5";"—";"300";"295";"100";"Участвует в конкурсе";"1260804";"—"
"98";"3";"—";"300";"295";"100";"Участвует в конкурсе";"1859833";"—"
"99";"4";"—";"300";"295";"100";"Участвует в конкурсе";"1928315";"—"
"100";"1";"—";"300";"294";"100";"Участвует в конкурсе";"1653051";"—"
"101";"2";"—";"300";"292";"98";"Участвует в конкурсе";"1622077";"—"
"102";"2";"+";"300";"292";"100";"Участвует в конкурсе";"1287292";"—"
"103";"1";"—";"300";"290";"93";"Участвует в конкурсе";"1438959";"—"
"104";"2";"+";"300";"290";"90";"Участвует в конкурсе";"1651429";"—"
"105";"1";"—";"300";"290";"90";"Участвует в конкурсе";"1609871";"—"
"106";"1";"—";"299";"294";"100";"Участвует в конкурсе";"1209569";"—"
"107";"1";"+";"299";"294";"100";"Участвует в конкурсе";"1345404";"—"
"108";"2";"—";"299";"294";"100";"Участвует в конкурсе";"1356802";"—"
"109";"2";"—";"299";"294";"100";"Участвует в конкурсе";"1620311";"—"
"110";"1";"+";"299";"294";"100";"Участвует в конкурсе";"2188146";"—"
"111";"1";"—";"299";"294";"100";"Участвует в конкурсе";"2271719";"—"
"112";"2";"+";"299";"294";"95";"Участвует в конкурсе";"1485022";"—"
"113";"1";"—";"299";"294";"95";"Участвует в конкурсе";"1599106";"—"
"114";"1";"—";"299";"294";"100";"Участвует в конкурсе";"1182334";"—"
"115";"2";"—";"299";"294";"100";"Участвует в конкурсе";"1462631";"—"
"116";"3";"—";"299";"294";"100";"Участвует в конкурсе";"1543511";"—"
"117";"1";"—";"299";"294";"100";"Участвует в конкурсе";"1763401";"—"
"118";"1";"—";"299";"294";"98";"Участвует в конкурсе";"1575220";"—"
"119";"1";"—";"299";"294";"100";"Участвует в конкурсе";"1627686";"—"
"120";"1";"—";"299";"292";"95";"Участвует в конкурсе";"1622830";"—"
"121";"3";"+";"299";"291";"100";"Участвует в конкурсе";"1566413";"—"
"122";"2";"—";"299";"291";"100";"Участвует в конкурсе";"1646082";"—"
"123";"4";"+";"299";"289";"100";"Участвует в конкурсе";"1626913";"—"
"124";"2";"—";"299";"289";"100";"Участвует в конкурсе";"1383243";"—"
"125";"1";"—";"299";"289";"100";"Участвует в конкурсе";"1514245";"—"
"126";"2";"+";"299";"289";"98";"Участвует в конкурсе";"2093178";"—"
"127";"1";"—";"299";"289";"100";"Участвует в конкурсе";"1852085";"—"
"128";"1";"—";"299";"289";"100";"Участвует в конкурсе";"1317547";"—"
"129";"2";"—";"298";"298";"98";"Участвует в конкурсе";"1444380";"—"
"130";"2";"—";"298";"293";"100";"Участвует в конкурсе";"2414285";"—"
"131";"3";"—";"298";"293";"98";"Участвует в конкурсе";"1439502";"—"
"132";"2";"—";"298";"293";"100";"Участвует в конкурсе";"1265834";"—"
"133";"4";"—";"298";"293";"100";"Участвует в конкурсе";"1929401";"—"
"134";"3";"+";"298";"293";"100";"Участвует в конкурсе";"1977346";"—"
"135";"2";"—";"298";"293";"98";"Участвует в конкурсе";"1542401";"—"
"136";"2";"—";"298";"293";"98";"Участвует в конкурсе";"1907832";"—"
