"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"+";"10";"0";"—";"Участвует в конкурсе";"1477568";"—"
"2";"1";"—";"0";"0";"—";"Участвует в конкурсе";"1118096";"—"
"3";"1";"+";"10";"0";"—";"Участвует в конкурсе";"1168626";"—"
"4";"1";"+";"0";"0";"—";"Участвует в конкурсе";"1613602";"—"
"5";"1";"+";"0";"0";"—";"Участвует в конкурсе";"1314168";"—"
"6";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1418906";"—"
"7";"1";"+";"0";"0";"—";"Участвует в конкурсе";"1873168";"—"
"8";"1";"+";"0";"0";"—";"Участвует в конкурсе";"1484209";"—"
"9";"1";"—";"0";"0";"—";"Участвует в конкурсе";"1917827";"—"
"10";"1";"—";"310";"300";"100";"Участвует в конкурсе";"1169028";"—"
"11";"3";"—";"310";"300";"100";"Участвует в конкурсе";"1710308";"—"
"12";"3";"—";"308";"300";"100";"Участвует в конкурсе";"1621605";"—"
"13";"4";"—";"308";"298";"98";"Участвует в конкурсе";"1991587";"—"
"14";"4";"—";"308";"298";"100";"Участвует в конкурсе";"1185396";"—"
"15";"5";"—";"307";"297";"100";"Участвует в конкурсе";"1725473";"—"
"16";"1";"—";"306";"296";"99";"Участвует в конкурсе";"1102589";"—"
"17";"4";"—";"305";"297";"100";"Участвует в конкурсе";"1936263";"—"
"18";"1";"—";"305";"295";"98";"Участвует в конкурсе";"1880866";"—"
"19";"5";"—";"304";"296";"96";"Участвует в конкурсе";"1642962";"—"
"20";"3";"—";"304";"294";"100";"Участвует в конкурсе";"1203269";"—"
"21";"4";"—";"304";"294";"100";"Участвует в конкурсе";"1291574";"—"
"22";"1";"—";"304";"294";"98";"Участвует в конкурсе";"2217770";"—"
"23";"4";"—";"303";"298";"100";"Участвует в конкурсе";"1730523";"—"
"24";"2";"—";"302";"297";"100";"Участвует в конкурсе";"1156268";"—"
"25";"2";"—";"302";"297";"100";"Участвует в конкурсе";"1618953";"—"
"26";"1";"—";"302";"297";"97";"Участвует в конкурсе";"1175325";"—"
"27";"1";"—";"302";"294";"100";"Участвует в конкурсе";"1199996";"—"
"28";"2";"—";"302";"294";"100";"Участвует в конкурсе";"2271719";"—"
"29";"3";"—";"302";"294";"100";"Участвует в конкурсе";"1495729";"—"
"30";"5";"—";"301";"296";"100";"Участвует в конкурсе";"1859833";"—"
"31";"4";"—";"300";"295";"95";"Участвует в конкурсе";"1260804";"—"
"32";"2";"—";"300";"295";"100";"Участвует в конкурсе";"1363637";"—"
"33";"1";"+";"300";"292";"98";"Участвует в конкурсе";"2171054";"—"
"34";"1";"—";"300";"290";"92";"Участвует в конкурсе";"1165899";"—"
"35";"1";"—";"299";"299";"99";"Участвует в конкурсе";"2165227";"—"
"36";"2";"—";"299";"294";"100";"Участвует в конкурсе";"1209569";"—"
"37";"5";"+";"299";"294";"100";"Участвует в конкурсе";"1345404";"—"
"38";"1";"—";"299";"294";"100";"Участвует в конкурсе";"1418751";"—"
"39";"4";"—";"299";"294";"97";"Участвует в конкурсе";"1763401";"—"
"40";"1";"—";"299";"294";"97";"Участвует в конкурсе";"2229667";"—"
"41";"4";"—";"299";"294";"96";"Участвует в конкурсе";"1575220";"—"
"42";"1";"—";"299";"289";"100";"Участвует в конкурсе";"1584291";"—"
"43";"5";"—";"299";"289";"98";"Участвует в конкурсе";"1981037";"—"
"44";"2";"—";"299";"289";"95";"Участвует в конкурсе";"1852085";"—"
"45";"2";"—";"299";"289";"92";"Участвует в конкурсе";"1317547";"—"
"46";"1";"—";"298";"293";"99";"Участвует в конкурсе";"2414285";"—"
"47";"1";"—";"298";"293";"96";"Участвует в конкурсе";"1213689";"—"
"48";"3";"—";"298";"293";"96";"Участвует в конкурсе";"2181404";"—"
"49";"2";"—";"298";"293";"98";"Участвует в конкурсе";"1439502";"—"
"50";"3";"—";"297";"292";"98";"Участвует в конкурсе";"1334253";"—"
"51";"3";"—";"297";"292";"98";"Участвует в конкурсе";"1502302";"—"
"52";"3";"+";"297";"292";"98";"Участвует в конкурсе";"1986029";"—"
"53";"2";"—";"297";"292";"95";"Участвует в конкурсе";"1366907";"—"
"54";"2";"—";"297";"292";"95";"Участвует в конкурсе";"1880484";"—"
"55";"2";"—";"297";"292";"100";"Участвует в конкурсе";"1470146";"—"
"56";"5";"—";"297";"289";"97";"Участвует в конкурсе";"981435";"—"
"57";"3";"—";"297";"287";"92";"Участвует в конкурсе";"1171336";"—"
"58";"3";"—";"297";"287";"96";"Участвует в конкурсе";"1233703";"—"
"59";"3";"—";"296";"293";"99";"Участвует в конкурсе";"1820800";"—"
"60";"5";"—";"296";"291";"100";"Участвует в конкурсе";"1367768";"—"
"61";"4";"—";"296";"291";"100";"Участвует в конкурсе";"1520134";"—"
"62";"4";"—";"296";"291";"100";"Участвует в конкурсе";"1728645";"—"
"63";"4";"—";"296";"291";"97";"Участвует в конкурсе";"1241180";"—"
"64";"1";"—";"296";"291";"97";"Участвует в конкурсе";"2178548";"—"
"65";"4";"+";"296";"291";"97";"Участвует в конкурсе";"2181239";"—"
"66";"4";"—";"296";"291";"97";"Участвует в конкурсе";"2250130";"—"
"67";"5";"+";"296";"291";"94";"Участвует в конкурсе";"1180217";"—"
"68";"2";"—";"296";"291";"94";"Участвует в конкурсе";"1707387";"—"
"69";"4";"—";"296";"291";"94";"Участвует в конкурсе";"1841282";"—"
"70";"1";"—";"296";"291";"96";"Участвует в конкурсе";"1200613";"—"
"71";"3";"—";"296";"291";"96";"Участвует в конкурсе";"1429079";"—"
"72";"5";"—";"296";"291";"96";"Участвует в конкурсе";"2012886";"—"
"73";"5";"—";"296";"286";"100";"Участвует в конкурсе";"1903641";"—"
"74";"3";"—";"295";"295";"100";"Участвует в конкурсе";"1989161";"—"
"75";"1";"—";"295";"290";"99";"Участвует в конкурсе";"1617830";"—"
"76";"4";"—";"295";"290";"96";"Участвует в конкурсе";"1857808";"—"
"77";"3";"—";"295";"290";"96";"Участвует в конкурсе";"1958961";"—"
"78";"5";"—";"295";"290";"98";"Участвует в конкурсе";"1399618";"—"
"79";"1";"—";"295";"290";"98";"Участвует в конкурсе";"1586166";"—"
"80";"2";"—";"295";"290";"98";"Участвует в конкурсе";"2000416";"—"
"81";"1";"—";"295";"290";"97";"Участвует в конкурсе";"1981766";"—"
"82";"4";"—";"295";"289";"100";"Участвует в конкурсе";"1722629";"—"
"83";"4";"—";"295";"287";"100";"Участвует в конкурсе";"1653182";"—"
"84";"3";"—";"295";"285";"98";"Участвует в конкурсе";"1644230";"—"
"85";"1";"—";"295";"285";"96";"Участвует в конкурсе";"1520999";"—"
"86";"1";"—";"295";"285";"95";"Участвует в конкурсе";"1795982";"—"
"87";"1";"—";"294";"294";"100";"Участвует в конкурсе";"1292716";"—"
"88";"2";"—";"294";"294";"100";"Участвует в конкурсе";"1362520";"—"
"89";"4";"—";"294";"294";"94";"Участвует в конкурсе";"1162628";"—"
"90";"2";"—";"294";"291";"100";"Участвует в конкурсе";"1481614";"—"
"91";"1";"—";"294";"289";"100";"Участвует в конкурсе";"1131802";"—"
"92";"5";"—";"294";"289";"100";"Участвует в конкурсе";"1689367";"—"
"93";"5";"—";"294";"289";"100";"Участвует в конкурсе";"1703492";"—"
"94";"5";"—";"294";"289";"98";"Участвует в конкурсе";"1729274";"—"
"95";"2";"—";"294";"289";"98";"Участвует в конкурсе";"1993128";"—"
"96";"1";"—";"294";"289";"98";"Участвует в конкурсе";"2173839";"—"
"97";"3";"+";"294";"289";"98";"Участвует в конкурсе";"2368438";"—"
"98";"1";"—";"294";"289";"98";"Участвует в конкурсе";"2409550";"—"
"99";"2";"—";"294";"289";"95";"Участвует в конкурсе";"1420208";"—"
"100";"3";"+";"294";"289";"92";"Участвует в конкурсе";"2001118";"—"
"101";"2";"+";"294";"289";"92";"Участвует в конкурсе";"2138923";"—"
"102";"2";"—";"294";"289";"100";"Участвует в конкурсе";"1203203";"—"
"103";"1";"—";"294";"289";"100";"Участвует в конкурсе";"1362153";"—"
"104";"4";"—";"294";"289";"100";"Участвует в конкурсе";"1513158";"—"
"105";"1";"—";"294";"289";"100";"Участвует в конкурсе";"1765289";"—"
"106";"3";"—";"294";"289";"97";"Участвует в конкурсе";"1759318";"—"
"107";"4";"—";"294";"289";"97";"Участвует в конкурсе";"1845599";"—"
"108";"2";"—";"294";"289";"97";"Участвует в конкурсе";"1962221";"—"
"109";"3";"—";"294";"289";"98";"Участвует в конкурсе";"1847088";"—"
"110";"5";"—";"294";"289";"97";"Участвует в конкурсе";"1619023";"—"
"111";"4";"—";"294";"286";"92";"Участвует в конкурсе";"1210502";"—"
"112";"5";"—";"293";"293";"99";"Участвует в конкурсе";"1178039";"—"
"113";"2";"—";"293";"293";"95";"Участвует в конкурсе";"1355024";"—"
"114";"1";"—";"293";"288";"94";"Участвует в конкурсе";"1748025";"—"
"115";"5";"—";"293";"288";"99";"Участвует в конкурсе";"1043087";"—"
"116";"4";"—";"293";"288";"95";"Участвует в конкурсе";"1073864";"—"
"117";"3";"—";"293";"288";"92";"Участвует в конкурсе";"1796557";"—"
"118";"3";"—";"293";"288";"97";"Участвует в конкурсе";"1255035";"—"
"119";"5";"+";"293";"288";"97";"Участвует в конкурсе";"1288476";"—"
"120";"1";"—";"293";"285";"92";"Участвует в конкурсе";"1961300";"—"
"121";"4";"—";"293";"283";"100";"Участвует в конкурсе";"1259431";"—"
"122";"4";"—";"292";"287";"98";"Участвует в конкурсе";"1844514";"—"
