"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"+";"10";"0";"—";"Участвует в конкурсе";"1995760";"—"
"2";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1276311";"—"
"3";"1";"+";"3";"0";"—";"Участвует в конкурсе";"1617703";"—"
"4";"1";"+";"3";"0";"—";"Участвует в конкурсе";"2121892";"—"
"5";"1";"+";"2";"0";"—";"Участвует в конкурсе";"2314081";"—"
"6";"1";"+";"0";"0";"—";"Участвует в конкурсе";"1404293";"—"
"7";"1";"+";"0";"0";"—";"Участвует в конкурсе";"1708102";"—"
"8";"1";"+";"0";"0";"—";"Участвует в конкурсе";"1563348";"—"
"9";"1";"+";"0";"0";"—";"Участвует в конкурсе";"1695334";"—"
"10";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1626231";"—"
"11";"1";"+";"5";"0";"—";"Участвует в конкурсе";"2240708";"—"
"12";"1";"+";"8";"0";"—";"Участвует в конкурсе";"1747923";"—"
"13";"1";"—";"5";"0";"—";"Участвует в конкурсе";"1971822";"—"
"14";"1";"+";"2";"0";"—";"Участвует в конкурсе";"1887067";"—"
"15";"1";"+";"10";"0";"—";"Участвует в конкурсе";"1651429";"—"
"16";"1";"+";"10";"0";"—";"Участвует в конкурсе";"1208183";"—"
"17";"1";"+";"10";"0";"—";"Участвует в конкурсе";"1572403";"—"
"18";"1";"+";"9";"0";"—";"Участвует в конкурсе";"1587852";"—"
"19";"1";"+";"8";"0";"—";"Участвует в конкурсе";"1707102";"—"
"20";"1";"+";"8";"0";"—";"Участвует в конкурсе";"1684531";"—"
"21";"1";"+";"8";"0";"—";"Участвует в конкурсе";"2051440";"—"
"22";"1";"+";"6";"0";"—";"Участвует в конкурсе";"1076547";"—"
"23";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1128870";"—"
"24";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1128871";"—"
"25";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1419266";"—"
"26";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1435994";"—"
"27";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1498401";"—"
"28";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1953260";"—"
"29";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1979049";"—"
"30";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1609962";"—"
"31";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1434161";"—"
"32";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1487417";"—"
"33";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1562968";"—"
"34";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1856654";"—"
"35";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1998220";"—"
"36";"1";"+";"3";"0";"—";"Участвует в конкурсе";"1354937";"—"
"37";"1";"+";"3";"0";"—";"Участвует в конкурсе";"1904039";"—"
"38";"1";"+";"2";"0";"—";"Участвует в конкурсе";"2077686";"—"
"39";"1";"+";"0";"0";"—";"Участвует в конкурсе";"1221961";"—"
"40";"1";"+";"0";"0";"—";"Участвует в конкурсе";"1830145";"—"
"41";"1";"+";"0";"0";"—";"Участвует в конкурсе";"1273393";"—"
"42";"1";"+";"0";"0";"—";"Участвует в конкурсе";"1703378";"—"
"43";"1";"+";"0";"0";"—";"Участвует в конкурсе";"1004203";"—"
"44";"1";"—";"0";"0";"—";"Участвует в конкурсе";"1319977";"—"
"45";"1";"+";"0";"0";"—";"Участвует в конкурсе";"1388440";"—"
"46";"1";"+";"0";"0";"—";"Участвует в конкурсе";"1442961";"—"
"47";"1";"+";"0";"0";"—";"Участвует в конкурсе";"1601194";"—"
"48";"1";"+";"0";"0";"—";"Участвует в конкурсе";"1795725";"—"
"49";"1";"+";"0";"0";"—";"Участвует в конкурсе";"1982083";"—"
"50";"1";"+";"0";"0";"—";"Участвует в конкурсе";"1997980";"—"
"51";"1";"+";"0";"0";"—";"Участвует в конкурсе";"2099760";"—"
"52";"1";"+";"0";"0";"—";"Участвует в конкурсе";"2175496";"—"
"53";"1";"+";"0";"0";"—";"Участвует в конкурсе";"2199638";"—"
"54";"1";"+";"0";"0";"—";"Участвует в конкурсе";"2237544";"—"
"55";"1";"+";"0";"0";"—";"Участвует в конкурсе";"2309025";"—"
"56";"1";"—";"10";"0";"—";"Участвует в конкурсе";"2041583";"—"
"57";"1";"—";"10";"0";"—";"Участвует в конкурсе";"1521720";"—"
"58";"1";"—";"10";"0";"—";"Участвует в конкурсе";"1643282";"—"
"59";"2";"+";"10";"0";"—";"Участвует в конкурсе";"2201212";"—"
"60";"1";"+";"8";"0";"—";"Участвует в конкурсе";"1255264";"—"
"61";"1";"—";"6";"0";"—";"Участвует в конкурсе";"1265821";"—"
"62";"1";"—";"5";"0";"—";"Участвует в конкурсе";"1515686";"—"
"63";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1795014";"—"
"64";"1";"+";"5";"0";"—";"Участвует в конкурсе";"2339001";"—"
"65";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1415475";"—"
"66";"1";"—";"5";"0";"—";"Участвует в конкурсе";"1480178";"—"
"67";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1519129";"—"
"68";"1";"—";"5";"0";"—";"Участвует в конкурсе";"1620311";"—"
"69";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1707003";"—"
"70";"1";"+";"4";"0";"—";"Участвует в конкурсе";"1437567";"—"
"71";"1";"+";"3";"0";"—";"Участвует в конкурсе";"1513430";"—"
"72";"1";"+";"0";"0";"—";"Участвует в конкурсе";"999248";"—"
"73";"1";"+";"0";"0";"—";"Участвует в конкурсе";"1795354";"—"
"74";"1";"—";"0";"0";"—";"Участвует в конкурсе";"2363069";"—"
"75";"1";"—";"5";"0";"—";"Участвует в конкурсе";"1251040";"—"
"76";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1439909";"—"
"77";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1650039";"—"
"78";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1669026";"—"
"79";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1716172";"—"
"80";"1";"+";"5";"0";"—";"Участвует в конкурсе";"2058365";"—"
"81";"1";"+";"5";"0";"—";"Участвует в конкурсе";"2167711";"—"
"82";"1";"+";"0";"0";"—";"Участвует в конкурсе";"1585102";"—"
"83";"1";"—";"0";"0";"—";"Участвует в конкурсе";"1505484";"—"
"84";"1";"—";"0";"0";"—";"Участвует в конкурсе";"1643121";"—"
"85";"1";"+";"0";"0";"—";"Участвует в конкурсе";"2308250";"—"
"86";"1";"+";"0";"0";"—";"Участвует в конкурсе";"831196";"—"
"87";"2";"—";"310";"300";"100";"Участвует в конкурсе";"1583417";"—"
"88";"2";"—";"310";"300";"100";"Участвует в конкурсе";"1851055";"—"
"89";"1";"—";"310";"300";"100";"Участвует в конкурсе";"1986103";"—"
"90";"1";"—";"308";"300";"100";"Участвует в конкурсе";"1621605";"—"
"91";"1";"—";"308";"298";"98";"Участвует в конкурсе";"1185396";"—"
"92";"5";"—";"308";"298";"100";"Участвует в конкурсе";"1991587";"—"
"93";"2";"—";"306";"296";"96";"Участвует в конкурсе";"1348650";"—"
"94";"1";"—";"305";"300";"100";"Участвует в конкурсе";"1823813";"—"
"95";"2";"—";"305";"300";"100";"Участвует в конкурсе";"1962977";"—"
"96";"2";"—";"305";"297";"100";"Участвует в конкурсе";"1176776";"—"
"97";"1";"—";"305";"297";"100";"Участвует в конкурсе";"1936263";"—"
"98";"2";"—";"305";"297";"98";"Участвует в конкурсе";"1312784";"—"
"99";"1";"—";"305";"295";"98";"Участвует в конкурсе";"1338042";"—"
"100";"2";"+";"305";"295";"95";"Участвует в конкурсе";"1763345";"—"
"101";"2";"—";"305";"295";"95";"Участвует в конкурсе";"1989226";"—"
"102";"1";"—";"304";"299";"100";"Участвует в конкурсе";"1062289";"—"
"103";"2";"—";"304";"294";"100";"Участвует в конкурсе";"1193156";"—"
