"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"5";"0";"—";"На рассмотрении";"2051977";"—"
"2";"1";"—";"0";"0";"—";"На рассмотрении";"1948302";"—"
"3";"1";"—";"0";"0";"—";"На рассмотрении";"2199638";"—"
"4";"1";"—";"5";"0";"—";"Участвует в конкурсе";"1289304";"—"
"5";"2";"—";"305";"297";"98";"Участвует в конкурсе";"1312784";"—"
"6";"1";"—";"303";"298";"98";"Участвует в конкурсе";"1408433";"—"
"7";"1";"—";"302";"297";"100";"Участвует в конкурсе";"1364439";"—"
"8";"1";"—";"302";"292";"95";"Участвует в конкурсе";"1291399";"—"
"9";"1";"—";"302";"292";"100";"Участвует в конкурсе";"1209561";"—"
"10";"1";"—";"300";"295";"100";"Участвует в конкурсе";"992095";"—"
"11";"1";"—";"300";"292";"100";"Участвует в конкурсе";"1287292";"—"
"12";"1";"—";"299";"294";"100";"Участвует в конкурсе";"1620311";"—"
"13";"2";"—";"299";"294";"95";"Участвует в конкурсе";"1599106";"—"
"14";"1";"—";"298";"293";"98";"Участвует в конкурсе";"1907832";"—"
"15";"2";"—";"297";"292";"98";"Участвует в конкурсе";"1415896";"—"
"16";"1";"—";"297";"292";"98";"Участвует в конкурсе";"1839611";"—"
"17";"1";"—";"297";"287";"98";"Участвует в конкурсе";"1757810";"—"
"18";"2";"—";"296";"291";"100";"Участвует в конкурсе";"1520134";"—"
"19";"1";"—";"296";"291";"100";"Участвует в конкурсе";"1241180";"—"
"20";"2";"—";"296";"291";"98";"Участвует в конкурсе";"1692921";"—"
"21";"2";"—";"296";"289";"100";"Участвует в конкурсе";"1828211";"—"
"22";"2";"—";"296";"286";"100";"Участвует в конкурсе";"1291410";"—"
"23";"1";"—";"295";"290";"93";"Участвует в конкурсе";"996505";"—"
"24";"1";"—";"295";"290";"96";"Участвует в конкурсе";"1360786";"—"
"25";"1";"—";"295";"290";"94";"Участвует в конкурсе";"2093789";"—"
"26";"4";"—";"294";"294";"98";"Участвует в конкурсе";"1569590";"—"
"27";"2";"—";"294";"289";"100";"Участвует в конкурсе";"1716376";"—"
"28";"1";"—";"294";"289";"100";"Участвует в конкурсе";"1640529";"—"
"29";"1";"—";"294";"284";"96";"Участвует в конкурсе";"1430424";"—"
"30";"2";"—";"293";"293";"100";"Участвует в конкурсе";"1200110";"—"
"31";"1";"—";"293";"288";"100";"Участвует в конкурсе";"2368438";"—"
"32";"2";"—";"293";"288";"96";"На рассмотрении";"1892504";"—"
"33";"1";"—";"293";"288";"96";"Участвует в конкурсе";"1796557";"—"
"34";"1";"—";"292";"292";"100";"Участвует в конкурсе";"1295980";"—"
"35";"1";"—";"292";"287";"98";"Участвует в конкурсе";"1167293";"—"
"36";"2";"—";"292";"287";"98";"Участвует в конкурсе";"1698924";"—"
"37";"2";"—";"292";"287";"98";"Участвует в конкурсе";"1073541";"—"
"38";"2";"—";"292";"287";"95";"Участвует в конкурсе";"1310411";"—"
"39";"3";"—";"291";"286";"98";"Участвует в конкурсе";"1257177";"—"
"40";"2";"—";"291";"286";"98";"Участвует в конкурсе";"1067835";"—"
"41";"1";"—";"291";"286";"95";"На рассмотрении";"2333339";"—"
"42";"1";"—";"291";"286";"98";"Участвует в конкурсе";"1780961";"—"
"43";"1";"—";"291";"286";"98";"Участвует в конкурсе";"2297812";"—"
"44";"1";"—";"291";"286";"100";"Участвует в конкурсе";"2100564";"—"
"45";"1";"—";"291";"281";"100";"Участвует в конкурсе";"1622970";"—"
"46";"1";"—";"291";"281";"95";"Участвует в конкурсе";"2052288";"—"
"47";"1";"—";"290";"290";"98";"Участвует в конкурсе";"1420886";"—"
"48";"1";"—";"290";"287";"95";"Участвует в конкурсе";"1422687";"—"
"49";"1";"—";"290";"285";"100";"Участвует в конкурсе";"1795014";"—"
"50";"1";"—";"290";"285";"100";"Участвует в конкурсе";"1443245";"—"
"51";"2";"—";"290";"285";"95";"Участвует в конкурсе";"1783449";"—"
"52";"1";"—";"290";"285";"94";"Участвует в конкурсе";"1342950";"—"
"53";"3";"—";"290";"283";"96";"Участвует в конкурсе";"1726783";"—"
"54";"1";"—";"290";"280";"93";"Участвует в конкурсе";"1729125";"—"
"55";"1";"—";"289";"286";"100";"Участвует в конкурсе";"1977911";"—"
"56";"1";"—";"289";"284";"98";"Участвует в конкурсе";"1625066";"—"
"57";"3";"—";"289";"284";"95";"Участвует в конкурсе";"2041874";"—"
"58";"2";"—";"289";"284";"90";"Участвует в конкурсе";"1695189";"—"
"59";"3";"—";"289";"284";"96";"Участвует в конкурсе";"1442758";"—"
"60";"3";"—";"289";"284";"93";"Участвует в конкурсе";"1193759";"—"
"61";"1";"—";"289";"284";"93";"Участвует в конкурсе";"1441293";"—"
"62";"1";"—";"289";"284";"98";"Участвует в конкурсе";"1955416";"—"
"63";"1";"—";"289";"284";"95";"Участвует в конкурсе";"2249798";"—"
"64";"1";"—";"289";"284";"98";"Участвует в конкурсе";"1092326";"—"
"65";"2";"—";"289";"281";"90";"Участвует в конкурсе";"1566363";"—"
"66";"1";"—";"289";"279";"98";"Участвует в конкурсе";"1350561";"—"
"67";"2";"—";"289";"279";"98";"Участвует в конкурсе";"1574163";"—"
"68";"1";"—";"289";"279";"96";"Участвует в конкурсе";"1428046";"—"
"69";"1";"—";"288";"288";"95";"Участвует в конкурсе";"1937699";"—"
"70";"1";"—";"288";"283";"92";"Участвует в конкурсе";"1840083";"—"
"71";"1";"—";"288";"283";"98";"Участвует в конкурсе";"1996739";"—"
"72";"1";"—";"288";"280";"95";"Участвует в конкурсе";"1517544";"—"
"73";"2";"—";"287";"287";"98";"Участвует в конкурсе";"1430938";"—"
"74";"1";"—";"287";"287";"93";"Участвует в конкурсе";"2218242";"—"
"75";"4";"—";"287";"282";"88";"Участвует в конкурсе";"1844794";"—"
"76";"1";"—";"287";"282";"95";"Участвует в конкурсе";"1493379";"—"
"77";"2";"—";"287";"282";"93";"Участвует в конкурсе";"1091647";"—"
"78";"1";"—";"287";"282";"95";"Участвует в конкурсе";"1506497";"—"
"79";"2";"—";"287";"282";"92";"Участвует в конкурсе";"1323249";"—"
"80";"2";"—";"287";"282";"94";"Участвует в конкурсе";"1548827";"—"
"81";"2";"—";"286";"286";"95";"Участвует в конкурсе";"1646262";"—"
"82";"1";"—";"286";"286";"100";"Участвует в конкурсе";"1702101";"—"
"83";"1";"—";"286";"281";"90";"Участвует в конкурсе";"1635319";"—"
"84";"2";"—";"286";"281";"90";"Участвует в конкурсе";"1797754";"—"
"85";"2";"—";"286";"281";"90";"Участвует в конкурсе";"2343910";"—"
"86";"1";"—";"286";"281";"93";"Участвует в конкурсе";"1493568";"—"
