"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"8";"0";"—";"Участвует в конкурсе";"1546948";"—"
"2";"2";"—";"310";"300";"100";"Участвует в конкурсе";"1583417";"—"
"3";"4";"—";"302";"297";"100";"Участвует в конкурсе";"1287124";"—"
"4";"1";"—";"298";"289";"100";"Участвует в конкурсе";"2083648";"—"
"5";"1";"+";"295";"290";"93";"Участвует в конкурсе";"996505";"—"
"6";"4";"+";"294";"294";"98";"Участвует в конкурсе";"1569590";"—"
"7";"1";"—";"294";"289";"95";"Участвует в конкурсе";"1383312";"—"
"8";"1";"—";"292";"282";"95";"Участвует в конкурсе";"1603405";"—"
"9";"1";"—";"289";"284";"95";"Участвует в конкурсе";"1250437";"—"
"10";"1";"+";"286";"281";"95";"Участвует в конкурсе";"1854486";"—"
"11";"1";"—";"285";"280";"98";"Участвует в конкурсе";"1206264";"—"
"12";"1";"—";"284";"279";"90";"Участвует в конкурсе";"1987497";"—"
"13";"2";"—";"284";"279";"95";"Участвует в конкурсе";"1937057";"—"
"14";"1";"—";"283";"283";"98";"Участвует в конкурсе";"1484523";"—"
"15";"2";"—";"282";"277";"90";"Участвует в конкурсе";"1848689";"—"
"16";"1";"—";"277";"277";"87";"Участвует в конкурсе";"1728313";"—"
"17";"1";"—";"277";"272";"96";"Участвует в конкурсе";"2154272";"—"
"18";"1";"—";"277";"270";"85";"Участвует в конкурсе";"1205718";"—"
"19";"1";"—";"276";"271";"88";"Участвует в конкурсе";"2405134";"—"
"20";"1";"—";"274";"267";"93";"Участвует в конкурсе";"1618386";"—"
"21";"2";"—";"273";"268";"93";"Участвует в конкурсе";"2216332";"—"
"22";"3";"—";"272";"267";"93";"Участвует в конкурсе";"1178497";"—"
"23";"1";"—";"272";"267";"98";"Участвует в конкурсе";"985059";"—"
"24";"1";"—";"270";"265";"80";"Участвует в конкурсе";"2177733";"—"
"25";"1";"—";"270";"265";"90";"Участвует в конкурсе";"1618719";"—"
"26";"1";"—";"269";"269";"98";"Участвует в конкурсе";"1182896";"—"
"27";"1";"—";"268";"268";"93";"Участвует в конкурсе";"1906353";"—"
"28";"1";"+";"268";"263";"82";"Участвует в конкурсе";"1628398";"—"
"29";"3";"+";"268";"263";"84";"Участвует в конкурсе";"1834668";"—"
"30";"1";"—";"268";"263";"85";"Участвует в конкурсе";"1890643";"—"
"31";"1";"—";"267";"262";"95";"Участвует в конкурсе";"2089577";"—"
"32";"1";"+";"267";"262";"83";"Участвует в конкурсе";"1501285";"—"
"33";"2";"—";"267";"259";"78";"Участвует в конкурсе";"996074";"—"
"34";"1";"—";"266";"261";"88";"Участвует в конкурсе";"1619038";"—"
"35";"1";"—";"265";"260";"90";"Участвует в конкурсе";"2212389";"—"
"36";"2";"—";"263";"263";"78";"Участвует в конкурсе";"1002323";"—"
"37";"1";"+";"263";"258";"95";"Участвует в конкурсе";"1239868";"—"
"38";"2";"+";"262";"262";"94";"Участвует в конкурсе";"1520198";"—"
"39";"2";"—";"262";"262";"83";"Участвует в конкурсе";"2092708";"—"
"40";"1";"—";"261";"256";"88";"Участвует в конкурсе";"1584145";"—"
"41";"2";"—";"260";"250";"90";"Участвует в конкурсе";"2274159";"—"
"42";"2";"—";"259";"252";"83";"Участвует в конкурсе";"1981762";"—"
"43";"3";"—";"258";"258";"90";"Участвует в конкурсе";"1721114";"—"
"44";"1";"—";"257";"254";"73";"Участвует в конкурсе";"2182676";"—"
"45";"1";"—";"257";"252";"88";"Участвует в конкурсе";"1396902";"—"
"46";"2";"—";"256";"251";"82";"Участвует в конкурсе";"2095431";"—"
"47";"5";"—";"255";"255";"90";"Участвует в конкурсе";"1784055";"—"
"48";"1";"—";"255";"250";"96";"Участвует в конкурсе";"1702823";"—"
"49";"2";"—";"254";"254";"83";"Участвует в конкурсе";"1502011";"—"
"50";"2";"—";"253";"250";"90";"Участвует в конкурсе";"1157734";"—"
"51";"1";"—";"253";"248";"85";"Участвует в конкурсе";"1353395";"—"
"52";"1";"—";"253";"246";"83";"Участвует в конкурсе";"1727171";"—"
"53";"5";"—";"252";"247";"79";"Участвует в конкурсе";"1544066";"—"
"54";"1";"—";"251";"246";"77";"Участвует в конкурсе";"2312078";"—"
"55";"1";"—";"250";"245";"76";"Участвует в конкурсе";"2415323";"—"
"56";"1";"—";"249";"244";"78";"Участвует в конкурсе";"2220150";"—"
"57";"1";"—";"248";"243";"83";"Участвует в конкурсе";"1790298";"—"
"58";"1";"+";"246";"241";"80";"Участвует в конкурсе";"1286125";"—"
"59";"1";"—";"245";"240";"79";"Участвует в конкурсе";"1441795";"—"
"60";"1";"+";"245";"240";"78";"Участвует в конкурсе";"1268509";"—"
"61";"1";"—";"243";"243";"90";"Участвует в конкурсе";"1576148";"—"
"62";"2";"+";"243";"243";"88";"Участвует в конкурсе";"1180124";"—"
"63";"2";"—";"243";"238";"80";"Участвует в конкурсе";"1798366";"—"
"64";"1";"—";"242";"237";"74";"Участвует в конкурсе";"2179346";"—"
"65";"1";"—";"241";"241";"83";"Участвует в конкурсе";"1404267";"—"
"66";"1";"—";"239";"239";"78";"Участвует в конкурсе";"1653572";"—"
"67";"1";"—";"239";"239";"72";"Участвует в конкурсе";"1855673";"—"
"68";"1";"+";"239";"239";"80";"Участвует в конкурсе";"1067710";"—"
"69";"1";"—";"239";"239";"80";"Участвует в конкурсе";"1060641";"—"
"70";"1";"—";"238";"233";"70";"Участвует в конкурсе";"1240436";"—"
"71";"2";"+";"236";"236";"83";"Участвует в конкурсе";"1195238";"—"
"72";"1";"—";"236";"236";"72";"Участвует в конкурсе";"1043038";"—"
"73";"2";"—";"236";"236";"80";"Участвует в конкурсе";"1703362";"—"
"74";"5";"+";"236";"231";"78";"Участвует в конкурсе";"1027409";"—"
"75";"1";"—";"235";"235";"76";"Участвует в конкурсе";"2090016";"—"
"76";"1";"—";"234";"234";"80";"Участвует в конкурсе";"1238303";"—"
"77";"3";"—";"233";"228";"88";"Участвует в конкурсе";"1334306";"—"
"78";"1";"—";"232";"227";"72";"Участвует в конкурсе";"2326906";"—"
"79";"1";"+";"232";"227";"70";"Участвует в конкурсе";"1988237";"—"
"80";"2";"—";"231";"231";"73";"Участвует в конкурсе";"981934";"—"
