"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"3";"—";"281";"276";"86";"Участвует в конкурсе";"1487930";"—"
"2";"2";"—";"278";"273";"94";"Участвует в конкурсе";"1437865";"—"
"3";"4";"—";"277";"270";"85";"Участвует в конкурсе";"1205718";"—"
"4";"3";"—";"268";"268";"93";"Участвует в конкурсе";"1906353";"—"
"5";"1";"—";"266";"266";"88";"Участвует в конкурсе";"1979497";"—"
"6";"4";"—";"266";"261";"92";"Участвует в конкурсе";"2280889";"—"
"7";"2";"—";"265";"265";"94";"Участвует в конкурсе";"2045912";"—"
"8";"1";"—";"265";"260";"96";"Участвует в конкурсе";"1571907";"—"
"9";"1";"—";"265";"260";"88";"Участвует в конкурсе";"2093762";"—"
"10";"1";"—";"264";"259";"94";"Участвует в конкурсе";"1618562";"—"
"11";"5";"+";"263";"258";"95";"Участвует в конкурсе";"1239868";"—"
"12";"3";"+";"262";"262";"94";"Участвует в конкурсе";"1520198";"—"
"13";"5";"—";"260";"254";"73";"Участвует в конкурсе";"2182676";"—"
"14";"4";"—";"257";"252";"79";"Участвует в конкурсе";"1908432";"—"
"15";"4";"—";"256";"251";"88";"Участвует в конкурсе";"1880268";"—"
"16";"3";"—";"255";"255";"90";"Участвует в конкурсе";"1784055";"—"
"17";"4";"—";"255";"250";"96";"Участвует в конкурсе";"1702823";"—"
"18";"1";"—";"254";"254";"83";"Участвует в конкурсе";"1502011";"—"
"19";"4";"—";"252";"252";"80";"Участвует в конкурсе";"1729612";"—"
"20";"1";"—";"249";"239";"83";"Участвует в конкурсе";"1275521";"—"
"21";"3";"—";"246";"246";"82";"Участвует в конкурсе";"1333663";"—"
"22";"3";"+";"246";"241";"80";"Участвует в конкурсе";"1286125";"—"
"23";"1";"—";"245";"245";"86";"Участвует в конкурсе";"1354045";"—"
"24";"5";"—";"245";"240";"79";"Участвует в конкурсе";"1441795";"—"
"25";"1";"—";"244";"242";"77";"Участвует в конкурсе";"1843538";"—"
"26";"1";"—";"243";"238";"64";"Участвует в конкурсе";"1772890";"—"
"27";"2";"—";"241";"236";"79";"Участвует в конкурсе";"1340686";"—"
"28";"4";"+";"239";"231";"78";"Участвует в конкурсе";"1027409";"—"
"29";"3";"—";"233";"233";"76";"Участвует в конкурсе";"1090839";"—"
"30";"3";"—";"231";"231";"73";"Участвует в конкурсе";"981934";"—"
"31";"1";"—";"225";"225";"68";"Участвует в конкурсе";"1426766";"—"
"32";"3";"—";"220";"220";"67";"Участвует в конкурсе";"1061234";"—"
"33";"3";"—";"220";"220";"74";"Участвует в конкурсе";"1725696";"—"
"34";"2";"—";"220";"218";"67";"Участвует в конкурсе";"1212985";"—"
"35";"1";"—";"216";"216";"72";"Участвует в конкурсе";"1476101";"—"
"36";"1";"+";"211";"211";"68";"Участвует в конкурсе";"1553132";"—"
"37";"1";"—";"207";"207";"62";"Участвует в конкурсе";"1988752";"—"
"38";"2";"—";"205";"202";"71";"Участвует в конкурсе";"1848357";"—"
"39";"4";"—";"204";"204";"65";"Участвует в конкурсе";"1043435";"—"
"40";"1";"—";"196";"196";"62";"Участвует в конкурсе";"1162681";"—"
